Genus	C1	C2	C3	Y1	Y2	Y3
Buchananella	4	7	0	0	2	0
Buttiauxella	5	4	2	0	0	2
Cellulosimicrobium	6	3	0	2	2	0
Companilactobacillus	0	3	0	0	4	6
Desulfurispirillum	2	9	0	0	2	0
Dysgonomonas	0	6	0	0	2	5
Ectopseudomonas	1	6	5	0	1	0
Ensifer	5	1	7	0	0	0
Gardnerella	0	0	0	4	4	5
Geochorda	9	1	3	0	0	0
Halodesulfovibrio	2	3	0	0	2	6
Hoeflea	4	2	4	1	2	0
Kineococcus	6	6	1	0	0	0
Leishmania	0	0	2	3	2	6
Martelella	1	4	6	0	1	1
Metapseudomonas	1	4	6	0	0	2
Methanosarcina	0	3	6	0	4	0
Microbispora	0	5	2	0	5	1
Oryzomicrobium	10	1	1	0	0	1
Pectinatus	0	0	13	0	0	0
Pectobacterium	2	0	3	2	4	2
Phoenicibacter	3	0	0	0	8	2
Piscinibacter	3	2	5	1	2	0
Pistricoccus	1	7	5	0	0	0
Plantactinospora	9	2	0	0	2	0
Polaromonas	1	5	2	0	1	4
Polyangium	5	7	0	1	0	0
Rhodothermus	2	4	4	2	1	0
Salinarimonas	3	6	4	0	0	0
Serinicoccus	4	4	5	0	0	0
Sulfurospirillum	0	4	0	5	3	1
Tahibacter	10	2	0	0	0	1
Telmatobacter	0	0	0	9	2	2
Terribacillus	2	0	0	4	3	4
Thalassovita	8	4	1	0	0	0
Thiopseudomonas	1	12	0	0	0	0
Trichlorobacter	6	5	1	0	1	0
Acidiferrobacter	8	3	1	0	0	0
Acidihalobacter	8	1	1	0	0	2
Alloalcanivorax	4	3	1	1	2	1
Bradymonas	4	4	2	0	2	0
Brenneria	7	1	4	0	0	0
Candidatus_Accumulibacter	2	6	2	0	0	2
Candidatus_Brevifilum	0	2	0	2	8	0
Candidatus_Kuenenia	0	0	0	4	0	8
Carboxydocella	0	4	0	8	0	0
Cereibacter	5	2	5	0	0	0
Dehalococcoides	1	9	2	0	0	0
Desulforapulum	3	6	3	0	0	0
Endomicrobium	3	8	0	1	0	0
Eremothecium	0	2	0	2	4	4
Ezakiella	0	2	1	0	8	1
Geodermatophilus	6	4	2	0	0	0
Georgenia	3	0	3	0	1	5
Geosporobacter	0	1	2	0	5	4
Halobaculum	1	0	11	0	0	0
Humitalea	6	0	6	0	0	0
Ilumatobacter	0	1	10	0	1	0
Jannaschia	1	8	2	0	0	1
Jeongeupia	1	4	7	0	0	0
Leptospira	0	1	0	3	4	4
Levyella	2	3	1	1	1	4
Mahella	8	2	2	0	0	0
Melittangium	1	6	4	0	1	0
Metamycoplasma	0	8	0	1	3	0
Methylacidimicrobium	4	6	2	0	0	0
Nannocystis	7	2	1	1	1	0
Niallia	0	2	0	4	2	4
Ornithinibacillus	0	11	0	0	1	0
Paludibaculum	2	2	2	3	0	3
Paragemmobacter	0	6	6	0	0	0
Pararhizobium	1	2	3	3	3	0
Rhodospirillum	2	8	1	0	1	0
Rossellomorea	1	3	2	0	1	5
Salinicoccus	11	0	1	0	0	0
Skermanella	2	3	2	0	1	4
Stackebrandtia	6	3	2	0	1	0
Syntrophus	3	1	7	0	1	0
Tepidibacter	1	7	0	2	1	1
Thermacetogenium	2	5	5	0	0	0
Thermococcus	3	3	1	1	4	0
Brooklawnia	5	5	0	0	0	1
Capsulimonas	4	2	5	0	0	0
Castellaniella	7	2	2	0	0	0
Citricoccus	5	1	2	3	0	0
Crateriforma	1	6	4	0	0	0
Desulfoluna	2	6	0	1	2	0
Desulfomonile	3	2	5	0	1	0
Duganella	7	1	2	1	0	0
Ehrlichia	0	8	0	3	0	0
Ferrimonas	2	6	0	0	1	2
Ferrovibrio	5	1	2	3	0	0
Fontisubflavum	5	3	0	0	3	0
Lignipirellula	4	5	2	0	0	0
Mammaliicoccus	0	1	0	1	5	4
Maricaulis	1	5	3	0	2	0
Methanolobus	0	2	0	0	9	0
Methylogaea	4	1	6	0	0	0
Nisaea	1	1	9	0	0	0
Paraconexibacter	7	2	1	0	0	1
Pelagovum	0	5	1	1	4	0
Pendulispora	2	2	1	0	6	0
Petrocella	1	4	2	0	4	0
Phaeodactylibacter	6	0	0	0	0	5
Phosphitispora	3	1	5	0	2	0
Phreatobacter	3	0	0	2	4	2
Planctomyces	2	2	3	0	3	1
Planctopirus	7	4	0	0	0	0
Pollutimonas	7	1	2	0	1	0
Proteiniphilum	4	7	0	0	0	0
Rahnella	3	5	2	0	1	0
Robbsia	2	3	6	0	0	0
Rufibacter	2	2	4	1	0	2
Sphaerimonospora	9	2	0	0	0	0
Spiractinospora	3	1	0	7	0	0
Stakelama	3	6	2	0	0	0
Sulfurimonas	1	0	4	1	2	3
Sulfurivermis	0	8	0	3	0	0
Thermodesulfomicrobium	8	2	1	0	0	0
Thermoflexus	5	2	0	0	2	2
Trichomonas	0	1	0	3	6	1
Tunturiibacter	5	2	3	0	1	0
Usitatibacter	0	2	8	0	0	1
Xylanibacter	0	3	2	4	2	0
Actinomycetospora	6	2	1	0	1	0
Adhaeribacter	0	2	2	3	2	1
Aurantiacibacter	0	4	6	0	0	0
Caldimonas	3	1	5	0	1	0
Candidatus_Cardinium	4	6	0	0	0	0
Candidatus_Cytomitobacter	0	10	0	0	0	0
Candidatus_Kinetoplastidibacterium	0	0	0	0	0	10
Candidatus_Sulfidibacterium	2	8	0	0	0	0
Candidatus_Xianfuyuplasma	0	8	2	0	0	0
Celeribacter	2	6	0	0	2	0
Chromohalobacter	0	0	9	1	0	0
Chryseolinea	9	0	1	0	0	0
Cohaesibacter	1	2	2	1	3	1
Dehalogenimonas	4	5	1	0	0	0
Desulfoscipio	3	4	0	0	3	0
Duodenibacillus	0	2	5	0	1	2
Endozoicomonas	0	1	0	3	6	0
Franconibacter	4	1	5	0	0	0
Frigidibacter	10	0	0	0	0	0
Haematospirillum	1	2	7	0	0	0
Haemophilus	1	1	0	0	1	7
Halarcobacter	0	2	0	2	4	2
Haliangium	3	0	0	3	3	1
Halorussus	5	1	0	0	4	0
Jiella	2	2	5	0	1	0
Labrenzia	7	0	0	0	2	1
Lelliottia	5	1	3	0	0	1
Mameliella	9	1	0	0	0	0
Marinobacterium	7	1	2	0	0	0
Mesoterricola	5	3	2	0	0	0
Methanobacterium	0	8	0	0	2	0
Nonlabens	2	6	0	2	0	0
Parashewanella	0	10	0	0	0	0
Parasphingorhabdus	4	5	0	1	0	0
Polycladomyces	2	1	6	0	1	0
Polymorphospora	3	7	0	0	0	0
Proteiniborus	2	0	5	1	2	0
Pseudolabrys	7	3	0	0	0	0
Pseudovibrio	1	1	3	0	0	5
Rugamonas	4	4	1	0	1	0
Saccharophagus	0	3	0	0	6	1
Succinivibrio	5	1	0	0	2	2
Superficieibacter	2	3	4	0	0	1
Tenacibaculum	0	0	0	3	3	4
Thermosipho	0	9	0	0	0	1
Tsuneonella	1	3	5	0	0	1
Verrucomicrobium	4	5	1	0	0	0
Virgibacillus	0	3	0	1	4	2
Zhihengliuella	9	1	0	0	0	0
Actinoallomurus	1	1	3	0	0	4
Alteromonas	0	1	1	1	1	5
Azospira	2	5	1	0	1	0
Blattabacterium	0	4	0	0	2	3
Boudabousia	0	0	0	2	4	3
Bremerella	1	0	0	2	4	2
Caminibacter	0	0	0	9	0	0
Dechloromonas	3	1	3	1	1	0
Dermabacter	0	9	0	0	0	0
Desulfofustis	2	0	4	0	2	1
Desulfomarina	1	7	0	0	1	0
Dokdonella	0	0	9	0	0	0
Edaphobacter	5	4	0	0	0	0
Engelhardtia	4	5	0	0	0	0
Epidermidibacterium	1	2	6	0	0	0
Fictibacillus	0	2	1	1	5	0
Filifactor	0	0	3	2	3	1
Flaviflexus	1	5	3	0	0	0
Frankia	3	5	0	0	0	1
Halodesulfurarchaeum	9	0	0	0	0	0
Helicobacter	3	0	0	3	2	1
Herbiconiux	6	3	0	0	0	0
Kurthia	0	0	0	9	0	0
Lacunisphaera	6	1	0	0	0	2
Leptothermofonsia	0	0	0	0	0	9
Liberibacter	0	6	3	0	0	0
Magnetospirillum	1	2	0	1	5	0
Malaciobacter	0	8	0	0	0	1
Malassezia	1	0	0	1	2	5
Marinomonas	1	1	4	0	2	1
Megalodesulfovibrio	3	5	0	0	1	0
Melaminivora	0	2	6	0	0	1
Methylocaldum	3	2	2	0	1	1
Methyloversatilis	4	3	2	0	0	0
Ndongobacter	1	3	1	0	3	1
Nitrogeniibacter	1	0	5	0	2	1
Oceanirhabdus	0	7	0	0	2	0
Paenalcaligenes	1	8	0	0	0	0
Paenarthrobacter	6	1	0	1	1	0
Parafrankia	2	2	3	0	2	0
Providencia	2	3	0	0	3	1
Pullulanibacillus	0	0	0	0	4	5
Pyxidicoccus	5	1	2	0	1	0
Rubrivirga	2	3	0	4	0	0
Runella	2	1	1	0	5	0
Salicibibacter	6	0	1	0	2	0
Salinarchaeum	0	1	1	0	0	7
Salinibaculum	1	0	8	0	0	0
Sebaldella	0	9	0	0	0	0
Skogvirus	2	6	1	0	0	0
Sphaerotilus	7	0	0	0	0	2
Spirillospora	5	2	1	1	0	0
Subtercola	1	1	2	2	0	3
Terrabacter	4	5	0	0	0	0
Thermosulfuriphilus	0	1	0	0	4	4
Thioflavicoccus	3	0	6	0	0	0
Undibacterium	0	3	4	2	0	0
Wolbachia	1	4	1	0	3	0
Acholeplasma	0	5	0	0	0	3
Actinotignum	1	1	0	3	2	1
Aliivibrio	0	0	0	0	0	8
Aneurinibacillus	0	2	2	0	4	0
Aquisalinus	0	0	8	0	0	0
Azorhizobium	2	1	5	0	0	0
Blastochloris	6	2	0	0	0	0
Blastococcus	3	2	2	0	1	0
Brucella	0	2	1	2	3	0
Bulleidia	0	0	0	1	4	3
Candidatus_Azobacteroides	4	2	0	2	0	0
Candidatus_Carsonella	0	8	0	0	0	0
Candidatus_Chlorohelix	0	0	8	0	0	0
Candidatus_Karelsulcia	0	0	0	0	8	0
Candidatus_Velamenicoccus	2	6	0	0	0	0
Chitiniphilus	4	4	0	0	0	0
Desulfatibacillum	3	5	0	0	0	0
Falsihalocynthiibacter	7	0	1	0	0	0
Ferribacterium	4	1	1	2	0	0
Fontivita	8	0	0	0	0	0
Gallibacterium	1	3	0	4	0	0
Gracilibacillus	0	0	0	0	2	6
Hahella	0	1	5	0	1	1
Halothermothrix	0	1	0	0	1	6
Hathewaya	0	2	1	1	1	3
Hyphococcus	1	6	0	1	0	0
Idiomarina	0	6	2	0	0	0
Larkinella	1	6	0	0	0	1
Limnochorda	2	5	0	1	0	0
Marinifilum	0	1	1	2	4	0
Mariprofundus	0	4	0	0	4	0
Marispirochaeta	2	0	0	0	4	2
Mesomycoplasma	0	3	1	0	2	2
Methanosphaera	0	4	0	0	4	0
Miltoncostaea	1	2	3	0	2	0
Mumia	4	1	1	2	0	0
Mycetocola	4	1	2	1	0	0
Myxococcus	0	5	1	2	0	0
Nitrospirillum	4	1	0	2	0	1
Oryzobacter	2	4	1	1	0	0
Panacibacter	0	0	0	6	1	1
Pediococcus	0	0	2	2	3	1
Pelagerythrobacter	4	3	0	0	1	0
Persicimonas	7	1	0	0	0	0
Porphyrobacter	5	1	0	2	0	0
Prochlorococcus	0	2	0	2	4	0
Riemerella	2	3	0	1	0	2
Roseicyclus	8	0	0	0	0	0
Salinibacter	0	4	0	4	0	0
Scandinavium	0	0	8	0	0	0
Sinomicrobium	2	0	4	0	2	0
Sulfuriferula	0	2	4	0	0	2
Sutcliffiella	0	0	0	0	2	6
Tardibacter	5	3	0	0	0	0
Thermaerobacillus	1	4	0	0	3	0
Thiomicrorhabdus	0	0	0	5	3	0
Tissierella	0	5	1	0	0	2
Trabulsiella	0	1	5	0	0	2
Zobellella	3	0	0	0	5	0
Acetoanaerobium	0	2	0	0	5	0
Actinocatenispora	3	3	0	1	0	0
Afipia	0	4	3	0	0	0
Alcanivorax	1	5	0	0	1	0
Alkalicoccus	1	0	0	0	4	2
Allosphingosinicella	0	2	0	0	0	5
Ammonifex	5	0	0	0	2	0
Anoxybacter	2	1	0	0	1	3
Aquabacterium	4	1	1	1	0	0
Aquifex	3	0	0	0	0	4
Biomaibacter	1	6	0	0	0	0
Calditerrivibrio	0	0	5	0	2	0
Caloranaerobacter	0	5	0	0	2	0
Capillimicrobium	1	1	3	0	0	2
Coxiella	0	5	0	0	2	0
Cuniculiplasma	0	0	0	2	0	5
Demequina	4	1	0	0	2	0
Desemzia	0	0	3	0	0	4
Desulfofundulus	2	2	2	1	0	0
Desulfosediminicola	1	1	4	0	0	1
Diaminobutyricimonas	0	5	0	0	2	0
Dietzia	2	1	1	2	0	1
Effusibacillus	0	0	0	1	1	5
Erysipelothrix	0	0	0	2	4	1
Facklamia	0	0	0	0	6	1
Faucicola	0	0	4	0	0	3
Fenollaria	0	1	0	0	4	2
Frigoribacterium	0	0	6	0	1	0
Georhizobium	1	0	2	4	0	0
Globicatella	2	3	0	0	0	2
Guyparkeria	2	2	3	0	0	0
Halanaerobium	0	5	0	0	0	2
Halioglobus	1	1	0	0	5	0
Haloglomus	3	1	1	0	2	0
Halomarina	3	1	1	0	2	0
Halomicrococcus	3	1	3	0	0	0
Haloprofundus	0	5	0	0	0	2
Halovivax	1	0	5	1	0	0
Haploplasma	0	7	0	0	0	0
Horticoccus	0	0	7	0	0	0
Hydrocarboniphaga	3	2	2	0	0	0
Knoellia	2	3	0	0	2	0
Laribacter	0	0	2	0	1	4
Latilactobacillus	0	3	0	0	0	4
Lentilactobacillus	0	2	0	0	3	2
Lentzea	3	2	0	1	0	1
Lichenicola	2	3	2	0	0	0
Marinimicrobium	7	0	0	0	0	0
Metarhizium	1	1	0	0	4	1
Methylibium	3	2	2	0	0	0
Methylomagnum	1	5	1	0	0	0
Methylosinus	2	1	0	2	0	2
Microcella	1	1	2	0	2	1
Mycolicibacillus	3	0	1	0	3	0
Natranaerofaba	0	2	0	0	4	1
Natronobeatus	0	0	5	2	0	0
Nissabacter	3	0	1	0	3	0
Novacetimonas	5	1	0	0	1	0
Novibacillus	3	0	1	0	3	0
Oceanimonas	3	2	2	0	0	0
Paraoerskovia	5	0	0	2	0	0
Paucilactobacillus	0	0	1	0	6	0
Phytohabitans	3	0	4	0	0	0
Pirellulimonas	3	2	0	1	1	0
Planctellipticum	2	4	0	1	0	0
Pontivivens	0	0	6	0	0	1
Porcisia	0	0	2	5	0	0
Promicromonospora	0	2	4	0	0	1
Propioniciclava	0	2	0	0	3	2
Psychrobacter	2	3	0	0	1	1
Pyrobaculum	0	2	1	4	0	0
Rhodanobacter	1	3	1	1	0	1
Rhodocaloribacter	1	3	3	0	0	0
Robiginitalea	3	3	0	0	1	0
Ruficoccus	0	1	5	0	0	1
Saccharomonospora	0	1	5	0	1	0
Salinilacustrithrix	2	1	4	0	0	0
Sanguibacter	0	4	2	1	0	0
Saxibacter	2	2	2	0	1	0
Sediminispirochaeta	3	0	1	1	0	2
Sneathiella	2	1	1	0	3	0
Sphingorhabdus	2	2	0	0	3	0
Streptomonospora	1	0	2	3	0	1
Syntrophomonas	4	2	0	0	0	1
Telluria	5	0	2	0	0	0
Thermanaerosceptrum	0	1	4	0	1	1
Thioalkalivibrio	6	0	1	0	0	0
Thiohalobacter	1	0	6	0	0	0
Tomitella	0	6	1	0	0	0
Varibaculum	0	0	1	1	1	4
Vogesella	0	5	2	0	0	0
Xiashengella	0	0	0	6	0	1
Acidimicrobium	3	0	3	0	0	0
Aciduricibacillus	1	5	0	0	0	0
Aerophototrophica	0	6	0	0	0	0
Alkalibacterium	1	2	0	0	0	3
Alkalihalophilus	2	1	2	0	0	1
Alternaria	0	0	2	0	1	3
Amphibacillus	0	6	0	0	0	0
Anaeropeptidivorans	0	0	5	1	0	0
Candidatus_Babela	2	0	0	2	0	2
Candidatus_Korobacter	2	0	0	0	0	4
Candidatus_Nitrosoglobus	0	4	0	0	2	0
Candidatus_Reidiella	0	2	0	0	4	0
Candidatus_Spongiihabitans	4	0	0	2	0	0
Carboxydichorda	2	3	1	0	0	0
Cellulosilyticum	0	2	0	1	1	2
Changpingibacter	0	1	0	0	1	4
Dermacoccus	2	0	0	2	2	0
Dermatobacter	1	5	0	0	0	0
Echinicola	1	3	0	0	2	0
Fulvia	0	0	0	0	4	2
Fulvivirga	0	0	0	0	1	5
Geitlerinema	0	0	2	0	4	0
Gilliamella	0	0	0	5	0	1
Gleimia	0	0	2	3	0	1
Gottfriedia	0	5	0	0	1	0
Halothece	2	1	2	0	1	0
Isosphaera	3	0	3	0	0	0
Jahgtovirus	0	0	0	0	0	6
Kibdelosporangium	1	3	0	0	2	0
Krasilnikovia	1	3	0	0	2	0
Lentibacillus	0	0	1	1	0	4
Limibacterium	2	2	1	0	0	1
Loigolactobacillus	0	1	1	0	0	4
Lonsdalea	4	0	0	2	0	0
Mangrovibacterium	1	3	0	0	2	0
Marisediminicola	4	0	0	2	0	0
Marnyiella	2	3	0	0	1	0
Methanofollis	5	1	0	0	0	0
Methyloceanibacter	3	1	1	0	0	1
Micavibrio	1	0	2	0	3	0
Microtetraspora	2	2	0	2	0	0
Mixta	4	1	0	0	0	1
Moraxella	3	0	2	0	0	1
Mucispirillum	0	4	0	0	0	2
Natrinema	2	0	0	3	1	0
Natroniella	0	6	0	0	0	0
Natrononativus	0	0	2	4	0	0
Neptunomonas	0	0	0	0	4	2
Oceanispirochaeta	0	0	0	0	6	0
Oleiharenicola	0	4	1	0	1	0
Orrella	5	1	0	0	0	0
Paraflavitalea	0	0	2	0	3	1
Pedococcus	5	1	0	0	0	0
Pelolinea	1	0	0	3	1	1
Pelosinus	0	0	0	4	1	1
Planktothrix	1	0	0	3	2	0
Pseudolactococcus	1	0	0	3	1	1
Purpureocillium	0	2	3	0	0	1
Pyrolobus	3	3	0	0	0	0
Reinekea	4	0	2	0	0	0
Rhizorhabdus	1	4	1	0	0	0
Ruegeria	3	2	0	0	1	0
Sinimarinibacterium	3	0	1	0	0	2
Solimonas	4	0	2	0	0	0
Sphingomicrobium	3	1	2	0	0	0
Sulfidibacter	2	1	1	0	1	1
Sulfurifustis	1	1	1	3	0	0
Svornostia	0	0	6	0	0	0
Thalassolituus	0	1	4	0	1	0
Thermanaeromonas	2	4	0	0	0	0
Thiobacillus	1	1	0	2	1	1
Trichoderma	1	0	0	0	5	0
Umezawaea	1	4	1	0	0	0
Xylophilus	1	2	1	0	0	2
Yimella	2	3	1	0	0	0
Aceticella	0	0	0	0	2	3
Actimicrobium	1	0	4	0	0	0
Actinacidiphila	0	0	3	1	0	1
Actinoalloteichus	1	1	0	0	0	3
Aeoliella	0	5	0	0	0	0
Agarivorans	1	0	2	1	0	1
Alienimonas	3	2	0	0	0	0
Allokutzneria	2	0	3	0	0	0
Ammonicoccus	1	2	0	2	0	0
Anderseniella	2	0	3	0	0	0
Aquisalimonas	3	2	0	0	0	0
Aquitalea	0	1	4	0	0	0
Arachidicoccus	4	1	0	0	0	0
Arenibacter	0	0	0	0	5	0
Babesia	1	0	1	0	1	2
Bergeyella	4	1	0	0	0	0
Calothrix	1	1	0	2	0	1
Candidatus_Arthromitus	0	0	0	2	2	1
Carboxydothermus	0	1	0	0	3	1
Chenggangzhangella	3	1	1	0	0	0
Christiangramia	0	0	0	2	1	2
Chryseomicrobium	0	3	0	0	2	0
Cognatishimia	2	3	0	0	0	0
Commensalibacter	0	2	3	0	0	0
Couchioplanes	3	1	1	0	0	0
Croceibacterium	2	3	0	0	0	0
Crossiella	2	0	0	0	0	3
Cryobacterium	1	1	2	0	0	1
Dehalobacterium	0	0	0	0	4	1
Delmidovirus	0	0	0	0	0	5
Denitrovibrio	0	0	0	2	2	1
Desulfotomaculum	0	0	0	0	2	3
Desulfurivibrio	1	3	1	0	0	0
Ectothiorhodospira	1	3	1	0	0	0
Egicoccus	0	0	0	3	0	2
Empedobacter	0	0	3	0	2	0
Gaoshiqia	1	4	0	0	0	0
Gemmatirosa	0	4	0	0	0	1
Gottschalkia	1	0	1	0	1	2
Gracilinema	3	0	0	0	2	0
Granulicella	0	1	4	0	0	0
Haladaptatus	2	1	1	0	0	1
Halococcus	1	0	0	0	4	0
Haloferax	2	0	2	1	0	0
Haloplanus	2	2	0	0	1	0
Hydrogenobacter	0	0	4	0	1	0
Iamia	2	2	1	0	0	0
Kolteria	3	0	0	1	0	1
Kordiimonas	0	0	2	1	2	0
Leptodesmis	0	5	0	0	0	0
Lichenicoccus	3	0	1	0	0	1
Longispora	3	1	1	0	0	0
Malacoplasma	0	5	0	0	0	0
Marfavirus	5	0	0	0	0	0
Marinovum	1	2	1	0	0	1
Marivirga	0	1	0	1	2	1
Melissococcus	1	0	0	2	2	0
Mesotoga	0	4	1	0	0	0
Metabacillus	0	2	0	1	1	1
Methylobacillus	1	2	0	0	2	0
Methylotenera	0	0	0	0	0	5
Methylotuvimicrobium	5	0	0	0	0	0
Microaceticoccus	0	1	1	0	3	0
Microvirgula	0	1	1	1	2	0
Miniphocaeibacter	1	4	0	0	0	0
Moineauvirus	0	0	0	3	2	0
Mucisphaera	1	4	0	0	0	0
Nanchangia	0	1	0	0	4	0
Nitrobacter	2	1	2	0	0	0
Nosocomiicoccus	0	0	1	0	4	0
Octadecabacter	0	3	0	1	1	0
Paramicrobacterium	0	5	0	0	0	0
Parvularcula	2	2	1	0	0	0
Pasteurella	0	0	0	1	4	0
Phormidium	0	0	0	0	4	1
Polystyrenella	2	1	2	0	0	0
Prescottella	0	2	3	0	0	0
Protaetiibacter	1	3	0	0	1	0
Pseudaeromonas	2	2	0	1	0	0
Pseudalkalibacillus	0	0	0	3	0	2
Pseudescherichia	0	4	1	0	0	0
Pseudochrobactrum	3	2	0	0	0	0
Pseudofrankia	1	4	0	0	0	0
Pseudosulfitobacter	1	2	1	0	1	0
Pukyongiella	0	2	3	0	0	0
Pyricularia	2	0	1	0	1	1
Rohdeia	3	1	1	0	0	0
Roseinatronobacter	2	3	0	0	0	0
Rosistilla	0	2	3	0	0	0
Sandaracinus	0	4	0	1	0	0
Schnuerera	0	5	0	0	0	0
Siccibacter	2	2	1	0	0	0
Silicimonas	1	3	0	0	1	0
Silvimonas	2	2	1	0	0	0
Starkeya	1	0	4	0	0	0
Thalassotalea	0	1	0	0	4	0
Thermobifida	3	0	2	0	0	0
Thermogutta	2	0	0	0	3	0
Thermosynechococcus	3	1	0	0	1	0
Thiocapsa	1	2	2	0	0	0
Thiocystis	3	0	1	0	1	0
Thiorhodovibrio	1	3	1	0	0	0
Tichowtungia	3	0	2	0	0	0
Vulgatibacter	0	2	3	0	0	0
Zhouia	0	0	0	0	0	5
Agaribacterium	0	2	1	0	1	0
Agrilactobacillus	0	3	0	0	0	1
Agrilutibacter	0	1	3	0	0	0
Aliamphritea	3	0	0	0	0	1
Alkalilimnicola	0	2	2	0	0	0
Alkalitalea	3	1	0	0	0	0
Alloscardovia	0	0	0	2	2	0
Aurantimicrobium	1	1	0	0	2	0
Avibacterium	0	0	0	2	2	0
Bermanella	0	0	0	0	4	0
Bombilactobacillus	0	0	0	1	3	0
Caenibius	0	3	0	0	0	1
Caldilinea	3	1	0	0	0	0
Candidatus_Bipolaricaulis	0	4	0	0	0	0
Candidatus_Caldatribacterium	4	0	0	0	0	0
Candidatus_Electrothrix	0	0	0	0	4	0
Candidatus_Methylocalor	4	0	0	0	0	0
Candidatus_Regiella	0	0	0	0	0	4
Candidatus_Tisiphia	0	0	0	0	0	4
Candidatus_Vesicomyidisocius	0	0	0	0	0	4
Candidatus_Viadribacter	2	0	2	0	0	0
Candidiatus_Paracoxiella	0	0	0	2	0	2
Carnobacterium	0	0	1	0	3	0
Cellulophaga	0	0	1	3	0	0
Changchengzhania	0	4	0	0	0	0
Chitinibacter	0	0	3	0	1	0
Chitinimonas	1	1	2	0	0	0
Chondrinema	0	0	0	1	2	1
Chroococcidiopsis	0	2	0	2	0	0
Ciceribacter	0	0	3	0	0	1
Cloacibacterium	0	3	1	0	0	0
Crenobacter	0	0	0	0	4	0
Daejeonia	0	2	0	0	1	1
Desulfobacca	3	1	0	0	0	0
Desulfofarcimen	1	0	3	0	0	0
Desulfolithobacter	1	1	1	0	0	1
Desulfurobacterium	0	0	0	4	0	0
Dongshaea	2	2	0	0	0	0
Drechmeria	0	2	0	0	0	2
Duffyella	0	0	4	0	0	0
Eleftheria	0	0	1	3	0	0
Ereboglobus	3	0	1	0	0	0
Fidelibacter	1	1	0	0	1	1
Fimbriimonas	1	2	1	0	0	0
Flavisolibacter	0	1	2	0	1	0
Formosa	0	0	0	0	4	0
Francisella	0	1	2	0	1	0
Friedmanniella	3	1	0	0	0	0
Frischella	0	0	0	2	0	2
Gaopeijia	1	3	0	0	0	0
Halococcoides	3	1	0	0	0	0
Halorhabdus	3	0	0	1	0	0
Hujiaoplasma	2	2	0	0	0	0
Hypericibacter	1	2	1	0	0	0
Imperialibacter	3	0	1	0	0	0
Iocasia	0	0	0	1	0	3
Iodobacter	0	2	2	0	0	0
Jeotgalibaca	0	2	0	1	1	0
Kaistella	1	0	0	0	0	3
Kaistia	0	1	0	0	2	1
Kineobactrum	0	2	2	0	0	0
Kordia	0	1	0	2	0	1
Kroppenstedtia	1	1	1	0	1	0
Kyrpidia	3	1	0	0	0	0
Labilithrix	0	1	2	0	0	1
Lahndsivirus	0	0	0	0	4	0
Liquorilactobacillus	1	2	0	0	1	0
Luteithermobacter	0	0	0	0	2	2
Mangrovibacter	1	0	2	0	0	1
Maribellus	0	0	2	0	2	0
Methyloligella	1	1	0	0	1	1
Microcystis	0	1	0	0	1	2
Modestobacter	2	0	0	0	0	2
Mycoavidus	2	0	0	0	1	1
Mycosarcoma	3	1	0	0	0	0
Myroides	0	0	0	0	4	0
Natronococcus	0	0	4	0	0	0
Nautilia	0	0	4	0	0	0
Nitrosomonas	2	1	1	0	0	0
Nitrospina	1	0	3	0	0	0
Niveispirillum	0	3	1	0	0	0
Novosphingopyxis	0	2	0	0	0	2
Orbus	0	2	1	0	0	1
Paludibacter	1	2	0	0	0	1
Paludisphaera	0	0	1	0	3	0
Paramagnetospirillum	3	0	1	0	0	0
Pararhodospirillum	4	0	0	0	0	0
Paremcibacter	2	0	2	0	0	0
Pelistega	0	0	0	3	0	1
Persicobacter	2	0	0	0	2	0
Phototrophicus	0	0	0	4	0	0
Phycicoccus	0	1	2	0	1	0
Picosynechococcus	1	0	0	0	3	0
Planktothricoides	0	0	0	2	0	2
Plasmodium	1	1	0	0	2	0
Pontibacillus	0	0	2	0	2	0
Proteinivorax	0	0	0	2	0	2
Protofrankia	0	0	1	1	0	2
Pseudanabaena	0	2	0	2	0	0
Pseudogulbenkiania	0	1	3	0	0	0
Radiobacillus	0	0	0	0	1	3
Rhodopila	2	2	0	0	0	0
Rhodoplanes	1	2	0	1	0	0
Rickettsia	0	0	3	0	0	1
Saccharibacillus	0	1	3	0	0	0
Saccharococcus	0	0	0	3	0	1
Salinimonas	0	1	2	1	0	0
Salinisphaera	1	0	3	0	0	0
Salinispira	0	1	0	0	0	3
Saltatorellus	1	3	0	0	0	0
Sandaracinobacteroides	0	3	0	0	1	0
Sediminicoccus	0	2	2	0	0	0
Snodgrassella	1	0	3	0	0	0
Solwaraspora	1	1	2	0	0	0
Sporanaerobacter	0	4	0	0	0	0
Symbiopectobacterium	0	0	2	1	1	0
Syntrophobacter	1	1	2	0	0	0
Syntrophothermus	0	1	0	0	3	0
Tateyamaria	4	0	0	0	0	0
Tatumella	0	1	0	0	0	3
Tellurirhabdus	0	2	2	0	0	0
Tepidanaerobacter	3	0	1	0	0	0
Tetragenococcus	0	0	0	3	0	1
Thermincola	1	0	0	1	1	1
Thermoactinomyces	0	0	3	0	0	1
Thermodesulfovibrio	0	2	0	0	2	0
Thermoleophilum	0	1	0	0	3	0
Thermosulfurimonas	0	2	0	0	0	2
Thermotoga	4	0	0	0	0	0
