Genus	C2	C3	Y1	Y2	Y3
Candidatus_Nitrotoga	4	4	0	0	0
Candidatus_Sulfidibacterium	8	0	0	0	0
Celeribacter	6	0	0	2	0
Desulfomarina	7	0	0	1	0
Desulfomonile	2	5	0	1	0
Ensifer	1	7	0	0	0
Epidermidibacterium	2	6	0	0	0
Flaviflexus	5	3	0	0	0
Gracilibacillus	0	0	0	2	6
Hahella	1	5	0	1	1
Halothermothrix	1	0	0	1	6
Hathewaya	2	1	1	1	3
Humisphaera	3	4	0	0	1
Idiomarina	6	2	0	0	0
Jiella	2	5	0	1	0
Magnetospirillum	2	0	1	5	0
Malassezia	0	0	1	2	5
Marinifilum	1	1	2	4	0
Marinomonas	1	4	0	2	1
Mariprofundus	4	0	0	4	0
Mesomycoplasma	3	1	0	2	2
Methanosphaera	4	0	0	4	0
Methylacidimicrobium	6	2	0	0	0
Methylorubrum	3	5	0	0	0
Mycolicibacter	7	1	0	0	0
Myxococcus	5	1	2	0	0
Ndongobacter	3	1	0	3	1
Nitrogeniibacter	0	5	0	2	1
Nonlabens	6	0	2	0	0
Paenalcaligenes	8	0	0	0	0
Panacibacter	0	0	6	1	1
Pediococcus	0	2	2	3	1
Phosphitispora	1	5	0	2	0
Phreatobacter	0	0	2	4	2
Polyangium	7	0	1	0	0
Polycladomyces	1	6	0	1	0
Prochlorococcus	2	0	2	4	0
Proteiniborus	0	5	1	2	0
Rahnella	5	2	0	1	0
Salinibacter	4	0	4	0	0
Salinibaculum	0	8	0	0	0
Scandinavium	0	8	0	0	0
Spiractinospora	1	0	7	0	0
Stakelama	6	2	0	0	0
Stieleria	6	2	0	0	0
Subtercola	1	2	2	0	3
Sulfitobacter	3	2	0	2	1
Sulfuricystis	4	4	0	0	0
Sulfuriferula	2	4	0	0	2
Superficieibacter	3	4	0	0	1
Sutcliffiella	0	0	0	2	6
Thiomicrorhabdus	0	0	5	3	0
Tissierella	5	1	0	0	2
Trabulsiella	1	5	0	0	2
Wolbachia	4	1	0	3	0
Acetoanaerobium	2	0	0	5	0
Actinomarinicola	1	4	0	2	0
Actinotignum	1	0	3	2	1
Afipia	4	3	0	0	0
Allosphingosinicella	2	0	0	0	5
Aquibium	2	1	0	1	3
Azospira	5	1	0	1	0
Caenispirillum	3	3	0	0	1
Caldimonas	1	5	0	1	0
Calditerrivibrio	0	5	0	2	0
Caloranaerobacter	5	0	0	2	0
Capsulimonas	2	5	0	0	0
Catellatospora	2	5	0	0	0
Cellulosimicrobium	3	0	2	2	0
Cereibacter	2	5	0	0	0
Coxiella	5	0	0	2	0
Cuniculiplasma	0	0	2	0	5
Desemzia	0	3	0	0	4
Desulfocurvibacter	5	1	0	1	0
Desulfofustis	0	4	0	2	1
Desulfomicrobium	3	4	0	0	0
Desulfoscipio	4	0	0	3	0
Diaminobutyricimonas	5	0	0	2	0
Effusibacillus	0	0	1	1	5
Erysipelothrix	0	0	2	4	1
Facklamia	0	0	0	6	1
Faucicola	0	4	0	0	3
Fenollaria	1	0	0	4	2
Frigoribacterium	0	6	0	1	0
Gallibacterium	3	0	4	0	0
Halanaerobium	5	0	0	0	2
Haliangium	0	0	3	3	1
Halobacterium	7	0	0	0	0
Haloprofundus	5	0	0	0	2
Haploplasma	7	0	0	0	0
Horticoccus	0	7	0	0	0
Hyphococcus	6	0	1	0	0
Kineococcus	6	1	0	0	0
Kutzneria	3	2	0	2	0
Laribacter	0	2	0	1	4
Larkinella	6	0	0	0	1
Latilactobacillus	3	0	0	0	4
Lautropia	4	2	0	1	0
Lentilactobacillus	2	0	0	3	2
Lignipirellula	5	2	0	0	0
Mariniflexile	3	1	1	1	1
Methylogaea	1	6	0	0	0
Miltoncostaea	2	3	0	2	0
Natranaerofaba	2	0	0	4	1
Natronobeatus	0	5	2	0	0
Parafrankia	2	3	0	2	0
Paucilactobacillus	0	1	0	6	0
Pengzhenrongella	1	5	0	1	0
Polymorphospora	7	0	0	0	0
Pontivivens	0	6	0	0	1
Porcisia	0	2	5	0	0
Promicromonospora	2	4	0	0	1
Propioniciclava	2	0	0	3	2
Proteiniphilum	7	0	0	0	0
Providencia	3	0	0	3	1
Pseudothauera	7	0	0	0	0
Pyrobaculum	2	1	4	0	0
Rubrivirga	3	0	4	0	0
Ruficoccus	1	5	0	0	1
Runella	1	1	0	5	0
Saccharomonospora	1	5	0	1	0
Sanguibacter	4	2	1	0	0
Skogvirus	6	1	0	0	0
Syntrophotalea	0	1	2	1	3
Thermaerobacillus	4	0	0	3	0
Thermanaerosceptrum	1	4	0	1	1
Tomitella	6	1	0	0	0
Trichlorobacter	5	1	0	1	0
Varibaculum	0	1	1	1	4
Vogesella	5	2	0	0	0
Xiashengella	0	0	6	0	1
Acididesulfobacillus	5	0	0	1	0
Advenella	2	3	0	1	0
Aerophototrophica	6	0	0	0	0
Aggregatibacter	2	1	0	3	0
Alcanivorax	5	0	0	1	0
Alkalicoccus	0	0	0	4	2
Alternaria	0	2	0	1	3
Amphibacillus	6	0	0	0	0
Anaeropeptidivorans	0	5	1	0	0
Aquisphaera	1	5	0	0	0
Azorhizobium	1	5	0	0	0
Biomaibacter	6	0	0	0	0
Brooklawnia	5	0	0	0	1
Candidatus_Cardinium	6	0	0	0	0
Candidatus_Nitrosoglobus	4	0	0	2	0
Candidatus_Reidiella	2	0	0	4	0
Candidatus_Velamenicoccus	6	0	0	0	0
Capillimicrobium	1	3	0	0	2
Cellulosilyticum	2	0	1	1	2
Changpingibacter	1	0	0	1	4
Citricoccus	1	2	3	0	0
Dechloromonas	1	3	1	1	0
Dehalogenimonas	5	1	0	0	0
Desulfosediminicola	1	4	0	0	1
Ferrovibrio	1	2	3	0	0
Fontisubflavum	3	0	0	3	0
Franconibacter	1	5	0	0	0
Frankia	5	0	0	0	1
Fulvia	0	0	0	4	2
Fulvivirga	0	0	0	1	5
Geitlerinema	0	2	0	4	0
Geodermatophilus	4	2	0	0	0
Georhizobium	0	2	4	0	0
Gilliamella	0	0	5	0	1
Gleimia	0	2	3	0	1
Gottfriedia	5	0	0	1	0
Halioglobus	1	0	0	5	0
Halovivax	0	5	1	0	0
Helicobacter	0	0	3	2	1
Humitalea	0	6	0	0	0
Jahgtovirus	0	0	0	0	6
Lentibacillus	0	1	1	0	4
Limnochorda	5	0	1	0	0
Loigolactobacillus	1	1	0	0	4
Marispirochaeta	0	0	0	4	2
Megalodesulfovibrio	5	0	0	1	0
Metarhizium	1	0	0	4	1
Methylocaldum	2	2	0	1	1
Methylomagnum	5	1	0	0	0
Microcella	1	2	0	2	1
Micrococcus	4	1	1	0	0
Mucispirillum	4	0	0	0	2
Natroniella	6	0	0	0	0
Natrononativus	0	2	4	0	0
Neptunomonas	0	0	0	4	2
Oceanispirochaeta	0	0	0	6	0
Oleiharenicola	4	1	0	1	0
Oryzobacter	4	1	1	0	0
Paracidovorax	2	2	0	0	2
Paraflavitalea	0	2	0	3	1
Parasphingorhabdus	5	0	1	0	0
Paroceanicella	5	1	0	0	0
Pelosinus	0	0	4	1	1
Prosthecochloris	5	0	0	1	0
Purpureocillium	2	3	0	0	1
Rhodanobacter	3	1	1	0	1
Rhodocaloribacter	3	3	0	0	0
Riemerella	3	0	1	0	2
Rugamonas	4	1	0	1	0
Saccharothrix	5	0	1	0	0
Salidesulfovibrio	3	3	0	0	0
Sinomicrobium	0	4	0	2	0
Stackebrandtia	3	2	0	1	0
Streptomonospora	0	2	3	0	1
Svornostia	0	6	0	0	0
Thalassolituus	1	4	0	1	0
Thermoflexus	2	0	0	2	2
Thioflavicoccus	0	6	0	0	0
Thiohalobacter	0	6	0	0	0
Tistrella	2	3	0	1	0
Tundrisphaera	2	3	1	0	0
Tunturiibacter	2	3	0	1	0
Verrucomicrobium	5	1	0	0	0
Aceticella	0	0	0	2	3
Aciduricibacillus	5	0	0	0	0
Actinacidiphila	0	3	1	0	1
Aeoliella	5	0	0	0	0
Alicycliphilus	2	3	0	0	0
Alkalibacterium	2	0	0	0	3
Anoxybacter	1	0	0	1	3
Antarcticirhabdus	4	1	0	0	0
Aquitalea	1	4	0	0	0
Arenibacter	0	0	0	5	0
Blastococcus	2	2	0	1	0
Brenneria	1	4	0	0	0
Candidatus_Arthromitus	0	0	2	2	1
Carboxydothermus	1	0	0	3	1
Christiangramia	0	0	2	1	2
Chryseomicrobium	3	0	0	2	0
Commensalibacter	2	3	0	0	0
Dehalobacterium	0	0	0	4	1
Delmidovirus	0	0	0	0	5
Denitrovibrio	0	0	2	2	1
Dermatobacter	5	0	0	0	0
Desulfatibacillum	5	0	0	0	0
Desulfofundulus	2	2	1	0	0
Desulfotomaculum	0	0	0	2	3
Dietzia	1	1	2	0	1
Echinicola	3	0	0	2	0
Edwardsiella	0	2	0	2	1
Egicoccus	0	0	3	0	2
Empedobacter	0	3	0	2	0
Engelhardtia	5	0	0	0	0
Gemmatirosa	4	0	0	0	1
Globicatella	3	0	0	0	2
Granulicella	1	4	0	0	0
Guyparkeria	2	3	0	0	0
Haematobacter	0	5	0	0	0
Halorussus	1	0	0	4	0
Hydrogenobacter	0	4	0	1	0
Kibdelosporangium	3	0	0	2	0
Knoellia	3	0	0	2	0
Kordiimonas	0	2	1	2	0
Krasilnikovia	3	0	0	2	0
Lelliottia	1	3	0	0	1
Leptodesmis	5	0	0	0	0
Lichenicola	3	2	0	0	0
Malacoplasma	5	0	0	0	0
Mangrovibacterium	3	0	0	2	0
Marivirga	1	0	1	2	1
Meiothermus	5	0	0	0	0
Mesoterricola	3	2	0	0	0
Mesotoga	4	1	0	0	0
Metabacillus	2	0	1	1	1
Methylosinus	1	0	2	0	2
Methylotenera	0	0	0	0	5
Methyloversatilis	3	2	0	0	0
Micavibrio	0	2	0	3	0
Microaceticoccus	1	1	0	3	0
Microvirgula	1	1	1	2	0
Moineauvirus	0	0	3	2	0
Muricoccus	2	1	2	0	0
Nanchangia	1	0	0	4	0
Nannocystis	2	1	1	1	0
Nosocomiicoccus	0	1	0	4	0
Nostoc	3	0	1	0	1
Octadecabacter	3	0	1	1	0
Paramicrobacterium	5	0	0	0	0
Pasteurella	0	0	1	4	0
Pelolinea	0	0	3	1	1
Phaeodactylibacter	0	0	0	0	5
Phormidium	0	0	0	4	1
Phycisphaera	2	2	0	0	1
Planctellipticum	4	0	1	0	0
Planktothrix	0	0	3	2	0
Prescottella	2	3	0	0	0
Pseudalkalibacillus	0	0	3	0	2
Pseudescherichia	4	1	0	0	0
Pseudolactococcus	0	0	3	1	1
Psychrobacter	3	0	0	1	1
Pukyongiella	2	3	0	0	0
Rhizorhabdus	4	1	0	0	0
Rhodomicrobium	2	2	0	1	0
Rosistilla	2	3	0	0	0
Salinilacustrithrix	1	4	0	0	0
Sandaracinus	4	0	1	0	0
Saxibacter	2	2	0	1	0
Schnuerera	5	0	0	0	0
Sneathiella	1	1	0	3	0
Sphingorhabdus	2	0	0	3	0
Succinivibrio	1	0	0	2	2
Sulfurifustis	1	1	3	0	0
Terrabacter	5	0	0	0	0
Thalassotalea	1	0	0	4	0
Thalassovita	4	1	0	0	0
Thiobacillus	1	0	2	1	1
Trichoderma	0	0	0	5	0
Umezawaea	4	1	0	0	0
Vulgatibacter	2	3	0	0	0
Xylophilus	2	1	0	0	2
Zhouia	0	0	0	0	5
Zobellella	0	0	0	5	0
Acidiferrobacter	3	1	0	0	0
Acidihalobacter	1	1	0	0	2
Actimicrobium	0	4	0	0	0
Actinoalloteichus	1	0	0	0	3
Actinocatenispora	3	0	1	0	0
Actinomycetospora	2	1	0	1	0
Agaribacterium	2	1	0	1	0
Agarivorans	0	2	1	0	1
Agrilactobacillus	3	0	0	0	1
Agrilutibacter	1	3	0	0	0
Alkalihalophilus	1	2	0	0	1
Alkalilimnicola	2	2	0	0	0
Alloscardovia	0	0	2	2	0
Ammonicoccus	2	0	2	0	0
Aquifex	0	0	0	0	4
Avibacterium	0	0	2	2	0
Babesia	0	1	0	1	2
Bermanella	0	0	0	4	0
Bombilactobacillus	0	0	1	3	0
Caenibius	3	0	0	0	1
Calothrix	1	0	2	0	1
Candidatus_Azobacteroides	2	0	2	0	0
Candidatus_Babela	0	0	2	0	2
Candidatus_Bipolaricaulis	4	0	0	0	0
Candidatus_Electrothrix	0	0	0	4	0
Candidatus_Korobacter	0	0	0	0	4
Candidatus_Regiella	0	0	0	0	4
Candidatus_Tisiphia	0	0	0	0	4
Candidatus_Vesicomyidisocius	0	0	0	0	4
Candidiatus_Paracoxiella	0	0	2	0	2
Carboxydichorda	3	1	0	0	0
Carnobacterium	0	1	0	3	0
Castellaniella	2	2	0	0	0
Cellulophaga	0	1	3	0	0
Changchengzhania	4	0	0	0	0
Chitinibacter	0	3	0	1	0
Chitiniphilus	4	0	0	0	0
Chondrinema	0	0	1	2	1
Chroococcidiopsis	2	0	2	0	0
Ciceribacter	0	3	0	0	1
Cloacibacterium	3	1	0	0	0
Crenobacter	0	0	0	4	0
Cryobacterium	1	2	0	0	1
Daejeonia	2	0	0	1	1
Dermacoccus	0	0	2	2	0
Desulfurivibrio	3	1	0	0	0
Desulfurobacterium	0	0	4	0	0
Drechmeria	2	0	0	0	2
Duffyella	0	4	0	0	0
Duganella	1	2	1	0	0
Ectothiorhodospira	3	1	0	0	0
Edaphobacter	4	0	0	0	0
Eleftheria	0	1	3	0	0
Ferribacterium	1	1	2	0	0
Flavisolibacter	1	2	0	1	0
Formosa	0	0	0	4	0
Francisella	1	2	0	1	0
Frischella	0	0	2	0	2
Gaoshiqia	4	0	0	0	0
Geochorda	1	3	0	0	0
Gottschalkia	0	1	0	1	2
Halococcus	0	0	0	4	0
Haloglomus	1	1	0	2	0
Halomarina	1	1	0	2	0
Halomicrococcus	1	3	0	0	0
Halothece	1	2	0	1	0
Hydrocarboniphaga	2	2	0	0	0
Iocasia	0	0	1	0	3
Iodobacter	2	2	0	0	0
Jeotgalibaca	2	0	1	1	0
Kaistia	1	0	0	2	1
Kineobactrum	2	2	0	0	0
Kordia	1	0	2	0	1
Labilithrix	1	2	0	0	1
Lahndsivirus	0	0	0	4	0
Lentzea	2	0	1	0	1
Limibacterium	2	1	0	0	1
Luteithermobacter	0	0	0	2	2
Mahella	2	2	0	0	0
Maribellus	0	2	0	2	0
Marinovum	2	1	0	0	1
Marnyiella	3	0	0	1	0
Melissococcus	0	0	2	2	0
Methylibium	2	2	0	0	0
Methylobacillus	2	0	0	2	0
Microcystis	1	0	0	1	2
Microtetraspora	2	0	2	0	0
Miniphocaeibacter	4	0	0	0	0
Mucisphaera	4	0	0	0	0
Mumia	1	1	2	0	0
Mycetocola	1	2	1	0	0
Mycolicibacillus	0	1	0	3	0
Myroides	0	0	0	4	0
Natrinema	0	0	3	1	0
Natronococcus	0	4	0	0	0
Nautilia	0	4	0	0	0
Nissabacter	0	1	0	3	0
Nitrospirillum	1	0	2	0	1
Niveispirillum	3	1	0	0	0
Novibacillus	0	1	0	3	0
Novosphingopyxis	2	0	0	0	2
Oceanimonas	2	2	0	0	0
Orbus	2	1	0	0	1
Paludisphaera	0	1	0	3	0
Paraconexibacter	2	1	0	0	1
Pelagerythrobacter	3	0	0	1	0
Pelistega	0	0	3	0	1
Phototrophicus	0	0	4	0	0
Phycicoccus	1	2	0	1	0
Phytohabitans	0	4	0	0	0
Pirellulimonas	2	0	1	1	0
Planctopirus	4	0	0	0	0
Planktothricoides	0	0	2	0	2
Plantactinospora	2	0	0	2	0
Pollutimonas	1	2	0	1	0
Pontibacillus	0	2	0	2	0
Protaetiibacter	3	0	0	1	0
Proteinivorax	0	0	2	0	2
Protofrankia	0	1	1	0	2
Pseudanabaena	2	0	2	0	0
Pseudofrankia	4	0	0	0	0
Pseudogulbenkiania	1	3	0	0	0
Pseudosulfitobacter	2	1	0	1	0
Pyxidicoccus	1	2	0	1	0
Radiobacillus	0	0	0	1	3
Rickettsia	0	3	0	0	1
Robiginitalea	3	0	0	1	0
Roseiflexus	3	0	1	0	0
Saccharibacillus	1	3	0	0	0
Saccharococcus	0	0	3	0	1
Salinimonas	1	2	1	0	0
Salinispira	1	0	0	0	3
Sandaracinobacteroides	3	0	0	1	0
Sediminicoccus	2	2	0	0	0
Sediminispirochaeta	0	1	1	0	2
Silicimonas	3	0	0	1	0
Spirillospora	2	1	1	0	0
Sporanaerobacter	4	0	0	0	0
Starkeya	0	4	0	0	0
Sulfidibacter	1	1	0	1	1
Symbiopectobacterium	0	2	1	1	0
Syntrophothermus	1	0	0	3	0
Tatumella	1	0	0	0	3
Tellurirhabdus	2	2	0	0	0
Tetragenococcus	0	0	3	0	1
Thermanaeromonas	4	0	0	0	0
Thermoactinomyces	0	3	0	0	1
Thermodesulfovibrio	2	0	0	2	0
Thermoleophilum	1	0	0	3	0
Thermosulfurimonas	2	0	0	0	2
Thermovibrio	1	0	0	3	0
Thiocapsa	2	2	0	0	0
Thiorhodovibrio	3	1	0	0	0
Thiothrix	0	2	0	2	0
Timonella	0	0	4	0	0
Turicimonas	0	1	0	3	0
Vitreoscilla	1	3	0	0	0
Winogradskyella	0	0	2	1	1
Yimella	3	1	0	0	0
Acetobacteroides	1	2	0	0	0
Acidimicrobium	0	3	0	0	0
Actinobacillus	0	0	1	2	0
Actinobaculum	1	0	0	0	2
Actinotalea	0	1	0	0	2
Aestuariivirga	0	2	0	0	1
Algihabitans	3	0	0	0	0
Aliiroseovarius	0	1	0	1	1
Alloacidobacterium	0	0	1	2	0
Allochromatium	0	3	0	0	0
Allofrancisella	3	0	0	0	0
Alloiococcus	0	0	0	3	0
Allokutzneria	0	3	0	0	0
Aminobacterium	0	0	1	0	2
Anaerohalosphaera	0	0	0	0	3
Anaerolinea	0	0	0	0	3
Anderseniella	0	3	0	0	0
Antarcticibacterium	0	1	0	1	1
Aquabacterium	1	1	1	0	0
Aquiflexum	3	0	0	0	0
Aquimarina	3	0	0	0	0
Aurantimicrobium	1	0	0	2	0
Azotobacter	2	1	0	0	0
Blastomonas	0	1	0	2	0
Botrytis	0	1	0	1	1
Bythopirellula	3	0	0	0	0
Caldalkalibacillus	3	0	0	0	0
Caldithrix	2	1	0	0	0
Cardiobacterium	2	1	0	0	0
Chelatococcus	3	0	0	0	0
Chitinimonas	1	2	0	0	0
Chlamydia	0	0	3	0	0
Cognatishimia	3	0	0	0	0
Croceibacterium	3	0	0	0	0
Crossiella	0	0	0	0	3
Defluviitoga	0	0	1	0	2
Demequina	1	0	0	2	0
Denitratisoma	0	3	0	0	0
Desulfobacter	3	0	0	0	0
Desulfofarcimen	0	3	0	0	0
Desulfolithobacter	1	1	0	0	1
Desulfopila	0	1	1	0	1
Dolosigranulum	0	0	2	0	1
Fidelibacter	1	0	0	1	1
Fimbriimonas	2	1	0	0	0
Fluviicola	3	0	0	0	0
Gaopeijia	3	0	0	0	0
Gephyromycinifex	0	2	0	1	0
Gimibacter	2	1	0	0	0
Grimontia	1	0	0	2	0
Hacihdavirus	0	0	0	3	0
Hafnia	0	0	0	3	0
Haladaptatus	1	1	0	0	1
Halocatena	0	0	0	0	3
Haloferax	0	2	1	0	0
Haloplanus	2	0	0	1	0
Halothiobacillus	1	2	0	0	0
Helicovermis	3	0	0	0	0
Herbiconiux	3	0	0	0	0
Hydrogenophilus	0	3	0	0	0
Hypericibacter	2	1	0	0	0
Iamia	2	1	0	0	0
Imbroritus	0	3	0	0	0
Inhella	1	1	0	0	1
Isosphaera	0	3	0	0	0
Jeotgalibacillus	2	0	1	0	0
Jeotgalicoccus	0	0	0	3	0
Kaistella	0	0	0	0	3
Kerstersia	0	3	0	0	0
Kroppenstedtia	1	1	0	1	0
Labrenzia	0	0	0	2	1
Lacunisphaera	1	0	0	0	2
Leadbetterella	1	0	0	2	0
Leeuwenhoekiella	0	0	0	3	0
Leptothrix	0	3	0	0	0
Limnobacter	3	0	0	0	0
Liquorilactobacillus	2	0	0	1	0
Lutibacter	0	1	1	0	1
Mangrovibacter	0	2	0	0	1
Mangrovivirga	3	0	0	0	0
Marinilongibacter	0	0	0	0	3
Marinobacterium	1	2	0	0	0
Methyloceanibacter	1	1	0	0	1
Methyloligella	1	0	0	1	1
Methylophilus	0	2	1	0	0
Moraxella	0	2	0	0	1
Naasia	0	2	1	0	0
Natrarchaeobaculum	3	0	0	0	0
Natronoglycomyces	0	0	0	3	0
Naumovozyma	0	1	1	0	1
Neomicrococcus	0	2	0	1	0
Nitrobacter	1	2	0	0	0
Nitrososphaera	0	3	0	0	0
Nitrospina	0	3	0	0	0
Occultella	0	0	0	2	1
Okeanomitos	1	0	0	2	0
Oryzomicrobium	1	1	0	0	1
Paenarthrobacter	1	0	1	1	0
Paeniglutamicibacter	0	1	0	2	0
Palleronia	2	0	0	1	0
Paludibacter	2	0	0	0	1
Parablastomonas	0	0	0	3	0
Parachlamydia	0	0	3	0	0
Parageobacillus	1	1	0	0	1
Paraglaciecola	1	0	2	0	0
Pararoseomonas	2	0	0	1	0
Parvularcula	2	1	0	0	0
Phaeodactylum	1	0	2	0	0
Picosynechococcus	0	0	0	3	0
Plasmodium	1	0	0	2	0
Polymorphobacter	2	0	1	0	0
Polystyrenella	1	2	0	0	0
Porphyrobacter	1	0	2	0	0
Pseudaeromonas	2	0	1	0	0
Pseudolabrys	3	0	0	0	0
Pseudoleptotrichia	0	0	1	2	0
Puccinia	0	2	1	0	0
Pusillimonas	0	0	0	3	0
Pyricularia	0	1	0	1	1
Pyrodictium	0	0	3	0	0
Pyrolobus	3	0	0	0	0
Remersonia	1	1	1	0	0
Rhodococcoides	1	0	0	1	1
Rhodoplanes	2	0	1	0	0
Roseimicrobium	1	2	0	0	0
Roseinatronobacter	3	0	0	0	0
Roseococcus	3	0	0	0	0
Ruegeria	2	0	0	1	0
Sagittula	2	1	0	0	0
Salegentibacter	0	0	0	3	0
Salicibibacter	0	1	0	2	0
Salimicrobium	0	1	0	2	0
Salinisphaera	0	3	0	0	0
Salipiger	3	0	0	0	0
Salisediminibacterium	2	0	0	1	0
Saltatorellus	3	0	0	0	0
Seonamhaeicola	0	0	3	0	0
Siccibacter	2	1	0	0	0
Silvimonas	2	1	0	0	0
Sinimarinibacterium	0	1	0	0	2
Snodgrassella	0	3	0	0	0
Solwaraspora	1	2	0	0	0
Sphaerospermopsis	0	0	0	2	1
Sphingomicrobium	1	2	0	0	0
Sulfurihydrogenibium	0	0	0	2	1
Sulfuritalea	0	1	0	0	2
Sulfurovum	1	0	0	1	1
Synechocystis	3	0	0	0	0
Syntrophobacter	1	2	0	0	0
Syntrophobotulus	0	1	0	0	2
Syntrophomonas	2	0	0	0	1
Tahibacter	2	0	0	0	1
Tardibacter	3	0	0	0	0
Tautonia	0	1	2	0	0
Terrirubrum	1	0	1	0	1
Thalassomonas	1	2	0	0	0
Thermincola	0	0	1	1	1
Thermodesulfomicrobium	2	1	0	0	0
Thermogutta	0	0	0	3	0
Thiodictyon	1	0	0	2	0
Thiolapillus	3	0	0	0	0
Thiospirochaeta	0	0	0	3	0
Toxoplasma	1	0	0	2	0
Tropicibacter	0	0	3	0	0
Ustilaginoidea	0	0	0	3	0
Viridibacillus	1	0	1	1	0
Xenorhabdus	2	0	0	1	0
Aequorivita	0	0	0	0	2
Aggregatimonas	2	0	0	0	0
Ahniella	0	0	0	2	0
Alienimonas	2	0	0	0	0
Aliinostoc	0	0	2	0	0
Allosaccharopolyspora	0	0	0	0	2
Alloyangia	0	1	0	1	0
Ammonifex	0	0	0	2	0
Angustibacter	1	0	0	1	0
Anseongella	1	0	0	1	0
Anthocerotibacter	0	0	1	1	0
Antiquaquibacter	2	0	0	0	0
Aquabacter	2	0	0	0	0
Aquisalimonas	2	0	0	0	0
Aquisediminimonas	0	2	0	0	0
Auraticoccus	0	2	0	0	0
Blastochloris	2	0	0	0	0
Borreliella	1	0	0	1	0
Caminicella	0	0	0	2	0
Candidatus_Absconditicoccus	0	0	0	0	2
Candidatus_Aciduliprofundum	2	0	0	0	0
Candidatus_Blochmanniella	0	0	0	0	2
Candidatus_Chromulinivorax	0	0	0	0	2
Candidatus_Endolissoclinum	0	0	2	0	0
Candidatus_Endoriftia	0	2	0	0	0
Candidatus_Endowatersipora	0	2	0	0	0
Candidatus_Fonsibacter	0	0	0	0	2
Candidatus_Kirkpatrickella	0	2	0	0	0
Candidatus_Methylopumilus	0	2	0	0	0
Candidatus_Palibaumannia	0	0	0	2	0
Candidatus_Phytoplasma	2	0	0	0	0
Candidatus_Pristimantibacillus	0	0	0	0	2
Candidatus_Sneabacter	0	2	0	0	0
Candidatus_Spongiihabitans	0	0	2	0	0
Candidatus_Spongiisocius	2	0	0	0	0
Candidatus_Thiodiazotropha	0	2	0	0	0
Candidatus_Uabimicrobium	0	0	0	0	2
Candidatus_Viadribacter	0	2	0	0	0
Cercospora	0	0	0	2	0
Chania	0	0	2	0	0
Chelativorans	2	0	0	0	0
Chenggangzhangella	1	1	0	0	0
Chloracidobacterium	0	0	0	2	0
Chlorogloeopsis	1	0	0	1	0
Cnuibacter	1	0	1	0	0
Colwellia	0	0	2	0	0
Congregibacter	0	0	0	1	1
Couchioplanes	1	1	0	0	0
Curvibacter	0	1	0	0	1
Cyanobacterium	0	0	1	0	1
Cyclobacterium	0	0	2	0	0
Cylindrospermopsis	0	0	0	2	0
Dabirmavirus	0	0	0	2	0
Desulfobaculum	0	0	0	2	0
Desulfococcus	1	1	0	0	0
Dolichospermum	0	0	0	2	0
Dongshaea	2	0	0	0	0
Emticicia	1	0	0	1	0
Epilithonimonas	2	0	0	0	0
Faecalibacter	0	2	0	0	0
Ferrovum	2	0	0	0	0
Fontisphaera	2	0	0	0	0
Fuerstiella	1	0	1	0	0
Geminocystis	1	0	0	1	0
Gemmobacter	2	0	0	0	0
Gracilinema	0	0	0	2	0
Granulibacter	0	2	0	0	0
Halalkalibacterium_(ex_Joshi_et_al._2022)	2	0	0	0	0
Halanaeroarchaeum	0	0	2	0	0
Haliscomenobacter	0	1	0	0	1
Haloferula	1	0	0	0	1
Halomicrobium	1	0	0	0	1
Halorarum	0	1	0	0	1
Halorhodospira	0	1	0	1	0
Halosegnis	0	2	0	0	0
Halosimplex	0	2	0	0	0
Halosquirtibacter	0	0	0	2	0
Hartmannibacter	2	0	0	0	0
Hujiaoplasma	2	0	0	0	0
Hylemonella	0	2	0	0	0
Immundisolibacter	1	1	0	0	0
Jilinvirus	2	0	0	0	0
Ketogulonicigenium	0	1	0	1	0
Kolteria	0	0	1	0	1
Ktedonosporobacter	1	1	0	0	0
Kushneria	2	0	0	0	0
Labilibaculum	1	0	1	0	0
Lacibacter	0	2	0	0	0
Lentilitoribacter	0	0	0	0	2
Lichenicoccus	0	1	0	0	1
Limihaloglobus	0	0	0	2	0
Limnobaculum	0	0	0	2	0
Longispora	1	1	0	0	0
Lonsdalea	0	0	2	0	0
Luteipulveratus	1	0	1	0	0
Luteococcus	0	2	0	0	0
Macrococcoides	1	0	0	1	0
Mannheimia	0	0	0	1	1
Mariluticola	2	0	0	0	0
Marinitoga	1	0	0	0	1
Marisediminicola	0	0	2	0	0
Maritalea	0	2	0	0	0
Melioribacter	0	2	0	0	0
Methanimicrococcus	1	1	0	0	0
Methanolacinia	1	0	0	0	1
Methylomusa	0	1	0	0	1
Miltoncavirus	0	0	0	2	0
Miniimonas	0	0	0	2	0
Minwuia	2	0	0	0	0
Mixta	1	0	0	0	1
Modestobacter	0	0	0	0	2
Mongoliitalea	2	0	0	0	0
Moritella	0	1	0	1	0
Mycoavidus	0	0	0	1	1
Mycoplasmoides	0	0	2	0	0
Natronobacterium	1	1	0	0	0
Natronomonas	1	1	0	0	0
Neotabrizicola	0	0	0	0	2
Nibricoccus	0	0	1	1	0
Nitrosarchaeum	0	0	0	2	0
Nitrosomonas	1	1	0	0	0
Nordella	2	0	0	0	0
Novacetimonas	1	0	0	1	0
