# Pathway	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
P124-PWY: Bifidobacterium shunt	0	0	2.37238e-05	5.38842e-05	1.63375e-05	3.28927e-05	2.97379e-05	7.00384e-06	8.13651e-07	0	3.6642e-05	5.84552e-05	7.73276e-05	8.87102e-05	0.000187408	8.95383e-05	9.39572e-05	7.28785e-06
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	1.62527e-06	0	9.65453e-07	1.52544e-05	2.54088e-06	3.47582e-06	8.83074e-07	0	0	1.11179e-06	2.83091e-07	1.53706e-05	1.59973e-05	7.58226e-06	1.77641e-06	3.45344e-06	1.31486e-06	1.2834e-06
P161-PWY: acetylene degradation (anaerobic)	0.000261229	0.000278271	0.000119828	0.000198025	1.36742e-05	2.11021e-05	6.80211e-05	0.000372014	0.000435434	0.000351148	0.000345027	5.10476e-06	1.78182e-05	2.78625e-05	4.09995e-06	3.9302e-05	6.33263e-05	1.55222e-05
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	0	0	0	0	0	0	0	0	1.1948e-06	0	0	0	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0	0	0	0	0	0	0	3.96083e-07	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	9.42381e-05	2.0667e-05	0.000104351	7.06491e-05	7.40226e-05	8.74873e-05	8.28459e-05	4.85819e-05	5.62947e-05	7.91615e-05	5.35855e-05	0.00017482	0.000119095	0.000290849	9.97264e-05	0.000167135	0.000217979	2.19782e-05
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	7.01333e-06	5.11425e-06	4.85319e-05	0.000113774	1.48705e-05	3.27209e-05	0.000108816	0	1.16223e-06	2.89925e-05	3.08687e-05	0.000130526	4.93796e-05	5.91649e-05	7.10167e-05	3.93019e-05	7.40543e-05	2.47024e-06
P221-PWY: octane oxidation	3.34401e-05	2.61507e-05	2.561e-05	2.99681e-05	5.05822e-07	3.83113e-06	4.21002e-05	2.34635e-05	2.42911e-05	1.80475e-05	4.81049e-05	0	1.90768e-06	1.5257e-06	0	3.09036e-06	6.92652e-06	6.87104e-07
P23-PWY: reductive TCA cycle I	1.76752e-05	1.40322e-05	4.64639e-05	2.0358e-06	1.60629e-06	2.28405e-06	0	1.13169e-05	1.94629e-05	3.11328e-05	6.43804e-05	0	8.85377e-07	8.99267e-06	0	0	0	3.6252e-06
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.000228197	0.000179728	0.00013473	0.000174337	8.19244e-06	5.12075e-05	0.000135232	0.000221382	0.000269895	0.000244115	0.000231949	3.27636e-05	4.85635e-05	2.46203e-05	1.41761e-05	0.000113918	0.000108552	1.04612e-05
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	6.80899e-05	0.000100038	0.000255359	0.00031487	0.00019565	0.000200999	0.000307041	1.92262e-05	6.33672e-05	4.71123e-05	0.000124659	0.000499204	0.000468271	0.000519961	0.000515467	0.000428045	0.000421757	0.000322133
P42-PWY: incomplete reductive TCA cycle	4.39486e-05	5.11639e-05	5.05448e-05	5.33117e-05	6.76814e-06	3.25012e-05	2.51891e-05	1.24533e-05	4.0459e-05	5.91599e-05	8.2179e-05	5.80756e-06	1.95633e-05	2.18399e-05	0	3.03557e-05	1.59248e-05	5.42564e-06
P441-PWY: superpathway of N-acetylneuraminate degradation	0.000283207	0.000251253	0.000170746	0.000199517	5.36218e-05	6.30028e-05	0.000148451	0.000296605	0.000360129	0.000344243	0.000303939	2.97226e-05	0.000118885	0.000102735	2.50396e-05	0.000171736	0.000154797	5.61995e-05
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.000356507	0.000264688	0.000139208	0.000157789	2.17523e-05	5.08324e-05	0.00010347	0.000326655	0.000397881	0.00041885	0.000315403	0.000237572	3.19418e-05	4.59505e-05	3.46889e-05	7.31199e-05	0.00013851	3.02328e-05
P562-PWY: myo-inositol degradation I	0	0	7.68652e-06	7.81019e-06	0	1.32747e-05	1.74729e-06	0	0	0	0	0	0	1.40141e-06	0	0	2.43446e-06	0
P621-PWY: nylon-6 oligomer degradation	0	0	6.96479e-06	0	0	2.41424e-06	0	0	0	0	0	4.34705e-05	6.44516e-05	4.27305e-05	1.48764e-06	1.60184e-05	1.27437e-05	0
PANTO-PWY: phosphopantothenate biosynthesis I	0.000254884	0.000278173	0.000280275	0.000260816	0.00034129	0.000294746	0.000253559	0.00030451	0.000371812	0.000305588	0.000282637	0.000448198	0.000309864	0.000330652	0.000444745	0.000326079	0.000348417	0.000419114
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0.000224818	0.000206706	0.000282889	0.000277212	0.000382151	0.000321243	0.000264945	0.000174511	0.00026325	0.000264042	0.000208311	0.000456595	0.000361354	0.000369003	0.000468591	0.000363246	0.000375451	0.00045908
PENTOSE-P-PWY: pentose phosphate pathway	0.000318982	0.000279212	0.000151124	0.000161139	5.5833e-05	0.000115162	0.00016914	0.000344833	0.000416157	0.000350597	0.000334057	7.7249e-05	0.000111112	8.60995e-05	0.000195386	0.000129392	0.000111497	0.000171069
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.00034344	0.000313097	0.00039041	0.000374893	0.00058417	0.000476667	0.000406019	0.000304408	0.000406676	0.000376347	0.000410951	0.000621713	0.000601053	0.000640988	0.000634914	0.000513507	0.000553472	0.000502649
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.000365628	0.000269077	0.000208127	0.000224893	0.000227082	0.000226536	0.000233158	0.000346699	0.000447872	0.000291423	0.000309647	0.000125309	0.000165419	0.000160101	0.000143685	0.000245644	0.000292615	5.00331e-05
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	3.8607e-06	1.29586e-05	5.6831e-05	3.17426e-05	2.07857e-05	4.9582e-05	3.06832e-05	0	3.66779e-07	1.56199e-06	1.13028e-06	9.58704e-07	6.96758e-06	3.89034e-06	5.19092e-06	8.18937e-06	8.353e-06	6.36139e-06
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.000211011	0.000202405	0.000116537	0.000135354	4.14651e-05	7.46179e-05	0.000133683	0.000238518	0.000247244	0.000252788	0.000153685	6.56745e-06	2.28602e-05	2.30678e-05	4.95585e-06	6.57911e-05	8.4366e-05	3.76205e-05
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.000182507	0.000173081	0.000109853	0.000132375	5.30451e-05	7.69748e-05	0.000110414	0.000162309	0.000194462	0.000179758	0.000200654	9.72269e-06	1.52186e-05	2.3279e-05	1.34664e-05	7.15067e-05	5.80735e-05	7.2963e-06
PPGPPMET-PWY: ppGpp metabolism	2.28267e-05	2.70329e-05	8.60614e-05	0.000113392	2.03824e-05	8.51601e-05	6.45748e-05	3.64621e-05	4.72269e-05	5.00574e-05	4.24159e-05	0.000116913	3.15673e-05	4.85444e-05	3.55172e-05	4.74294e-05	5.54936e-05	8.33629e-06
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	1.53458e-06	1.87447e-06	6.99591e-06	0	4.14682e-06	0	2.52866e-06	0	0	0	0	0	0	0	0	0	0	4.43217e-06
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	1.32644e-06	5.02141e-06	1.98416e-05	6.17845e-05	0	1.41713e-06	3.98332e-05	0	0	1.12375e-05	1.55739e-05	0	2.66343e-06	1.94221e-06	0	0	2.32252e-06	8.13008e-07
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.000160706	0.000137496	0.00013367	0.000166048	0	5.13324e-05	9.09354e-05	0.000151893	0.00021497	0.000183063	0.000167696	0	4.92975e-05	1.50447e-05	0	0.000106185	6.33803e-05	0
PWY-1042: glycolysis IV	0.000401203	0.000386054	0.000494468	0.000487669	0.000646856	0.000584211	0.000515368	0.000375848	0.000425873	0.000500584	0.00044327	0.000901208	0.000787509	0.000740818	0.000836527	0.000678866	0.000694822	0.000640607
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.000239948	0.000200672	0.000118685	0.000141547	0.000164127	9.55725e-05	0.000110121	0.000232132	0.000283024	0.000283933	0.000231295	5.93331e-06	1.26215e-05	1.40614e-05	1.21233e-06	4.80887e-05	3.55348e-05	8.77041e-06
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	1.94167e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-181: photorespiration	0	0	3.19006e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	1.95775e-05	5.50592e-05	4.03077e-05	3.15994e-05	5.8429e-05	1.22905e-05	2.06039e-05	0	6.57432e-07	2.56872e-05	5.22871e-07	0.00046631	0.000135674	0.000125718	2.31688e-05	0.000137482	0.000167226	8.4344e-06
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	1.0582e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.000165183	0.000178491	0.000141592	0.00016373	1.68727e-05	6.20815e-05	0.000151137	7.88995e-05	0.000190227	0.000185308	0.000219251	0.000138053	0.000144178	6.78827e-05	0.00016614	0.000135799	0.000134797	1.07795e-05
PWY-2941: L-lysine biosynthesis II	6.40479e-05	3.80533e-05	0.000108176	0.000115883	8.06508e-05	0.000130747	8.59538e-05	1.17916e-05	3.36523e-05	1.38722e-05	6.48915e-05	0.000163134	0.000291424	0.000269829	5.65396e-05	0.000199707	0.000111697	2.16054e-05
PWY-2942: L-lysine biosynthesis III	0.000327093	0.0002782	0.000347332	0.000319485	0.000456782	0.000354669	0.000354283	0.000243368	0.000316104	0.000290336	0.000366816	0.000553449	0.000458431	0.000526057	0.00063188	0.000425538	0.000432827	0.000299713
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.000352147	0.000303187	0.000284551	0.000330661	0.000302227	0.000336983	0.000337188	0.000310127	0.000396934	0.000435144	0.000396184	0.000469463	0.000479082	0.000484811	0.000454333	0.000420311	0.000438546	0.000319843
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48352e-06	0	0	0
PWY-3801: sucrose degradation II (sucrose synthase)	2.62955e-06	1.11537e-05	3.05799e-05	1.54682e-06	0	0	8.12525e-05	0	0	1.44624e-05	3.47614e-05	0	2.44884e-06	0	0	0	0	0
PWY-3841: folate transformations II (plants)	0.000297077	0.000279688	0.000356929	0.000338826	0.000499986	0.00039006	0.00035724	0.00021322	0.000301562	0.000335229	0.000320389	0.000514305	0.000446676	0.00046689	0.000458206	0.000408612	0.000416958	0.000439597
PWY-4041: &gamma;-glutamyl cycle	0.00026066	0.000201493	0.000111949	0.000135434	2.99298e-05	4.60999e-05	0.000133037	0.000290149	0.000306023	0.000263555	0.000229982	0.000137531	0.000160525	0.000113982	0.000140104	0.00012104	0.000171212	2.45848e-05
PWY-4984: urea cycle	0.000100213	2.39475e-05	6.8277e-05	2.86611e-05	4.22242e-05	7.21693e-05	7.58038e-05	3.05027e-07	4.82609e-06	2.56736e-05	6.00202e-05	7.63725e-07	7.15987e-06	3.33149e-06	5.23497e-06	6.57129e-06	7.10247e-06	4.95171e-06
PWY-5004: superpathway of L-citrulline metabolism	1.05068e-05	1.23647e-05	4.32965e-06	1.47179e-06	0	0	0	4.35655e-07	5.3502e-06	1.40301e-06	1.27567e-05	0	0	0	0	0	0	0
PWY-5005: biotin biosynthesis II	1.66025e-06	9.46085e-07	5.7352e-06	2.96469e-05	2.13646e-05	2.09527e-05	1.85973e-05	0	3.17966e-06	0	0	0	3.02139e-05	8.81996e-06	0	1.97173e-05	1.58226e-05	0.000100308
PWY-5022: 4-aminobutanoate degradation V	6.40479e-05	2.27142e-05	1.89878e-05	1.32704e-05	0	3.91723e-05	6.46019e-05	0	3.72224e-05	4.29887e-05	3.82421e-05	0	0	0	0	0	0	3.67628e-06
PWY-5028: L-histidine degradation II	0	0	6.23376e-06	2.59878e-06	0	1.51409e-06	0	0	0	0	2.44068e-06	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	8.80755e-05	1.83542e-05	2.47553e-05	2.15907e-05	3.03931e-05	5.90852e-05	5.95324e-05	4.3324e-06	2.13043e-05	3.79744e-05	3.09344e-05	3.4275e-06	1.26787e-05	9.16978e-06	3.48264e-06	3.18242e-06	9.73272e-07	9.50005e-06
PWY-5088: L-glutamate degradation VIII (to propanoate)	1.60705e-05	2.20714e-06	3.44454e-06	2.4203e-06	0	5.02273e-07	0	1.64481e-06	0	2.94635e-05	1.22e-05	0	7.26555e-07	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	0.000330061	0.00027594	0.000352482	0.000348409	0.000538267	0.000414242	0.000380534	0.00024397	0.000316984	0.00031974	0.00037341	0.000572022	0.000545817	0.00054436	0.000636697	0.000465984	0.00050898	0.000424182
PWY-5100: pyruvate fermentation to acetate and lactate II	0.000132311	0.000130045	0.000255359	0.00031487	0.00019565	0.000200999	0.000307041	0.000186686	0.000237456	0.000197567	0.000140873	0.000499204	0.000468271	0.000519961	0.000515467	0.000428045	0.000421757	0.000322133
PWY-5103: L-isoleucine biosynthesis III	0.000353066	0.000337441	0.000341397	0.000347821	0.000557019	0.00040193	0.000380834	0.000345714	0.000481458	0.000455861	0.000396408	0.000560186	0.000572979	0.000526028	0.000573197	0.000486086	0.000541994	0.000380464
PWY-5104: L-isoleucine biosynthesis IV	4.88211e-05	2.18144e-05	2.83568e-05	1.81338e-05	1.03699e-06	2.0334e-06	2.29117e-05	8.31205e-06	1.99016e-05	3.96962e-05	5.3933e-05	0	3.16145e-06	1.41839e-06	0	1.58201e-06	5.82339e-06	3.04917e-06
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.000121176	0.000138726	7.71201e-05	5.432e-05	0.000120237	0.000137869	0.000118328	8.78693e-05	0.000132642	0.000147642	0.000151278	2.11053e-05	7.35059e-05	0.000115736	0.000146445	0.000146562	3.49001e-05	5.99819e-05
PWY-5130: 2-oxobutanoate degradation I	7.7895e-06	8.33283e-06	2.55559e-05	1.83643e-05	9.57268e-06	1.27173e-05	1.00702e-05	3.37542e-06	1.23057e-05	1.66164e-05	1.78315e-05	7.90653e-07	2.60473e-06	1.52017e-06	0	8.99279e-07	1.85812e-06	1.20712e-05
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.000185198	0.00030015	0.000150383	0.000187553	5.95992e-06	4.78473e-05	0.000127348	0.00040172	0.000517396	0.000348678	0.000447067	1.02937e-05	2.78432e-05	2.41061e-05	2.67539e-06	8.91266e-05	7.4483e-05	1.82502e-05
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	6.74712e-05	7.60352e-05	5.47896e-05	0.000109164	7.56694e-07	2.17333e-05	4.57579e-05	8.79078e-05	0.000101343	0.000193302	0.000130325	0	4.86648e-06	2.92939e-06	3.92843e-07	3.58867e-05	1.87535e-05	5.59636e-06
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.000338459	0.00031089	0.000280806	0.000232006	0.000324898	0.000289129	0.000189123	0.000307341	0.000368284	0.00041067	0.00034485	6.61865e-05	8.65776e-05	7.97027e-05	7.19757e-06	0.000136128	0.000146949	1.9901e-05
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	0	0	0	0	0	0	0	0	0	0	0	0	0	8.84488e-06	0	0	0	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.000165385	0	4.69939e-05	7.18397e-05	0	0	0	0	0	0	0	0	2.82417e-06	5.8559e-06	0	0	2.71098e-05	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.000253129	0.000221664	0.000172314	0.000153653	0.000117319	8.60331e-05	0.000130913	0.000302786	0.000361515	0.000308164	0.000276907	0.000323543	0.000252874	0.000264488	0.000354642	0.000228624	0.000285201	0.000209973
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.000170337	0.000143933	6.7955e-05	4.05725e-05	1.34548e-05	2.17068e-05	4.46088e-05	0.000211813	0.000236104	0.000210026	0.000180267	1.69757e-05	9.73426e-06	2.63415e-05	1.03615e-06	6.96349e-05	3.57816e-05	3.16356e-06
PWY-5198: factor 420 biosynthesis II (mycobacteria)	2.02626e-07	1.36405e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5209: methyl-coenzyme M oxidation to CO2	0	1.40089e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	2.70349e-05	3.38102e-06	3.26716e-05	3.21458e-05	2.83407e-05	4.045e-06	0	0	0	0	0	1.08245e-05	0	3.18076e-05	0	0	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.000216038	0.000201737	0.000174946	0.000190048	5.33286e-05	0.000131083	0.000190137	5.20626e-05	0.000209798	0.000195645	0.000231028	5.65175e-05	5.9526e-05	0.000116779	5.33568e-06	0.000199239	0.000225207	1.44825e-05
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.000340086	0.000256791	0.000140326	0.00016404	6.40821e-06	4.34976e-05	0.000132748	0.000312812	0.000341862	0.000355821	0.000302588	1.80575e-05	3.27821e-05	3.66332e-05	6.91297e-06	8.50274e-05	9.20532e-05	7.77207e-06
PWY-5367: petroselinate biosynthesis	0.000127141	9.03264e-05	3.20629e-05	4.97752e-05	2.55305e-05	3.66296e-05	2.63627e-05	0.000133185	0.000144906	0.000152345	0.000126738	7.07213e-06	6.98496e-05	1.15416e-05	1.20678e-05	5.97657e-05	2.39435e-05	3.28732e-06
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.000240243	0.000208617	0.000150161	0.000282031	4.69885e-05	6.81683e-05	0.000200145	0.000296386	0.000322603	0.000258721	0.000290289	0.000180055	0.000127948	9.61947e-05	0.000157667	0.000158772	0.000110324	6.7609e-05
PWY-5392: reductive TCA cycle II	1.22727e-05	6.19255e-06	2.03274e-05	1.74924e-06	0	2.00128e-06	0	1.31486e-06	7.62983e-06	8.03082e-06	1.06098e-05	0	7.73989e-07	5.37636e-06	0	0	0	0
PWY-5415: catechol degradation I (meta-cleavage pathway)	4.78551e-06	0	1.40777e-05	1.65922e-06	0	0	0	0	0	0	0	4.02995e-07	6.35461e-07	5.33828e-06	0	1.46928e-06	1.65175e-06	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	1.09571e-06	5.79212e-06	2.10988e-05	6.18724e-05	0	2.14259e-06	4.29411e-05	0	0	8.8298e-06	1.66892e-05	0	2.09879e-06	0	0	0	3.00424e-06	0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	1.09571e-06	5.79212e-06	2.10988e-05	6.18724e-05	0	2.14259e-06	4.29411e-05	0	0	8.8298e-06	1.66892e-05	0	2.09879e-06	0	0	0	3.00424e-06	0
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	8.89835e-06	2.31718e-06	1.79758e-05	0	8.57824e-06	0	2.26497e-05	0	0	0	5.23302e-06	1.66931e-05	4.53035e-06	8.38244e-06	0	5.27492e-06	0	5.49529e-06
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.000342155	0.000325372	0.000225438	0.000206892	5.21829e-05	0.000123719	0.000219123	0.000341427	0.000422056	0.000412061	0.000366054	0.000153394	0.000257636	0.000191256	0.000206916	0.000189828	0.000196272	4.72762e-05
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	6.87375e-07	8.3965e-07	3.23732e-06	0	1.96291e-06	0	1.14363e-06	0	0	0	0	0	0	0	0	0	0	2.03124e-06
PWY-5497: purine nucleobases degradation II (anaerobic)	7.47997e-05	9.49345e-05	5.4116e-05	5.5778e-05	1.38715e-05	3.21321e-05	3.18287e-05	0.000140373	0.000167346	0.000123608	0.000107355	2.35375e-06	1.53502e-05	3.98676e-06	4.51116e-06	2.32217e-05	3.028e-05	1.10798e-05
PWY-5505: L-glutamate and L-glutamine biosynthesis	8.66981e-06	1.06059e-05	8.24196e-05	0.000112819	5.84575e-05	0.000103304	8.52771e-05	2.22621e-06	1.0085e-05	2.85992e-05	1.7489e-05	1.24892e-05	2.44089e-05	1.27124e-05	1.00919e-05	8.46354e-05	7.49374e-05	4.0118e-06
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8747e-07	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.000218256	0.000219113	0.000107524	0.000123265	3.13448e-06	3.72519e-05	0.000114293	0.000261988	0.000271918	0.000249134	0.000266988	1.25126e-06	1.36693e-05	1.39809e-05	0	5.63672e-05	5.81468e-05	5.08748e-06
PWY-5647: 2-nitrobenzoate degradation I	0	6.16324e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0	5.10194e-08	3.73066e-06	1.66422e-07	0	1.53038e-07	1.31781e-07	0	0	0	8.67516e-07	0	0	4.23151e-07	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	6.18988e-05	4.85776e-05	2.64628e-05	1.84448e-05	7.37334e-07	6.0081e-06	7.14233e-07	0.000201308	0.00018692	0.000214969	0.000124351	0	6.6817e-07	3.15504e-06	0	1.12117e-05	2.23964e-05	0
PWY-5659: GDP-mannose biosynthesis	0.00023167	0.000113984	0.000136656	0.000146201	0.000114219	0.000126254	8.91185e-05	0.000225015	0.00044426	0.00030658	0.000155109	0.000163265	0.000148829	0.000131028	4.52539e-05	0.000107649	0.00010355	3.22991e-05
PWY-5667: CDP-diacylglycerol biosynthesis I	0.000418453	0.000291493	0.000339408	0.000301387	0.000465553	0.00041085	0.000352516	0.000357559	0.000511647	0.000287711	0.000334158	0.0005812	0.000563177	0.000554777	0.000532526	0.000445596	0.000487244	0.000470419
PWY-5675: nitrate reduction V (assimilatory)	0.00028634	0.000290541	8.89452e-05	0.000129485	7.72212e-07	3.28686e-05	2.35045e-05	0.000356832	0.000425752	0.000379967	0.00037198	4.4436e-07	1.48235e-05	8.50345e-06	6.49621e-07	5.21079e-05	6.07927e-05	2.02809e-06
PWY-5676: acetyl-CoA fermentation to butanoate II	2.07218e-05	4.98756e-05	7.47704e-05	4.86932e-05	2.73233e-05	2.32311e-05	6.07225e-05	2.07503e-05	6.37477e-05	6.57516e-05	4.63436e-05	0.000193381	7.96739e-05	5.27344e-05	2.98315e-05	3.35895e-05	9.83156e-05	2.97543e-05
PWY-5677: succinate fermentation to butanoate	3.1238e-06	0	1.0548e-06	8.60083e-07	0	0	0	0	0	8.64278e-07	0	0	0	0	0	0	0	1.25614e-06
PWY-5686: UMP biosynthesis I	0.000273359	0.000260583	0.000424837	0.000402777	0.000643743	0.000503827	0.000434189	0.000216107	0.000318292	0.000266459	0.000294439	0.000561225	0.000584654	0.000588459	0.000567333	0.000544921	0.000529358	0.000607557
PWY-5690: TCA cycle II (plants and fungi)	4.87153e-06	1.25342e-06	1.01888e-05	1.19296e-05	1.40811e-05	1.07918e-05	1.46135e-05	0	0	0	1.30958e-05	1.29005e-05	2.49345e-06	5.14295e-06	0	3.93346e-06	3.89162e-06	7.11716e-06
PWY-5692: allantoin degradation to glyoxylate II	1.83419e-05	1.04805e-05	2.39848e-06	1.26865e-06	0	0	0	6.29798e-06	0	1.92393e-05	7.10067e-06	0	2.02052e-07	3.61287e-07	0	1.7086e-06	1.292e-06	0
PWY-5695: inosine 5'-phosphate degradation	0.000430031	0.000386245	0.00035838	0.000349068	0.000495343	0.000380103	0.000364798	0.000506262	0.000647039	0.000463173	0.000521237	0.000388361	0.000387628	0.000305289	0.00032497	0.000372398	0.000378275	0.000320755
PWY-5705: allantoin degradation to glyoxylate III	6.61219e-05	3.06136e-05	5.53606e-06	2.33162e-06	0	0	4.10943e-07	7.68459e-05	7.03961e-05	2.78825e-05	3.95475e-05	0	2.1869e-07	1.02101e-06	0	3.4274e-06	7.18788e-06	0
PWY-5723: Rubisco shunt	0.000341198	0.000302839	0.000171252	0.000161223	0	3.81065e-05	0.000129477	0.000304193	0.000404573	0.000435935	0.0003246	9.45745e-06	2.48265e-05	7.1975e-06	1.61615e-06	6.89597e-05	6.27321e-05	3.61399e-06
PWY-5747: 2-methylcitrate cycle II	2.62181e-05	2.42558e-05	2.33696e-05	1.75696e-05	0	1.50616e-06	9.25102e-06	7.77535e-05	9.65005e-05	2.78347e-05	5.71198e-05	0	3.29328e-06	1.34962e-06	0	6.02466e-06	9.43206e-06	7.80032e-07
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0.000129166	0.000115557	6.35623e-05	9.48943e-05	5.29736e-06	2.55781e-05	6.29781e-05	0.00022172	0.000232507	0.000227161	0.000147034	7.90802e-06	1.81549e-05	9.35061e-06	1.4404e-06	2.86578e-05	2.64473e-05	1.86593e-06
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.000203057	0.00016373	9.80384e-05	0.000112106	1.63718e-05	5.5886e-05	8.62887e-05	0.000208089	0.000272941	0.000232791	0.000203248	4.83807e-06	1.76127e-05	1.5043e-05	3.82384e-06	4.71248e-05	4.65909e-05	4.60928e-06
PWY-5840: superpathway of menaquinol-7 biosynthesis	0.000184155	0.000153931	9.09033e-05	0.000105243	0	3.87323e-05	8.05828e-05	0.000183611	0.000241085	0.000184715	0.00016728	1.39111e-05	2.13111e-05	1.54904e-05	0	4.52582e-05	3.51295e-05	4.96884e-06
PWY-5845: superpathway of menaquinol-9 biosynthesis	0.000184155	0.000153931	9.09033e-05	0.000105243	4.57341e-06	3.87323e-05	8.05828e-05	0.000183611	0.000241085	0.000184715	0.00016728	0	1.76127e-05	0	0	4.52582e-05	3.51295e-05	0
PWY-5850: superpathway of menaquinol-6 biosynthesis	0.000184155	0.000153931	9.09033e-05	0.000105243	0	3.87323e-05	8.05828e-05	0.000183611	0.000241085	0.000184715	0.00016728	0	1.76127e-05	7.87562e-06	0	4.52582e-05	3.51295e-05	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	3.31415e-05	1.23889e-05	2.8534e-05	5.73167e-05	0	1.07919e-05	2.29955e-05	1.33449e-05	1.18704e-05	7.35465e-05	2.6758e-05	0	1.28414e-06	0	0	1.75742e-05	7.85438e-06	1.23923e-06
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0.00015002	0.000130632	7.33274e-05	8.82158e-05	0	2.78974e-05	6.98631e-05	0.000173186	0.000220009	0.000150602	0.000141369	0	1.3683e-05	5.36515e-06	0	3.5904e-05	2.50421e-05	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0.000169276	0.000141404	8.04082e-05	9.55732e-05	1.11294e-05	4.17385e-05	7.64361e-05	0.000207763	0.000261841	0.000201492	0.000182255	3.35513e-06	1.3683e-05	1.04558e-05	3.0511e-06	3.76801e-05	3.39804e-05	3.09994e-06
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0.00015002	0.000130632	7.33274e-05	8.82158e-05	3.06547e-06	2.78974e-05	6.98631e-05	0.000173186	0.000220009	0.000150602	0.000141369	0	1.3683e-05	0	0	3.5904e-05	2.50421e-05	0
