# Feature	Level means (|ed)	P-value	Q-value
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	Stool:0.0001978|Tongue_dorsum:0.0008977|Buccal_mucosa:0.0005566|Supragingival_plaque:0.0008911|Posterior_fornix:0.0003404|Anterior_nares:0.0002319	7.002e-53	2.243e-52
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Stool:3.307e-05|Tongue_dorsum:0.0001225|Buccal_mucosa:2.986e-05|Supragingival_plaque:5.813e-05|Posterior_fornix:2.716e-06|Anterior_nares:0	1.365e-52	4.334e-52
PWY-7219: adenosine ribonucleotides de novo biosynthesis	Stool:0.001711|Tongue_dorsum:0.001712|Buccal_mucosa:0.001972|Supragingival_plaque:0.001284|Posterior_fornix:0.003685|Anterior_nares:0.0005219	1.379e-52	4.338e-52
PWY-6897: thiamin salvage II	Stool:6.819e-06|Tongue_dorsum:0.000277|Buccal_mucosa:0.0001419|Supragingival_plaque:0.0001625|Posterior_fornix:6.727e-07|Anterior_nares:6.74e-05	1.676e-52	5.224e-52
PWY-2941: L-lysine biosynthesis II	Stool:3.903e-05|Tongue_dorsum:0.0005303|Buccal_mucosa:0.0006444|Supragingival_plaque:0.0002958|Posterior_fornix:0.0008511|Anterior_nares:2.354e-05	2.886e-52	8.915e-52
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	Stool:0.0001296|Tongue_dorsum:6.7e-05|Buccal_mucosa:2.433e-05|Supragingival_plaque:7.071e-05|Posterior_fornix:1.444e-05|Anterior_nares:0	2.759e-51	8.448e-51
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	Stool:8.985e-08|Tongue_dorsum:3.867e-07|Buccal_mucosa:1.527e-06|Supragingival_plaque:1.948e-05|Posterior_fornix:0|Anterior_nares:0	4.421e-51	1.342e-50
PWY66-409: superpathway of purine nucleotide salvage	Stool:0|Tongue_dorsum:5.523e-06|Buccal_mucosa:1.266e-05|Supragingival_plaque:0.000106|Posterior_fornix:0|Anterior_nares:2.498e-05	5.365e-51	1.614e-50
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	Stool:6.01e-06|Tongue_dorsum:0.0002483|Buccal_mucosa:0.000152|Supragingival_plaque:0.0001459|Posterior_fornix:6.042e-07|Anterior_nares:7.311e-05	2.903e-50	8.659e-50
HISDEG-PWY: L-histidine degradation I	Stool:2.407e-05|Tongue_dorsum:9.907e-05|Buccal_mucosa:3.055e-05|Supragingival_plaque:0.0001657|Posterior_fornix:2.266e-06|Anterior_nares:0.0002271	3.285e-50	9.714e-50
PWY-5973: cis-vaccenate biosynthesis	Stool:0.0001165|Tongue_dorsum:8.471e-05|Buccal_mucosa:1.818e-05|Supragingival_plaque:3.613e-05|Posterior_fornix:1.335e-05|Anterior_nares:0	4.383e-50	1.285e-49
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	Stool:5.821e-06|Tongue_dorsum:7.087e-05|Buccal_mucosa:1.231e-05|Supragingival_plaque:4.101e-05|Posterior_fornix:2.712e-06|Anterior_nares:0	5.235e-50	1.522e-49
PWY-4041: &gamma;-glutamyl cycle	Stool:2.362e-06|Tongue_dorsum:6.94e-05|Buccal_mucosa:3.087e-05|Supragingival_plaque:1.174e-05|Posterior_fornix:5.838e-06|Anterior_nares:1.177e-06	6.576e-50	1.896e-49
TRNA-CHARGING-PWY: tRNA charging	Stool:0.0004299|Tongue_dorsum:0.000591|Buccal_mucosa:0.0002729|Supragingival_plaque:0.000405|Posterior_fornix:6.356e-05|Anterior_nares:3.441e-05	7.43e-50	2.125e-49
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	Stool:1.718e-05|Tongue_dorsum:2.17e-05|Buccal_mucosa:5.032e-05|Supragingival_plaque:0.0001084|Posterior_fornix:3.987e-06|Anterior_nares:8.943e-06	1.058e-49	3.002e-49
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Stool:0.0007767|Tongue_dorsum:0.0007424|Buccal_mucosa:0.000379|Supragingival_plaque:0.0006199|Posterior_fornix:5.948e-05|Anterior_nares:0.0001926	1.233e-49	3.467e-49
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	Stool:7.137e-05|Tongue_dorsum:5.716e-05|Buccal_mucosa:6.99e-06|Supragingival_plaque:3.891e-05|Posterior_fornix:9.759e-06|Anterior_nares:9.013e-08	2.108e-49	5.883e-49
CITRULBIO-PWY: L-citrulline biosynthesis	Stool:0.0001257|Tongue_dorsum:1.788e-06|Buccal_mucosa:1.45e-05|Supragingival_plaque:8.861e-05|Posterior_fornix:8.064e-06|Anterior_nares:0.0001858	2.31e-49	6.394e-49
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	Stool:0.0003959|Tongue_dorsum:0.0004978|Buccal_mucosa:0.0003541|Supragingival_plaque:0.0002468|Posterior_fornix:1.959e-05|Anterior_nares:1.504e-05	2.505e-49	6.879e-49
PWY-6892: thiazole biosynthesis I (E. coli)	Stool:2.645e-06|Tongue_dorsum:6.349e-05|Buccal_mucosa:8.188e-06|Supragingival_plaque:9.834e-06|Posterior_fornix:0|Anterior_nares:7.892e-07	2.708e-49	7.377e-49
PWY-3841: folate transformations II	Stool:0.0009819|Tongue_dorsum:0.0007198|Buccal_mucosa:0.001054|Supragingival_plaque:0.0003779|Posterior_fornix:0.000176|Anterior_nares:0.0003608	2.749e-49	7.431e-49
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	Stool:1.437e-05|Tongue_dorsum:0.0005326|Buccal_mucosa:0.001085|Supragingival_plaque:0.0003958|Posterior_fornix:0.001194|Anterior_nares:0.0003904	3.412e-49	9.152e-49
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	Stool:1.2e-05|Tongue_dorsum:0.0001851|Buccal_mucosa:3.193e-05|Supragingival_plaque:3.974e-05|Posterior_fornix:0|Anterior_nares:2.74e-06	3.575e-49	9.514e-49
PWY-5989: stearate biosynthesis II (bacteria and plants)	Stool:3.204e-05|Tongue_dorsum:8.16e-05|Buccal_mucosa:2.037e-05|Supragingival_plaque:3.966e-05|Posterior_fornix:2.922e-06|Anterior_nares:0	4.721e-49	1.247e-48
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	Stool:0.0006052|Tongue_dorsum:0.0004349|Buccal_mucosa:0.0002468|Supragingival_plaque:0.0005234|Posterior_fornix:0.0001761|Anterior_nares:1.3e-05	5.798e-49	1.52e-48
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	Stool:0.0004313|Tongue_dorsum:0.0003181|Buccal_mucosa:0.0007377|Supragingival_plaque:0.0005304|Posterior_fornix:0.0001876|Anterior_nares:0.0001594	1.35e-48	3.511e-48
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	Stool:0.0003787|Tongue_dorsum:0.0008793|Buccal_mucosa:0.0009404|Supragingival_plaque:0.000894|Posterior_fornix:0.0004903|Anterior_nares:0.0003436	1.485e-48	3.835e-48
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	Stool:0.0002002|Tongue_dorsum:0.0001951|Buccal_mucosa:4.324e-05|Supragingival_plaque:0.0001237|Posterior_fornix:0.0001005|Anterior_nares:3.071e-06	1.676e-48	4.296e-48
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Stool:0.0001648|Tongue_dorsum:0.0004056|Buccal_mucosa:0.0003507|Supragingival_plaque:0.000392|Posterior_fornix:4.54e-06|Anterior_nares:3.241e-05	3.49e-48	8.879e-48
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	Stool:2.034e-05|Tongue_dorsum:1.322e-07|Buccal_mucosa:3.409e-06|Supragingival_plaque:4.247e-06|Posterior_fornix:2.156e-06|Anterior_nares:0	5.695e-48	1.438e-47
PWY66-399: gluconeogenesis III	Stool:7.981e-05|Tongue_dorsum:0.0003053|Buccal_mucosa:0.0001567|Supragingival_plaque:0.0002438|Posterior_fornix:3.067e-06|Anterior_nares:5.472e-05	6.686e-48	1.676e-47
PWY-6527: stachyose degradation	Stool:0.0002154|Tongue_dorsum:0.0002301|Buccal_mucosa:8.857e-05|Supragingival_plaque:0.0001543|Posterior_fornix:3.556e-05|Anterior_nares:3.817e-06	8.105e-48	2.018e-47
PWY-6608: guanosine nucleotides degradation III	Stool:2.494e-05|Tongue_dorsum:4.298e-05|Buccal_mucosa:5.826e-06|Supragingival_plaque:1.992e-05|Posterior_fornix:1.531e-06|Anterior_nares:0	8.597e-48	2.125e-47
PWY-6353: purine nucleotides degradation II (aerobic)	Stool:2.277e-05|Tongue_dorsum:6.184e-05|Buccal_mucosa:7.926e-06|Supragingival_plaque:2.817e-05|Posterior_fornix:2.117e-06|Anterior_nares:0	1.074e-47	2.636e-47
PWY-6609: adenine and adenosine salvage III	Stool:2.409e-05|Tongue_dorsum:0.0004164|Buccal_mucosa:0.0001223|Supragingival_plaque:0.0001418|Posterior_fornix:1.469e-05|Anterior_nares:9.864e-05	1.453e-47	3.54e-47
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	Stool:2.169e-05|Tongue_dorsum:5.536e-05|Buccal_mucosa:3.845e-05|Supragingival_plaque:0.0001178|Posterior_fornix:3.424e-06|Anterior_nares:1.812e-06	2.181e-47	5.278e-47
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	Stool:1.022e-05|Tongue_dorsum:1.561e-05|Buccal_mucosa:2.389e-05|Supragingival_plaque:6.262e-05|Posterior_fornix:7.985e-07|Anterior_nares:6.673e-06	2.636e-47	6.333e-47
PWY-621: sucrose degradation III (sucrose invertase)	Stool:0.0001408|Tongue_dorsum:0.0002856|Buccal_mucosa:0.0008148|Supragingival_plaque:0.0001789|Posterior_fornix:0.001122|Anterior_nares:1.587e-05	5.163e-47	1.232e-46
GLUCONEO-PWY: gluconeogenesis I	Stool:8.803e-05|Tongue_dorsum:9.789e-05|Buccal_mucosa:0.0001705|Supragingival_plaque:0.0002148|Posterior_fornix:2.422e-06|Anterior_nares:1.066e-05	8.126e-47	1.926e-46
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	Stool:1.657e-05|Tongue_dorsum:3.421e-05|Buccal_mucosa:4.077e-06|Supragingival_plaque:1.984e-05|Posterior_fornix:1.768e-06|Anterior_nares:6.53e-08	8.683e-47	2.044e-46
PWY-7221: guanosine ribonucleotides de novo biosynthesis	Stool:0.0008123|Tongue_dorsum:0.00107|Buccal_mucosa:0.001446|Supragingival_plaque:0.001078|Posterior_fornix:0.0003748|Anterior_nares:0.0004126	1.755e-46	4.102e-46
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	Stool:0.0002308|Tongue_dorsum:0.0003236|Buccal_mucosa:0.0001834|Supragingival_plaque:0.0002183|Posterior_fornix:5.1e-05|Anterior_nares:5.285e-06	1.9e-46	4.412e-46
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	Stool:0.0008975|Tongue_dorsum:0.0006106|Buccal_mucosa:0.0005211|Supragingival_plaque:0.0004925|Posterior_fornix:0.0001802|Anterior_nares:0.0001103	9.412e-46	2.171e-45
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Stool:0.0009509|Tongue_dorsum:0.0006702|Buccal_mucosa:0.000583|Supragingival_plaque:0.0005463|Posterior_fornix:0.0001929|Anterior_nares:0.0001241	1.635e-45	3.745e-45
PWY-5484: glycolysis II (from fructose 6-phosphate)	Stool:0.0001651|Tongue_dorsum:0.0003533|Buccal_mucosa:0.0002215|Supragingival_plaque:0.0002626|Posterior_fornix:4.134e-06|Anterior_nares:2.825e-05	2.161e-45	4.918e-45
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Stool:1.62e-05|Tongue_dorsum:0.0003156|Buccal_mucosa:0.0001329|Supragingival_plaque:3.374e-05|Posterior_fornix:4.539e-07|Anterior_nares:0.0001295	2.518e-45	5.694e-45
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	Stool:1.645e-05|Tongue_dorsum:3.05e-05|Buccal_mucosa:2.242e-05|Supragingival_plaque:7.13e-05|Posterior_fornix:2.194e-06|Anterior_nares:1.007e-06	3.127e-45	7.026e-45
ANAEROFRUCAT-PWY: homolactic fermentation	Stool:0.0003086|Tongue_dorsum:0.0004012|Buccal_mucosa:0.0002099|Supragingival_plaque:0.0003424|Posterior_fornix:1.726e-05|Anterior_nares:2.019e-05	1.111e-44	2.479e-44
PWY-6901: superpathway of glucose and xylose degradation	Stool:1.058e-05|Tongue_dorsum:7.064e-05|Buccal_mucosa:3.761e-05|Supragingival_plaque:8.389e-05|Posterior_fornix:0|Anterior_nares:2.27e-06	1.21e-44	2.675e-44
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	Stool:1.509e-05|Tongue_dorsum:3.821e-05|Buccal_mucosa:5.879e-06|Supragingival_plaque:3.194e-05|Posterior_fornix:0|Anterior_nares:1.522e-06	1.214e-44	2.675e-44
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	Stool:6.638e-05|Tongue_dorsum:7.67e-06|Buccal_mucosa:3.65e-06|Supragingival_plaque:2.481e-06|Posterior_fornix:1.142e-06|Anterior_nares:0	2.125e-44	4.653e-44
PWY-6606: guanosine nucleotides degradation II	Stool:1.245e-05|Tongue_dorsum:2.639e-05|Buccal_mucosa:3.674e-06|Supragingival_plaque:1.366e-05|Posterior_fornix:1.214e-06|Anterior_nares:0	4.602e-44	1.001e-43
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	Stool:0.0004014|Tongue_dorsum:0.0004998|Buccal_mucosa:0.0004305|Supragingival_plaque:0.0004509|Posterior_fornix:3.563e-05|Anterior_nares:1.548e-05	1.209e-43	2.614e-43
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	Stool:1.2e-05|Tongue_dorsum:2.522e-05|Buccal_mucosa:3.655e-06|Supragingival_plaque:1.399e-05|Posterior_fornix:1.25e-06|Anterior_nares:0	1.439e-43	3.093e-43
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	Stool:1.423e-06|Tongue_dorsum:3.792e-06|Buccal_mucosa:0.0001314|Supragingival_plaque:9.846e-06|Posterior_fornix:0|Anterior_nares:2.004e-07	6.583e-42	1.406e-41
PWY-4981: L-proline biosynthesis II (from arginine)	Stool:2.164e-05|Tongue_dorsum:1.316e-06|Buccal_mucosa:3.977e-06|Supragingival_plaque:3.817e-05|Posterior_fornix:4.038e-07|Anterior_nares:0.0001757	1.435e-41	3.045e-41
PWY-1042: glycolysis IV (plant cytosol)	Stool:0.0008394|Tongue_dorsum:0.0008608|Buccal_mucosa:0.0008448|Supragingival_plaque:0.000598|Posterior_fornix:0.0001538|Anterior_nares:0.000271	1.908e-41	4.024e-41
PWY-7560: methylerythritol phosphate pathway II	Stool:1.307e-07|Tongue_dorsum:1.661e-05|Buccal_mucosa:1.497e-05|Supragingival_plaque:7.406e-06|Posterior_fornix:0|Anterior_nares:2.82e-06	6.069e-41	1.273e-40
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	Stool:0.0002256|Tongue_dorsum:0.0002293|Buccal_mucosa:0.0001257|Supragingival_plaque:0.0001778|Posterior_fornix:1.164e-05|Anterior_nares:5.84e-05	4.53e-40	9.441e-40
PPGPPMET-PWY: ppGpp biosynthesis	Stool:2.396e-06|Tongue_dorsum:4.361e-05|Buccal_mucosa:1.223e-05|Supragingival_plaque:1.195e-05|Posterior_fornix:1.407e-07|Anterior_nares:4.006e-05	5.921e-40	1.227e-39
PWY-5920: superpathway of heme biosynthesis from glycine	Stool:1.678e-08|Tongue_dorsum:0|Buccal_mucosa:3.187e-06|Supragingival_plaque:4.683e-05|Posterior_fornix:0|Anterior_nares:0	6.063e-40	1.249e-39
PWY-6737: starch degradation V	Stool:0.0006371|Tongue_dorsum:0.0006909|Buccal_mucosa:0.0006188|Supragingival_plaque:0.0004768|Posterior_fornix:0.0002057|Anterior_nares:3.472e-05	7.605e-40	1.557e-39
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Stool:1.035e-05|Tongue_dorsum:5.5e-05|Buccal_mucosa:3.565e-05|Supragingival_plaque:3.683e-05|Posterior_fornix:4.477e-05|Anterior_nares:6.031e-07	1.019e-39	2.075e-39
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	Stool:1.431e-05|Tongue_dorsum:1.442e-06|Buccal_mucosa:9.746e-07|Supragingival_plaque:7.92e-06|Posterior_fornix:0|Anterior_nares:4.101e-07	2.18e-39	4.411e-39
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	Stool:8.473e-05|Tongue_dorsum:0.0001239|Buccal_mucosa:0.0001481|Supragingival_plaque:8.437e-05|Posterior_fornix:1.958e-06|Anterior_nares:5.518e-06	2.759e-38	5.55e-38
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	Stool:2.01e-05|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	5.523e-38	1.105e-37
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	Stool:0.0003716|Tongue_dorsum:0.0008375|Buccal_mucosa:0.00114|Supragingival_plaque:0.0007523|Posterior_fornix:0.00117|Anterior_nares:0.0004528	1.002e-37	1.992e-37
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	Stool:0.0004136|Tongue_dorsum:0.0003835|Buccal_mucosa:0.000209|Supragingival_plaque:0.0004462|Posterior_fornix:6.13e-05|Anterior_nares:0.0001981	7.345e-37	1.452e-36
P108-PWY: pyruvate fermentation to propanoate I	Stool:1.804e-06|Tongue_dorsum:5.573e-07|Buccal_mucosa:6.875e-06|Supragingival_plaque:6.505e-05|Posterior_fornix:0|Anterior_nares:1.561e-05	8.126e-37	1.598e-36
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	Stool:3.162e-05|Tongue_dorsum:2.028e-07|Buccal_mucosa:2.797e-07|Supragingival_plaque:2.966e-07|Posterior_fornix:0|Anterior_nares:0	1.744e-36	3.409e-36
PWY-7456: mannan degradation	Stool:1.942e-05|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	4.127e-35	8.023e-35
PWY-4702: phytate degradation I	Stool:0|Tongue_dorsum:1.75e-08|Buccal_mucosa:2.348e-07|Supragingival_plaque:9.998e-07|Posterior_fornix:0|Anterior_nares:0	4.278e-35	8.27e-35
FAO-PWY: fatty acid &beta;-oxidation I	Stool:4.101e-06|Tongue_dorsum:3.73e-09|Buccal_mucosa:9.009e-07|Supragingival_plaque:1.556e-07|Posterior_fornix:2.062e-06|Anterior_nares:0	2.222e-34	4.272e-34
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	Stool:8.981e-09|Tongue_dorsum:0|Buccal_mucosa:5.031e-06|Supragingival_plaque:6.012e-05|Posterior_fornix:0|Anterior_nares:1.693e-05	7.091e-34	1.355e-33
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	Stool:3.943e-06|Tongue_dorsum:5.149e-05|Buccal_mucosa:3.988e-05|Supragingival_plaque:8.73e-06|Posterior_fornix:4.68e-06|Anterior_nares:1.326e-06	1.196e-30	2.273e-30
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	Stool:3.943e-06|Tongue_dorsum:5.15e-05|Buccal_mucosa:4.099e-05|Supragingival_plaque:8.734e-06|Posterior_fornix:4.68e-06|Anterior_nares:1.329e-06	1.322e-30	2.5e-30
PWY-5690: TCA cycle II (plants and fungi)	Stool:5.469e-06|Tongue_dorsum:1.002e-05|Buccal_mucosa:5.786e-07|Supragingival_plaque:4.071e-07|Posterior_fornix:0|Anterior_nares:0	4.111e-30	7.73e-30
CRNFORCAT-PWY: creatinine degradation I	Stool:2.046e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.643e-29	3.073e-29
PWY-5667: CDP-diacylglycerol biosynthesis I	Stool:2.949e-06|Tongue_dorsum:3.684e-05|Buccal_mucosa:2.973e-05|Supragingival_plaque:5.985e-06|Posterior_fornix:3.749e-06|Anterior_nares:1.46e-06	3.712e-29	6.904e-29
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	Stool:3.66e-06|Tongue_dorsum:4.519e-05|Buccal_mucosa:3.703e-05|Supragingival_plaque:7.427e-06|Posterior_fornix:4.659e-06|Anterior_nares:1.816e-06	4.092e-29	7.57e-29
PWY0-1319: CDP-diacylglycerol biosynthesis II	Stool:2.949e-06|Tongue_dorsum:3.685e-05|Buccal_mucosa:3.073e-05|Supragingival_plaque:5.987e-06|Posterior_fornix:3.749e-06|Anterior_nares:1.464e-06	4.196e-29	7.722e-29
UNINTEGRATED	Stool:0.744|Tongue_dorsum:0.7126|Buccal_mucosa:0.7381|Supragingival_plaque:0.724|Posterior_fornix:0.8138|Anterior_nares:0.5034	8.764e-29	1.604e-28
PWY-7237: myo-, chiro- and scillo-inositol degradation	Stool:9.501e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.349e-28	2.457e-28
PWY-6700: queuosine biosynthesis	Stool:4.431e-06|Tongue_dorsum:0.0001003|Buccal_mucosa:5.15e-05|Supragingival_plaque:5.332e-05|Posterior_fornix:0|Anterior_nares:2.973e-05	1.605e-28	2.907e-28
PWY-5941: glycogen degradation II (eukaryotic)	Stool:3.553e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.094e-27	1.971e-27
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	Stool:1.615e-06|Tongue_dorsum:1.555e-05|Buccal_mucosa:1.127e-06|Supragingival_plaque:8.044e-07|Posterior_fornix:0|Anterior_nares:0	8.442e-27	1.513e-26
PWY66-400: glycolysis VI (metazoan)	Stool:0.0001847|Tongue_dorsum:1.768e-05|Buccal_mucosa:3.59e-06|Supragingival_plaque:9.491e-06|Posterior_fornix:7.016e-06|Anterior_nares:9.452e-07	1.298e-26	2.315e-26
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	Stool:3.485e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:7.658e-07|Anterior_nares:0	2e-26	3.548e-26
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	Stool:6.271e-05|Tongue_dorsum:4.674e-05|Buccal_mucosa:3.623e-05|Supragingival_plaque:8.412e-05|Posterior_fornix:1.066e-05|Anterior_nares:2.674e-06	2.084e-26	3.678e-26
PWY66-398: TCA cycle III (animals)	Stool:2.482e-06|Tongue_dorsum:1.094e-05|Buccal_mucosa:6.503e-07|Supragingival_plaque:5.225e-07|Posterior_fornix:0|Anterior_nares:0	2.785e-26	4.892e-26
P42-PWY: incomplete reductive TCA cycle	Stool:8.367e-06|Tongue_dorsum:4.445e-06|Buccal_mucosa:5.302e-07|Supragingival_plaque:4.072e-06|Posterior_fornix:0|Anterior_nares:0	3.23e-26	5.645e-26
UNMAPPED	Stool:0.2234|Tongue_dorsum:0.2242|Buccal_mucosa:0.198|Supragingival_plaque:0.2203|Posterior_fornix:0.1705|Anterior_nares:0.4827	5.568e-26	9.682e-26
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	Stool:3.254e-05|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:2.86e-07|Posterior_fornix:0|Anterior_nares:3.738e-07	1.302e-25	2.253e-25
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	Stool:1.748e-05|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.263e-07|Posterior_fornix:0|Anterior_nares:2.31e-07	1.364e-25	2.348e-25
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	Stool:9.081e-05|Tongue_dorsum:7.99e-05|Buccal_mucosa:0.0002118|Supragingival_plaque:0.000111|Posterior_fornix:4.802e-05|Anterior_nares:3.913e-06	4.158e-25	7.122e-25
PWY-5676: acetyl-CoA fermentation to butanoate II	Stool:8.847e-07|Tongue_dorsum:1.627e-06|Buccal_mucosa:2.485e-06|Supragingival_plaque:5.57e-06|Posterior_fornix:0|Anterior_nares:7.936e-07	4.308e-25	7.343e-25
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	Stool:5.999e-05|Tongue_dorsum:5.125e-05|Buccal_mucosa:0.0001585|Supragingival_plaque:7.433e-05|Posterior_fornix:3.664e-05|Anterior_nares:2.459e-06	1.212e-24	2.056e-24
NAGLIPASYN-PWY: lipid IVA biosynthesis	Stool:3.167e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:6.22e-09|Posterior_fornix:0|Anterior_nares:1.984e-07	1.275e-24	2.152e-24
PWY-6703: preQ0 biosynthesis	Stool:9.691e-07|Tongue_dorsum:4.955e-07|Buccal_mucosa:9.787e-05|Supragingival_plaque:4.679e-06|Posterior_fornix:0|Anterior_nares:6.475e-06	1.842e-24	3.094e-24
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	Stool:1.257e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	4.175e-24	6.978e-24
COA-PWY: coenzyme A biosynthesis I	Stool:0.0002754|Tongue_dorsum:0.0006624|Buccal_mucosa:0.0005389|Supragingival_plaque:0.0005599|Posterior_fornix:0.001009|Anterior_nares:0.0004215	1.351e-23	2.247e-23
PWY-6630: superpathway of L-tyrosine biosynthesis	Stool:7.229e-06|Tongue_dorsum:6.869e-08|Buccal_mucosa:7.286e-07|Supragingival_plaque:4.012e-08|Posterior_fornix:1.355e-06|Anterior_nares:0	2.783e-23	4.607e-23
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	Stool:2.646e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	3.18e-23	5.239e-23
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	Stool:6.056e-06|Tongue_dorsum:0|Buccal_mucosa:1.241e-07|Supragingival_plaque:1.708e-06|Posterior_fornix:0|Anterior_nares:0	5.243e-23	8.597e-23
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	Stool:8.849e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:5.221e-09|Posterior_fornix:0|Anterior_nares:0	3.566e-22	5.82e-22
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	Stool:2.589e-07|Tongue_dorsum:1.382e-06|Buccal_mucosa:2.328e-07|Supragingival_plaque:7.341e-07|Posterior_fornix:0|Anterior_nares:0	3.742e-22	6.078e-22
PWY-5022: 4-aminobutanoate degradation V	Stool:1.34e-05|Tongue_dorsum:2.458e-07|Buccal_mucosa:1.665e-06|Supragingival_plaque:1.211e-05|Posterior_fornix:0|Anterior_nares:2.027e-05	1.207e-21	1.952e-21
PWY0-1338: polymyxin resistance	Stool:6.094e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.777e-21	2.859e-21
