Genus	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
Thermomonas	97	85	95	253	58	8	14	9	990	21	23	297	657	397	200	105	169
Diaphorobacter	155	181	153	291	136	25	46	38	405	50	26	221	483	548	188	144	381
Heliomicrobium	391	108	105	310	54	15	17	50	539	23	28	433	630	228	182	132	220
Aquimarina	42	248	177	483	47	83	3	62	575	6	107	377	252	421	98	245	225
Ornithinimicrobium	368	93	124	296	72	13	9	17	536	121	39	391	453	403	133	149	229
Tepidibacter	85	322	127	163	38	184	1	40	69	4	162	444	321	325	213	533	395
Levilactobacillus	171	206	103	281	86	108	6	52	236	22	11	280	401	539	321	289	299
Fibrella	349	433	265	578	153	18	0	18	33	5	21	231	321	387	52	218	321
Luteolibacter	255	232	259	277	113	8	18	28	58	12	12	228	428	769	143	169	347
Tellurirhabdus	497	600	242	656	292	4	0	48	90	3	7	152	156	180	59	96	274
Thermosipho	14	80	106	31	14	13	2	7	2	3	86	67	104	95	185	2359	179
Planctomyces	268	489	122	356	142	12	21	21	251	17	3	231	327	477	245	137	218
Desulfoscipio	94	122	53	111	18	301	5	41	594	9	14	289	329	393	167	594	187
Azoarcus	339	382	201	344	204	22	36	67	43	15	23	285	544	252	235	119	209
Runella	151	168	313	446	81	11	1	79	171	3	23	345	459	375	161	109	417
Kroppenstedtia	128	117	129	149	50	83	6	33	1275	2	24	206	337	267	139	187	177
Larkinella	360	421	280	513	219	40	2	41	42	7	11	233	451	311	97	100	179
Saccharibacillus	89	93	75	223	30	78	3	29	71	3	9	289	783	447	567	223	293
Microlunatus	106	99	214	200	32	20	5	15	315	16	18	403	459	557	242	177	405
Xenorhabdus	242	213	246	205	95	187	56	204	79	44	96	237	501	409	126	178	157
Roseovarius	100	77	88	250	65	11	26	29	216	28	18	300	668	584	216	275	318
Chlorobaculum	302	299	347	264	173	36	15	56	99	4	10	354	508	245	163	136	257
Alkalihalobacillus	88	229	114	194	14	178	1	31	100	13	47	333	312	295	491	472	345
Superficieibacter	13	15	104	162	20	305	156	1392	273	388	190	41	48	58	8	24	49
Dehalobacter	203	164	100	160	107	910	5	22	79	6	14	177	283	319	305	150	239
Ruegeria	151	95	76	288	80	43	29	44	385	10	25	155	377	697	183	227	368
Candidatus_Promineifilum	72	148	54	168	56	12	12	20	508	8	12	404	424	554	172	250	358
Calothrix	59	148	116	230	62	184	6	52	196	4	135	664	142	335	312	368	212
Puccinia	59	155	173	115	64	69	7	22	69	26	94	742	453	409	191	259	308
Candidatus_Syntrophocurvum	80	146	34	86	0	8	0	0	4	2	30	172	272	1354	104	592	320
Leishmania	27	224	41	90	27	34	3	6	97	5	3	203	439	651	220	354	776
Chlamydomonas	86	116	79	181	22	53	12	42	145	16	29	224	631	806	155	327	261
Kutzneria	93	117	74	313	42	15	20	29	528	12	25	275	595	301	288	141	315
Francisella	121	272	125	175	59	87	6	44	51	15	144	412	349	254	517	281	261
Siccibacter	19	17	71	118	33	250	136	1382	479	239	181	35	26	34	29	25	89
Oceanirhabdus	72	286	26	133	38	34	5	9	191	6	129	273	334	543	241	404	426
Syntrophotalea	280	303	128	318	181	15	22	47	216	26	24	306	487	249	232	113	184
Methylococcus	66	74	125	185	39	11	13	28	684	7	24	229	301	689	169	214	270
Megalodesulfovibrio	92	35	90	370	105	0	88	52	29	49	37	336	1028	276	130	76	329
Dysgonomonas	24	262	322	677	70	29	2	99	79	2	43	354	299	513	107	52	184
Candidatus_Profftia	32	62	68	40	0	511	69	998	864	171	30	46	66	8	54	44	47
Thermococcus	54	84	124	277	102	92	8	29	214	19	96	389	310	473	230	124	456
Archangium	131	75	100	282	35	35	20	47	125	26	5	415	580	356	241	167	397
Phreatobacter	487	501	114	414	240	48	12	60	160	14	7	165	240	229	137	103	101
Roseateles	368	378	144	392	221	23	31	48	432	13	23	176	257	194	113	109	108
Mannheimia	215	158	230	280	20	49	9	32	69	9	221	195	217	280	249	406	385
Ndongobacter	24	61	41	115	12	42	1	49	578	8	9	146	427	952	78	289	190
Sphingosinicella	427	152	130	373	150	15	11	43	583	23	18	197	312	147	110	116	212
Corallococcus	165	123	81	270	79	30	9	40	237	15	26	347	483	593	132	115	267
Thioalkalivibrio	92	86	84	323	31	19	27	42	38	35	37	353	603	521	273	118	303
Brucella	107	180	116	201	50	25	32	32	99	56	10	366	566	381	292	177	286
Atopobium	58	113	123	233	29	27	8	34	49	38	12	307	607	284	372	351	321
Hyphomicrobium	325	313	163	327	169	22	6	41	93	17	4	256	468	181	218	126	229
Acidithiobacillus	123	150	101	225	179	73	7	27	772	111	13	210	338	317	103	72	131
Tyzzerella	105	271	69	129	28	79	3	32	46	15	101	501	285	294	262	501	227
Nakamurella	291	228	179	365	164	29	7	28	118	15	3	289	300	312	193	167	259
Prosthecochloris	83	338	144	293	77	45	3	31	271	7	22	446	289	204	237	209	246
Mycobacteroides	221	318	53	327	151	8	16	29	249	29	36	283	400	206	243	153	214
Oengusvirus	0	74	1	0	0	0	0	2	2	1	0	155	2365	143	122	57	0
Janibacter	375	243	115	423	190	6	17	34	163	28	3	196	343	276	188	79	232
Saccharomyces	166	264	56	169	93	44	0	21	229	470	21	217	240	301	227	234	152
Phyllobacterium	104	148	87	298	60	21	10	39	605	38	17	279	477	275	169	106	160
Pediococcus	69	230	124	246	35	69	3	25	386	3	57	407	223	197	353	249	215
Caldimonas	426	400	115	404	232	36	15	42	103	12	31	242	304	148	95	111	171
Kingella	123	207	238	88	82	29	15	23	234	11	7	187	296	490	229	312	300
Symbiobacterium	156	60	77	234	86	5	8	39	798	9	7	274	482	191	132	124	172
Rhodothermus	326	230	132	438	182	1	1	37	154	12	2	243	346	377	62	80	229
Paludibacterium	94	84	242	221	61	9	136	32	405	22	20	291	495	238	155	132	214
Petrocella	64	203	181	105	19	386	0	76	126	16	96	342	236	278	361	141	204
Cellvibrio	82	127	150	131	24	33	8	15	591	7	25	284	329	506	219	150	148
Acidilutibacter	84	95	67	212	22	511	2	30	59	5	105	351	308	184	337	249	207
Alkalitalea	187	366	336	293	121	57	0	29	328	2	10	329	217	155	179	112	99
Maribellus	95	228	240	273	388	19	36	23	237	3	60	219	204	351	140	161	142
Candidatus_Nitrotoga	283	237	172	468	174	13	3	46	4	3	9	230	473	186	332	58	126
Geoalkalibacter	137	108	124	372	110	12	17	23	175	16	19	340	477	394	152	157	166
Gracilibacillus	62	107	157	120	20	43	9	12	393	19	36	300	181	376	232	332	375
Salisediminibacterium	132	114	52	137	14	108	14	25	717	6	24	205	289	199	372	154	198
Dehalobacterium	57	93	71	175	25	288	38	43	116	29	55	320	509	250	357	175	158
Trabulsiella	12	5	51	142	28	209	183	933	381	376	181	38	53	42	28	22	66
Pelosinus	58	222	107	128	21	135	2	21	205	5	74	295	230	383	426	172	262
Cruoricaptor	22	60	112	67	28	3	0	22	2	4	1	128	1912	204	35	79	62
Bulleidia	19	305	82	68	4	46	4	16	199	59	39	726	261	283	68	176	380
Thermobacillus	83	76	78	311	33	10	39	18	280	14	3	245	755	259	206	137	186
Empedobacter	26	228	126	241	18	75	1	57	157	1	157	182	332	613	149	174	194
Chlorobium	50	122	98	210	19	30	7	20	770	6	6	187	262	284	213	162	273
Sulfurospirillum	79	189	78	268	39	23	6	24	64	6	69	233	143	862	151	264	211
Pectinatus	33	80	51	96	28	108	2	39	360	9	19	889	168	119	413	77	216
Candidatus_Pelagibacter	54	248	79	216	23	28	8	25	167	10	122	357	260	132	164	496	306
Labrenzia	364	364	117	346	194	107	16	49	82	11	20	81	148	386	131	75	204
Terriglobus	89	104	89	199	47	14	10	26	804	25	9	182	312	205	171	147	249
Candida	23	81	44	127	21	40	1	26	93	11	90	1391	149	152	116	110	201
Halopseudomonas	133	102	209	208	34	31	23	67	175	18	13	381	520	244	168	153	180
Ensifer	64	92	104	222	41	24	42	12	336	15	19	261	431	310	128	185	365
Leptogranulimonas	191	83	33	206	38	4	3	19	75	10	31	300	626	225	215	357	229
Malaciobacter	47	117	95	102	155	133	0	10	20	5	219	123	216	195	560	359	288
Ottowia	179	146	101	213	109	27	18	24	192	31	11	292	349	292	283	90	278
Jannaschia	78	173	85	321	50	6	16	28	482	18	8	212	501	246	127	91	188
Granulicella	71	122	83	188	40	12	10	20	442	26	12	257	525	339	143	128	211
Coriobacterium	43	105	68	331	38	16	5	19	33	22	8	407	583	334	198	214	196
Leptolyngbya	84	192	163	152	106	31	18	33	91	18	33	211	402	319	290	166	301
Alkalibacter	175	89	84	133	31	189	27	43	94	12	13	195	477	428	256	129	233
Candidatus_Azobacteroides	2	176	226	416	20	34	4	54	52	0	2	450	276	602	44	70	180
Prochlorococcus	75	278	112	161	30	43	1	54	242	5	34	377	259	202	222	282	224
Ilyobacter	32	105	84	111	11	129	8	23	24	0	592	384	135	160	214	348	229
Sandaracinus	206	180	68	287	122	8	8	24	40	18	2	214	641	299	201	68	193
Thermus	106	76	119	240	55	15	7	47	303	25	32	185	381	386	178	135	286
Phytohabitans	252	269	210	257	108	12	6	28	270	14	12	153	331	237	147	73	185
Afonbuvirus	3	69	0	26	46	1373	70	21	0	0	868	0	82	0	0	0	0
Scandinavium	7	23	45	98	26	139	130	1042	194	241	140	76	113	105	61	61	57
Rathayibacter	71	223	58	271	21	62	13	28	68	42	10	237	558	201	214	246	228
Buorbuivirus	3	0	0	0	0	0	0	1	0	0	0	0	2483	58	0	0	0
Dechloromonas	236	242	166	282	173	18	48	57	67	33	15	204	338	193	178	114	177
Spirochaeta	248	273	117	191	126	15	6	38	117	9	8	218	256	205	105	354	253
Salinibacterium	61	99	87	214	8	18	12	15	476	21	1	227	520	295	81	106	281
Syntrophobotulus	52	152	84	158	22	138	8	17	409	40	17	276	227	281	373	160	108
Pseudobacter	29	143	101	269	20	36	3	18	200	6	207	128	190	302	96	38	728
Polaromonas	92	51	126	234	82	25	9	22	813	12	219	100	246	166	90	61	142
Candidatus_Desulforudis	64	84	72	214	36	30	8	50	30	4	6	290	584	356	188	350	116
Fastidiosipila	53	197	52	105	5	14	1	28	183	2	51	187	333	483	265	276	240
Methylomusa	263	279	128	263	137	56	9	25	103	26	5	142	205	295	277	120	137
Riemerella	100	218	358	205	58	10	12	41	103	3	159	157	572	178	148	55	58
Skermanella	116	96	162	200	19	7	9	19	301	24	12	178	496	310	106	112	265
Asticcacaulis	37	48	117	165	37	23	16	16	93	7	22	475	300	376	293	150	255
Thermoanaerobacter	53	119	40	90	47	100	8	16	271	2	77	336	178	303	256	358	163
Kordiimonas	14	29	14	24	4	17	4	11	199	0	3	71	119	1261	83	309	253
Sediminispirochaeta	108	95	35	124	64	74	5	19	337	8	15	244	269	315	100	405	197
Abiotrophia	55	159	67	44	6	499	282	8	6	5	15	51	143	717	66	128	158
Cryobacterium	219	81	71	169	22	31	16	18	286	41	11	342	351	193	237	117	187
Moorena	39	14	66	43	1	50	1	12	106	7	26	1561	107	45	61	80	164
Rhodanobacter	113	59	70	290	30	6	11	8	274	19	18	225	392	220	292	122	232
Ferrimonas	20	110	138	212	16	20	6	27	125	7	7	342	633	179	192	172	167
Atlantibacter	20	34	70	90	38	137	137	725	360	286	131	52	119	38	15	65	55
Ureibacillus	62	141	137	116	27	127	5	34	8	15	7	287	175	334	423	264	207
Nitratireductor	273	67	199	185	125	15	15	23	101	14	1	246	462	162	194	154	131
Croceicoccus	196	338	70	329	107	9	27	26	214	13	7	150	273	175	157	120	149
Georgenia	76	71	30	188	14	14	19	12	380	49	11	216	587	195	157	129	212
Tsukamurella	98	63	48	236	25	11	15	18	218	8	9	262	525	255	245	98	225
Solibacillus	94	281	88	131	18	46	1	19	105	13	44	222	314	179	369	239	192
Luteitalea	116	61	35	281	36	5	17	28	342	16	7	245	416	238	189	79	233
Leifsonia	120	85	90	291	50	45	13	23	155	27	14	247	389	335	144	150	165
Arcanobacterium	143	79	120	162	73	51	3	28	201	68	5	273	352	300	151	137	179
Sulfurovum	48	101	136	161	20	74	5	34	123	10	31	207	213	592	139	235	195
Candidatus_Planktophila	68	50	64	226	4	26	10	22	59	7	32	297	196	217	300	543	196
Bdellovibrio	97	105	171	228	33	54	8	42	122	10	8	268	336	276	291	120	145
Liquorilactobacillus	263	307	98	166	84	33	0	24	28	1	26	117	156	134	333	249	291
Kordia	10	139	168	159	14	68	1	24	1173	4	23	163	78	77	53	73	82
Flavisolibacter	148	262	157	325	67	18	1	29	74	2	35	113	469	222	173	82	127
Algibacter	35	105	231	121	128	64	5	29	310	0	83	202	382	261	86	60	201
Methylorubrum	89	66	54	233	23	7	7	38	499	19	19	208	366	180	143	88	262
Sphingorhabdus	282	243	85	330	136	19	6	46	82	12	3	103	192	298	122	100	240
Edaphobacter	66	153	120	168	52	40	4	43	270	7	8	230	394	336	175	72	147
Adhaeribacter	161	195	158	330	81	18	4	36	25	7	43	103	188	713	74	50	95
Borrelia	48	135	105	88	25	69	1	13	307	3	40	183	126	209	165	605	153
Conexibacter	179	108	65	197	61	9	9	22	59	23	12	274	548	249	122	142	194
Alcanivorax	252	235	116	290	183	12	13	43	17	12	9	158	232	293	224	89	92
Oenococcus	129	220	111	145	54	15	4	43	6	3	13	225	99	344	144	511	204
Psychrobacter	58	62	119	350	5	31	1	58	37	3	89	263	227	403	226	122	209
Flavihumibacter	124	177	235	364	63	37	2	38	49	4	4	238	371	190	124	97	145
Gloeobacter	237	115	113	261	153	2	2	34	277	6	12	217	275	141	133	99	182
Eikenella	93	90	632	56	14	3	699	12	76	28	13	43	249	153	60	18	17
Gemmata	95	110	67	162	26	9	9	20	142	9	11	176	453	211	82	62	601
Edwardsiella	60	52	67	93	31	57	58	366	311	74	31	130	231	153	150	95	285
Paenarthrobacter	343	301	207	253	193	38	1	31	38	13	6	150	347	98	75	87	62
Nitrospira	95	140	75	208	53	27	13	39	72	27	8	165	588	302	196	95	129
Acidihalobacter	40	77	46	722	30	13	35	11	86	9	4	243	291	229	162	99	134
Aquitalea	180	175	82	245	90	137	122	31	18	16	22	245	182	245	137	169	129
Rhizobacter	238	165	121	279	165	32	12	17	170	21	11	208	327	147	91	63	135
Turicimonas	146	129	170	125	57	38	11	555	86	6	6	236	75	47	191	60	263
Desulfonema	94	108	92	119	32	167	6	29	91	20	14	264	233	170	409	214	133
Labilibaculum	18	166	156	329	31	12	0	24	182	0	30	159	421	395	84	82	99
Octadecabacter	44	20	98	129	7	12	3	14	664	11	20	173	340	262	65	205	116
Photorhabdus	137	74	43	282	68	23	29	63	11	11	11	124	307	273	99	361	266
Sarcina	31	244	32	104	30	95	2	3	74	5	127	293	228	64	249	261	339
Peptostreptococcus	52	222	39	156	20	467	2	20	45	2	31	253	102	145	134	205	277
Salegentibacter	14	81	138	496	26	15	1	38	160	3	7	329	207	205	107	319	24
Chryseolinea	245	441	238	381	141	8	0	44	3	4	93	202	89	120	60	57	43
Calditerrivibrio	4	22	6	22	25	6	0	3	189	0	12	1695	42	17	100	10	14
Mycolicibacter	105	88	135	219	49	9	5	36	166	117	13	194	324	236	136	157	176
Terribacillus	70	117	83	70	8	104	0	12	32	10	16	163	198	568	266	203	242
Ramlibacter	56	172	171	131	50	27	19	16	330	31	12	191	238	263	157	64	233
Rhizorhabdus	223	436	71	241	120	9	10	28	92	14	4	109	236	138	180	66	172
Shimwellia	71	26	85	92	32	94	95	899	198	163	93	38	78	55	31	23	71
Olivibacter	8	154	356	324	64	35	0	39	83	2	11	256	181	193	126	162	146
Lacinutrix	47	136	101	219	53	153	0	71	54	3	68	140	288	201	111	245	246
Colletotrichum	77	139	197	202	36	58	14	7	55	18	157	155	286	241	154	105	229
Trichlorobacter	55	66	36	100	20	35	0	19	122	11	15	135	278	563	248	231	191
Pararhizobium	80	135	64	183	43	4	22	32	33	26	12	220	349	294	292	163	167
Thalassospira	47	104	103	286	39	33	10	56	409	16	18	189	245	209	100	112	143
Sutcliffiella	53	146	119	217	27	17	2	50	46	7	125	136	119	300	198	192	357
Lentilactobacillus	32	149	61	103	15	56	3	44	112	13	25	233	268	348	208	200	236
Buchavirus	0	54	5	0	175	24	0	10	1	1	943	6	824	20	31	6	1
Candidatus_Cloacimonas	4	18	42	98	4	20	0	6	2	4	8	46	486	240	60	608	454
Desulfocurvibacter	144	97	106	278	91	15	34	28	36	36	24	153	443	171	71	212	159
Usitatibacter	252	250	132	228	161	10	9	31	60	8	14	133	365	140	106	42	156
Fannyhessea	38	48	61	80	19	52	3	125	0	3	22	187	141	371	97	437	399
Ruania	65	59	33	190	13	20	2	19	408	55	5	290	320	202	115	120	165
Aquirufa	93	178	226	394	25	42	1	38	45	15	70	282	134	264	97	82	90
Pseudescherichia	12	18	59	77	15	105	120	1066	107	144	106	28	63	62	22	27	42
Niastella	16	93	83	124	12	5	1	10	94	2	9	212	439	663	98	58	148
Caldinitratiruptor	63	55	49	165	12	2	5	28	220	6	5	180	431	236	291	188	129
Methylosinus	67	126	45	158	56	5	15	12	639	3	1	151	393	139	97	60	92
Aurantiacibacter	192	293	51	300	114	1	6	40	14	8	23	140	395	171	105	87	113
Sebaldella	139	230	67	270	70	37	1	21	56	8	98	264	140	191	243	118	98
Desulfotomaculum	337	292	152	188	129	43	12	58	11	1	7	96	137	325	132	71	58
Alcaligenes	47	123	202	140	21	122	14	25	188	16	23	143	276	257	172	90	188
Thiothrix	205	205	122	166	120	22	5	49	56	6	11	113	327	201	108	137	188
Hydrogenibacillus	208	210	66	166	84	14	18	44	162	0	16	122	230	188	66	196	244
Dietzia	137	115	76	272	49	10	9	18	176	44	7	152	432	192	104	121	117
Mesomycoplasma	52	182	80	91	23	33	1	19	75	7	91	158	283	205	231	230	270
Tannockella	103	313	71	105	26	136	2	5	3	5	132	262	225	184	91	171	191
Dehalococcoides	47	25	45	218	19	14	30	14	76	35	13	198	328	356	324	164	113
Zobellia	79	165	249	461	56	18	0	24	69	4	5	235	166	270	72	58	85
Evansella	59	126	69	167	6	162	5	31	24	21	43	227	138	328	176	144	289
Latilactobacillus	56	184	97	133	14	81	2	26	43	18	50	192	196	219	316	151	237
Gottschalkia	45	246	34	43	14	49	1	9	37	2	79	162	225	163	421	243	226
Cyanobium	37	275	88	168	17	3	30	13	139	8	6	235	444	163	126	98	148
Granulibacter	51	93	33	111	11	119	5	13	320	3	8	203	283	170	222	215	132
Acetoanaerobium	57	170	46	175	31	314	0	38	17	3	55	185	127	129	171	338	129
Candidatus_Blochmannia	20	171	86	21	9	145	22	119	200	31	104	116	301	145	162	142	188
Rhodobacter	70	43	80	225	45	3	43	21	295	32	14	164	411	172	104	56	201
Brucepastera	48	64	26	124	7	35	6	15	93	2	21	89	72	806	119	287	164
Hathewaya	49	173	40	175	15	69	0	129	32	2	68	272	118	126	284	277	143
Paludibaculum	173	60	62	220	81	1	17	12	349	8	5	191	221	273	101	86	108
Salinicoccus	244	233	52	177	130	18	4	20	86	2	25	97	104	157	338	158	118
Baekduia	185	172	69	196	68	3	26	19	79	19	6	141	407	201	148	99	124
Propioniciclava	66	91	42	170	33	5	19	19	261	73	12	290	351	169	148	93	115
Haliscomenobacter	142	39	195	236	8	32	2	5	58	1	360	169	134	192	38	141	203
Psychrobacillus	40	159	174	111	43	52	0	61	47	2	36	265	194	264	277	89	134
Acidipropionibacterium	103	100	48	211	32	5	13	14	319	23	12	149	287	202	178	85	160
Koleobacter	31	14	45	78	9	15	2	20	119	8	10	101	103	604	295	298	188
Desulfosediminicola	23	94	124	197	12	30	4	20	4	8	34	189	169	385	234	239	168
Solitalea	37	134	136	204	285	20	0	22	54	0	125	187	189	212	172	74	83
Phenylobacterium	45	40	73	268	21	25	13	7	240	10	10	243	305	198	128	82	222
Salicibibacter	79	128	88	94	16	28	3	31	181	15	43	173	214	204	218	210	199
Sodalis	104	56	138	117	43	46	33	81	279	14	14	208	251	122	133	188	94
Thiomicrorhabdus	41	44	136	225	20	123	1	21	12	5	37	188	304	292	173	85	206
Rhodospirillum	50	165	55	137	31	8	16	18	239	21	8	180	409	165	134	106	169
Saccharomonospora	105	103	71	211	83	26	9	28	259	27	25	125	307	246	56	62	167
Geminocystis	30	101	24	199	16	160	0	6	188	77	64	117	165	212	229	197	124
Candidatus_Velamenicoccus	174	64	10	94	10	2	4	12	164	12	6	190	638	206	150	40	132
Alkaliflexus	41	161	282	335	42	25	1	5	4	2	28	239	162	249	107	84	140
Orrella	216	86	89	167	52	24	11	38	20	11	15	213	300	189	155	112	206
Limnohabitans	192	172	141	269	89	12	4	40	69	10	10	171	161	136	182	117	128
Opitutus	56	82	239	163	34	8	6	18	100	16	7	209	294	217	108	80	266
Labilithrix	45	26	37	247	39	6	3	11	61	8	4	73	228	814	83	31	186
Candidatus_Methylospira	40	72	214	220	2	68	6	20	344	4	10	372	186	68	60	108	106
Breznakiella	78	57	58	213	43	58	17	34	106	17	22	288	190	246	183	79	210
Kingevirus	0	0	0	32	0	0	0	1	0	0	1	0	1	1857	0	3	0
Streptosporangium	83	59	42	156	12	7	15	7	265	32	1	186	362	219	120	111	218
Candidatus_Contubernalis	22	86	76	80	8	10	10	22	110	10	12	198	238	200	312	164	334
Humisphaera	3	151	11	193	2	18	6	10	793	2	1	76	243	95	94	39	155
Persicobacter	157	96	69	179	103	16	0	15	27	0	6	167	373	330	53	56	245
Xanthobacter	50	43	53	172	42	23	24	16	371	20	12	136	266	208	78	241	135
Xylanimonas	51	50	173	102	13	94	7	29	243	31	8	194	255	148	278	83	130
Niabella	59	157	285	266	39	8	40	45	9	4	18	231	264	224	71	97	69
Pseudoleptotrichia	48	108	62	66	2	43	0	17	6	0	155	176	114	409	135	366	172
Weizmannia	164	45	99	178	55	31	4	13	26	2	10	117	151	441	273	168	102
Nitrosomonas	195	200	137	191	79	9	22	42	29	4	15	106	174	176	113	209	170
Lawsonia	98	36	135	323	97	2	32	54	2	14	23	370	69	185	132	25	273
Aromatoleum	175	176	141	265	109	13	28	31	73	13	16	172	179	186	70	54	157
Ferruginibacter	41	88	235	157	25	12	0	9	25	1	7	234	129	340	193	149	204
Paraglaciecola	94	174	60	227	37	15	3	13	9	2	70	292	153	181	236	177	103
Chitinimonas	121	122	59	198	70	9	65	21	114	12	11	137	317	196	171	43	179
Halanaerobium	42	129	24	97	12	15	0	8	102	7	104	195	178	182	151	459	137
Pelodictyon	152	135	71	137	90	14	3	23	410	4	10	126	92	149	61	112	251
Hyphomonas	98	76	137	203	31	16	7	14	161	6	12	209	229	163	153	115	209
Collimonas	89	109	145	249	60	32	25	36	68	10	8	193	271	180	88	118	151
Martelella	228	89	51	156	30	16	9	42	16	22	23	222	267	226	131	114	175
Altererythrobacter	59	170	77	94	39	15	11	31	214	17	17	159	228	213	152	77	242
Phaeobacter	101	73	64	135	60	25	4	14	331	11	11	215	297	146	138	73	113
Desulfolutivibrio	35	21	52	137	41	10	28	17	149	38	7	142	620	186	53	64	208
Sedimentibacter	49	243	52	173	20	38	0	15	4	9	64	316	170	90	242	195	126
Peduovirus	0	0	1	6	0	1	3	1791	0	0	0	0	0	0	0	2	0
Ketogulonicigenium	212	152	41	116	98	4	17	28	1	2	3	171	269	162	99	224	198
Sphingomicrobium	297	244	81	227	176	2	8	32	19	2	0	89	336	110	69	33	69
Acididesulfobacillus	61	66	53	148	16	55	8	65	35	17	27	151	380	301	109	183	118
Jiangella	129	50	49	188	20	6	7	3	194	5	11	168	410	152	116	96	189
Streptomonospora	84	93	53	186	65	3	2	17	317	12	12	279	223	177	24	99	147
Aquihabitans	82	36	68	385	25	4	8	16	292	6	5	180	293	174	52	46	114
Chelatococcus	166	206	89	157	89	7	8	27	8	5	7	124	250	149	150	152	190
Halothiobacillus	15	329	35	72	28	16	8	28	867	15	8	50	127	85	36	12	52
Kribbella	61	54	59	164	18	13	3	17	168	9	7	249	326	114	128	132	261
Natrinema	182	149	97	256	67	18	13	18	200	7	7	68	195	206	90	65	143
Rugamonas	231	200	62	197	118	4	16	32	169	4	5	173	227	144	76	50	73
Mixta	41	63	47	274	25	14	28	178	73	15	7	273	320	112	97	94	114
Thermotoga	49	125	86	100	2	29	3	9	25	1	2	116	146	462	147	246	225
Halarcobacter	59	135	65	105	68	32	0	14	43	6	162	210	133	102	47	351	233
Colwellia	41	103	64	170	13	22	5	10	31	0	66	153	301	176	264	220	123
Lentzea	94	44	110	136	40	11	20	12	506	20	22	144	207	152	72	80	92
Aminomonas	142	132	66	233	79	3	29	32	219	24	23	149	218	172	57	30	150
Filimonas	17	87	152	373	41	8	2	12	164	5	5	185	83	368	52	77	126
Tenuifilum	113	134	123	187	116	3	7	19	135	14	31	135	223	238	99	72	108
Leadbettera	181	138	81	219	94	24	5	30	22	8	15	250	265	165	73	98	87
Pusillimonas	164	101	183	251	100	33	12	34	30	15	13	220	160	108	130	61	138
Rheinheimera	63	59	76	55	6	18	2	125	15	2	96	116	128	117	133	539	200
Iocasia	20	79	215	108	23	114	3	17	61	5	51	143	112	190	224	121	263
Frankia	56	31	46	172	31	25	25	20	269	36	8	175	297	191	132	106	120
Dolosigranulum	44	124	28	57	33	49	0	9	63	1	31	130	227	458	116	235	129
Pseudosulfitobacter	40	167	41	162	30	8	17	14	657	14	2	130	159	120	58	45	69
Zhaonella	91	50	87	75	9	92	3	3	112	11	8	299	156	177	67	191	301
Schleiferilactobacillus	204	200	77	185	114	7	4	24	3	13	17	131	263	195	91	130	71
Fibrobacter	40	135	27	108	6	4	0	19	192	2	17	185	281	167	232	137	176
Loigolactobacillus	86	115	55	83	9	42	0	12	44	3	18	168	272	211	234	179	192
Rickettsia	49	173	27	103	2	61	0	7	208	3	29	73	250	140	272	236	89
Phototrophicus	22	36	56	84	28	0	0	8	48	2	16	110	182	768	48	72	240
Serinicoccus	232	171	71	214	106	12	7	17	59	17	6	206	180	125	136	63	85
Gilliamella	42	227	96	32	105	52	3	23	106	3	20	186	124	81	334	146	121
Parazoarcus	49	119	78	133	40	33	26	8	258	7	13	177	263	77	185	77	156
Miniphocaeibacter	59	174	27	61	17	53	1	12	79	8	54	332	183	115	257	156	110
Limnochorda	22	40	36	77	20	10	1	18	824	2	8	69	178	149	43	71	125
Kinneretia	170	167	110	201	110	54	12	27	26	56	5	113	158	104	172	69	138
Anoxybacter	35	23	44	92	10	125	1	4	361	2	36	253	85	200	116	137	158
Laribacter	204	195	79	178	117	7	304	20	85	7	5	59	149	122	44	48	59
Mariprofundus	10	53	61	49	3	16	4	13	315	11	10	156	166	522	63	46	184
Thermanaerovibrio	36	21	83	83	12	68	6	19	200	6	8	178	164	263	55	278	202
Halobaculum	96	81	49	230	23	8	4	10	115	16	12	126	357	199	80	103	164
Lutibacter	20	108	220	148	30	65	0	40	18	0	74	338	109	113	132	84	173
Heyndrickxia	48	134	85	72	18	54	2	32	54	19	33	204	187	152	113	305	155
Robiginitalea	236	106	117	238	160	17	1	36	7	8	6	93	163	186	48	45	200
Candidatus_Koribacter	8	104	84	172	10	16	8	6	80	8	10	246	336	198	182	74	122
Tetrapisispora	56	78	32	72	3	66	2	27	236	0	49	160	107	72	220	387	93
Candidatus_Atelocyanobacterium	62	56	8	32	2	4	0	8	10	2	80	406	128	268	178	172	240
Pontibacillus	28	66	63	58	10	100	0	44	72	2	60	160	150	209	303	126	205
Tetragenococcus	26	202	80	143	31	51	4	50	77	0	38	188	183	109	78	227	168
Thermanaerosceptrum	125	84	75	77	19	20	4	34	87	25	8	267	150	231	201	107	140
Nitrogeniibacter	130	144	106	174	101	10	14	30	94	9	10	243	161	105	120	73	113
Urbifossiella	36	26	171	108	7	4	4	4	313	5	20	133	404	141	81	77	103
Dictyostelium	47	87	19	77	3	12	3	18	45	3	52	106	174	154	236	374	224
Tepidiforma	30	36	34	77	19	1	32	13	224	10	10	184	360	209	106	165	124
Laceyella	52	87	80	80	11	26	1	9	177	12	1	120	119	402	193	143	117
