Taxonomy	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinocatenispora|s__Actinocatenispora_sera	37	14	17	15	44	9	5	1	2	47	3	2	43	115	70	43	14	44
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinocatenispora|s__Actinocatenispora_thailandica	80	29	13	17	79	9	2	3	10	61	16	3	43	192	91	35	28	103
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_derwentensis	23	25	25	19	63	13	12	4	9	192	7	6	58	145	94	85	31	112
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_friuliensis	78	8	21	14	60	8	1	9	5	107	3	12	150	238	80	41	30	49
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_hotanensis	0	0	0	1	0	0	0	0	0	3	0	0	2	2	1	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_ianthinogenes	85	56	67	34	90	28	0	3	19	123	3	5	49	157	66	35	38	95
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_missouriensis	55	12	14	51	58	10	0	26	3	10	8	7	71	103	86	48	37	58
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_sp._L3-i22	71	76	99	47	164	40	1	2	16	154	22	7	158	185	108	117	90	71
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_sp._N902-109	132	56	25	14	87	6	1	4	5	17	10	10	120	283	108	54	60	62
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_sp._OR16	175	24	94	25	119	12	3	3	15	112	9	8	131	374	111	59	57	108
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_teichomyceticus	23	24	18	23	56	4	19	7	12	11	4	3	47	105	62	23	32	28
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Catellatospora|s__Catellatospora_sp._IY07-71	42	38	33	64	87	10	2	5	4	122	8	7	98	196	92	39	48	85
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Couchioplanes|s__Couchioplanes_caeruleus	44	42	74	17	84	9	1	21	19	34	6	7	94	203	50	59	39	82
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium_aurantiacum	48	30	13	30	112	18	5	2	6	258	3	8	96	168	286	105	67	117
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium_fulvum	12	35	28	35	90	17	21	7	8	199	12	2	64	258	80	15	47	65
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium_matsuzakiense	79	33	31	18	66	13	4	0	5	36	2	1	102	142	58	90	36	40
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium_roseum	15	30	8	11	56	5	6	0	8	2	4	0	41	90	59	15	29	26
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium_vinaceum	122	15	13	18	60	3	0	0	2	6	3	0	52	164	47	65	16	80
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_aurantiaca	7	2	1	5	12	3	52	0	0	15	2	0	29	25	5	8	16	53
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_auratinigra	17	8	14	11	49	1	5	3	2	30	23	0	71	120	35	89	26	51
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_carbonacea	3	4	3	2	12	2	1	2	1	6	3	0	17	31	15	2	19	4
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_chalcea	0	1	0	0	2	0	0	0	0	3	4	8	5	5	9	5	3	48
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_chokoriensis	51	5	10	6	16	2	2	0	2	6	1	2	19	45	24	31	16	8
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_coriariae	28	21	9	15	52	11	0	2	0	12	3	1	64	72	46	30	23	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_coxensis	63	160	194	58	117	79	1	1	16	25	1	0	62	85	63	38	33	17
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_craniellae	158	133	73	55	134	57	1	3	17	70	0	2	100	168	40	50	11	23
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_echinaurantiaca	89	9	19	12	44	2	0	2	16	119	1	4	55	157	49	39	16	29
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_echinofusca	48	19	32	17	56	8	2	0	3	25	2	0	10	129	43	8	33	57
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_echinospora	30	13	9	23	51	3	1	1	4	14	6	2	24	108	29	45	39	35
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_endophytica	54	171	189	32	107	99	0	1	26	138	8	2	50	110	51	66	27	36
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_ferruginea	44	3	8	45	31	3	4	1	1	14	2	8	43	92	16	86	18	27
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_inositola	14	7	9	2	36	6	0	2	4	5	0	0	65	49	64	44	18	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_krabiensis	3	25	25	13	74	8	2	8	10	9	6	3	68	78	58	45	50	36
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_maris	6	20	3	26	40	12	0	4	7	9	5	7	28	57	74	14	15	31
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_narathiwatensis	32	13	5	19	32	5	1	0	0	119	8	0	21	70	41	17	14	7
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_purpureochromogenes	4	9	7	22	55	3	35	0	0	5	0	7	10	50	27	5	10	13
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_rifamycinica	19	0	1	3	6	6	0	0	0	7	0	0	14	10	6	1	1	10
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sagamiensis	12	4	4	1	29	35	2	6	2	2	5	6	39	52	37	6	25	16
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_siamensis	37	53	17	5	66	24	3	3	3	11	1	1	77	117	23	6	29	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._B006	5	5	0	2	26	0	0	3	0	5	3	0	12	42	8	2	4	7
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._HM134	20	14	14	18	33	4	0	2	0	155	6	15	20	108	18	20	17	38
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._HUAS_3	13	110	7	12	39	8	0	4	0	21	3	2	109	20	108	18	21	14
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._L5	0	2	0	0	3	0	8	0	1	0	0	2	2	2	3	2	4	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._LH3U1	26	92	82	22	116	33	2	3	6	2	4	0	41	110	32	32	26	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMA1947	46	27	3	2	24	1	1	0	1	14	1	0	29	38	28	100	21	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMA1976	3	1	7	3	7	3	0	0	0	2	1	0	6	40	20	3	8	15
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMA1998	25	9	5	3	18	0	0	3	7	4	1	1	16	54	17	17	10	15
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMA2032	4	8	15	8	27	3	5	1	1	3	5	1	20	36	31	10	10	18
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMC264	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	2	0	2
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMC415	64	6	18	8	47	2	1	4	10	5	0	7	30	146	74	59	7	50
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD1076	0	3	2	5	24	0	2	0	0	8	0	0	7	30	8	27	8	19
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD1128	0	4	0	1	1	1	0	1	0	0	0	0	1	1	1	0	3	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD1155	2	5	2	0	5	0	0	4	0	8	2	2	3	11	15	14	1	6
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD712	4	0	2	1	4	1	0	0	0	8	0	1	14	46	21	2	11	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD714	7	1	1	1	10	2	1	2	0	4	2	0	36	10	9	45	4	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD812	13	17	45	50	20	17	1	4	7	18	6	0	15	42	98	18	8	30
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD882	37	68	29	25	49	22	1	7	3	57	4	4	44	61	56	59	32	33
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD964	1	0	8	1	11	2	0	0	1	1	0	1	27	23	5	21	7	7
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD975	2	2	2	2	0	0	4	1	1	0	0	0	22	17	4	15	3	10
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD987	2	0	1	1	17	2	0	0	0	0	0	5	14	38	15	15	10	8
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_sp._WMMD998	10	15	8	8	32	3	0	2	5	7	4	6	30	62	42	5	14	12
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_terminaliae	10	6	14	8	42	15	2	0	1	214	4	3	36	42	39	30	25	46
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_tulbaghiae	6	2	3	7	13	1	0	0	3	0	0	2	23	47	52	11	9	13
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_viridifaciens	117	79	34	11	82	54	0	1	7	126	0	3	62	184	47	34	33	44
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_zamorensis	5	10	28	3	23	14	1	1	2	4	1	3	85	47	26	16	12	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Verrucosispora_sp._NA02020	19	22	40	7	64	10	2	5	6	9	5	2	102	78	27	33	42	30
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Verrucosispora_sp._WMMA2044	4	0	7	8	16	0	0	0	0	3	0	1	11	31	15	2	17	98
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Verrucosispora_sp._WMMC514	5	3	34	8	8	3	7	1	0	123	4	0	6	10	12	3	5	13
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Verrucosispora_sp._WMMD1129	9	7	17	10	32	5	0	1	1	4	0	9	21	24	15	21	4	16
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Verrucosispora_sp._WMMD573	6	10	8	4	1	0	0	0	0	7	2	0	7	38	7	4	13	9
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Natronosporangium|s__Natronosporangium_hydrolyticum	6	16	11	21	32	15	4	5	10	28	5	3	40	68	44	14	24	48
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Phytohabitans|s__Phytohabitans_flavus	77	26	99	125	54	2	3	3	2	16	0	3	74	84	141	44	16	63
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Phytohabitans|s__Phytohabitans_suffuscus	134	226	170	85	203	106	9	3	26	254	14	9	79	247	96	103	57	122
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Plantactinospora|s__Plantactinospora_sp._BB1	0	8	1	0	18	1	0	1	0	6	2	0	11	14	5	2	17	4
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Plantactinospora|s__Plantactinospora_sp._BC1	3	0	2	0	7	5	3	0	0	0	0	0	8	12	15	1	1	5
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Plantactinospora|s__Plantactinospora_sp._KBS50	27	5	15	29	33	10	8	5	1	61	4	6	91	243	67	36	40	33
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Polymorphospora|s__Polymorphospora_rubra	38	22	14	21	74	11	4	5	4	11	14	1	53	108	105	12	9	29
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Salinispora|s__Salinispora_tropica	4	1	10	15	6	7	5	2	15	3	1	1	55	55	46	9	28	23
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Solwaraspora|s__Solwaraspora_sp._WMMA2059	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Solwaraspora|s__Solwaraspora_sp._WMMA2080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Solwaraspora|s__Solwaraspora_sp._WMMD791	79	42	37	5	82	21	0	0	5	80	1	7	82	44	32	19	47	29
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Solwaraspora|s__Solwaraspora_sp._WMMD937	29	34	20	11	48	4	0	0	0	72	2	0	39	88	29	55	20	31
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	78	4	4	2	4	0	10	1	1	10	0	1	15	17	59	11	7	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ammoniagenes	12	8	6	2	4	2	9	0	0	129	0	0	24	128	57	2	13	27
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	6	32	6	4	59	5	1	4	1	7	47	0	44	103	152	70	19	75
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_anserum	9	7	9	4	17	8	0	2	2	3	3	0	9	30	453	14	90	18
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aquilae	47	17	11	13	98	3	4	0	10	9	10	2	45	54	82	16	36	35
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	52	19	8	5	47	6	3	2	5	25	3	1	39	39	169	11	58	52
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_atypicum	50	7	9	14	37	5	2	1	2	13	4	0	43	224	50	39	86	28
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum	7	9	10	10	20	2	8	0	1	9	8	3	119	157	174	36	76	74
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_bovis	76	6	191	53	143	96	5	1	19	6	2	2	101	67	62	88	23	81
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_callunae	24	5	29	7	24	2	4	1	7	11	0	8	15	62	32	31	4	8
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_camporealensis	16	16	23	4	38	8	2	2	5	35	18	2	61	60	97	83	41	101
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei	5	6	6	58	21	6	28	1	9	5	1	13	72	85	13	39	16	58
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_choanae	6	4	5	30	11	0	2	2	3	27	6	1	34	50	26	26	16	23
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_comes	25	16	2	10	18	4	1	4	6	7	4	10	22	25	35	15	12	17
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_coyleae	12	15	9	6	41	6	6	1	7	47	11	2	25	36	75	74	37	40
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_crudilactis	8	5	55	2	33	1	28	1	1	9	1	0	27	39	21	34	6	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_cyclohexanicum	45	16	30	12	46	2	1	1	0	11	4	0	47	42	30	19	20	29
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_cystitidis	10	15	7	38	7	1	3	0	3	7	2	3	19	59	10	11	34	42
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_deserti	2	10	21	6	24	5	10	0	8	2	8	2	48	22	63	24	11	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_diphtheriae	44	8	50	3	11	0	6	2	11	12	22	3	43	90	31	36	130	41
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_doosanense	21	14	18	4	28	8	10	2	5	20	2	11	102	72	71	43	34	35
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_efficiens	5	23	15	3	20	8	0	0	2	20	6	15	18	85	66	10	15	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_endometrii	25	17	9	10	65	11	1	4	5	21	16	1	85	113	66	120	47	41
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_epidermidicanis	6	6	1	6	9	0	13	0	3	9	5	2	25	47	101	33	14	24
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_falsenii	49	29	15	19	84	16	1	7	5	195	6	3	81	100	56	18	67	42
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_flavescens	15	8	23	8	16	4	4	0	5	4	11	0	35	33	22	3	15	29
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_frankenforstense	5	13	4	11	55	3	1	7	3	20	11	1	36	48	53	11	19	27
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_freneyi	18	8	14	44	21	3	6	2	6	27	9	2	44	90	159	8	25	26
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_genitalium	81	2	6	49	72	3	5	2	2	12	21	6	52	44	27	93	26	50
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_gerontici	11	16	17	4	9	2	3	0	1	0	4	0	11	22	11	71	8	16
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glaucum	42	3	13	21	24	5	30	0	5	3	11	1	33	113	57	23	11	26
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glucuronolyticum	45	7	16	15	99	11	12	1	1	9	3	0	57	118	55	42	28	73
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glutamicum	20	30	46	2	19	4	6	0	1	119	4	2	40	95	93	38	55	102
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glyciniphilum	5	4	3	6	16	2	4	0	0	7	1	1	47	34	78	5	67	38
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_halotolerans	32	13	23	15	35	7	4	2	0	87	16	3	57	104	44	80	33	16
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_heidelbergense	44	0	17	38	31	11	0	1	10	2	3	1	56	98	68	32	105	61
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_hindlerae	19	8	37	6	27	3	4	0	1	7	9	9	23	91	20	19	22	61
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_humireducens	34	92	73	43	58	38	2	2	9	18	10	8	45	75	27	33	18	27
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ihumii	24	1	10	4	39	13	0	6	2	9	36	6	16	137	41	16	18	11
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_imitans	9	14	12	1	30	16	3	1	0	1	6	5	22	60	39	16	11	23
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_incognita	19	0	2	4	12	0	8	8	3	9	16	1	13	37	20	20	38	19
