# Pathway	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.000303561	0.000269813	0.000133322	0.000230638	0.000293064	0.000160737	0.000251532	0.000273218	0.000169608	0.000241088	0.000276086	0.000265093	0.000247735	0.000306223	0.000444808	0.000376143	0.000296091	0.000330631
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	6.72188e-06	3.8307e-06	1.31661e-06	1.83503e-05	3.58677e-05	4.20154e-06	9.99832e-05	0.00019598	0.000189998	0.000122926	8.75926e-05	4.70845e-05	3.51677e-06	4.32409e-06	6.88005e-06	0	2.74348e-05	1.97473e-05
ORNDEG-PWY: superpathway of ornithine degradation	2.26164e-05	8.75244e-06	8.14475e-06	4.85406e-05	9.6384e-05	2.63309e-05	0.000225985	0.000446486	0.000350117	0.000216149	0.000189431	0.000232195	1.48459e-05	1.04458e-05	1.61395e-05	2.51575e-06	4.59169e-05	6.46539e-05
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	3.63309e-05	9.60163e-06	2.95966e-05	4.80855e-05	9.9013e-05	2.09074e-05	0.000112218	0.000344871	0.000216464	0.000113159	0.000149672	0.00013891	1.97827e-05	2.40036e-05	3.17727e-05	2.65637e-06	6.73342e-05	6.40596e-05
P108-PWY: pyruvate fermentation to propanoate I	2.41092e-05	7.67824e-06	2.16121e-05	2.41235e-05	1.53653e-05	1.34317e-05	5.83359e-05	0.000228254	6.73885e-06	4.66416e-05	1.38934e-05	1.29195e-05	1.90097e-05	1.64473e-05	1.33942e-05	7.45846e-07	4.30171e-05	4.6849e-05
P122-PWY: heterolactic fermentation	8.29511e-05	2.9707e-06	1.15728e-05	4.57155e-05	2.88892e-05	8.93245e-07	3.58394e-05	3.54159e-05	5.94589e-05	7.26709e-05	4.62106e-05	3.31044e-05	9.1002e-06	7.87143e-06	9.20239e-06	1.27601e-06	2.53239e-05	4.83122e-05
P124-PWY: Bifidobacterium shunt	2.69067e-06	2.52693e-05	7.10829e-06	0	6.23401e-06	7.29358e-06	1.35432e-06	0	1.96646e-06	2.49308e-05	0.000239893	0	4.85542e-05	7.79975e-06	1.23655e-05	4.06113e-05	0.000134718	2.06399e-05
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	5.02914e-06	2.73546e-06	0	4.13716e-06	8.38279e-07	0	2.10885e-06	5.03683e-07	0	2.25215e-06	2.1217e-07	0	2.12262e-06	3.80337e-06	6.86477e-07	1.10606e-06	3.13963e-07	1.73005e-06
P161-PWY: acetylene degradation (anaerobic)	3.2127e-05	1.88213e-05	2.04733e-06	6.04861e-05	8.87673e-05	3.97855e-05	0.000220502	0.000488945	0.000373576	0.000260793	0.000243765	0.000201046	2.73954e-05	2.42582e-05	2.4001e-05	1.11143e-05	4.03862e-05	6.53103e-05
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	1.28574e-05	0	0	1.02171e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	1.25782e-06	5.75992e-07	0	0	0	0	0	0	0	9.59829e-07	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	7.71084e-05	5.84703e-05	2.99922e-05	8.00227e-05	0.000105031	7.26728e-05	0.000230065	1.09965e-05	6.59408e-05	7.22495e-05	9.50124e-06	0.000117273	4.07419e-05	5.50483e-05	7.34215e-05	4.89189e-05	7.61441e-05	8.99583e-05
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	1.75737e-05	1.14705e-05	6.26335e-06	1.52421e-06	2.66439e-06	4.78039e-07	6.28708e-06	0.000327294	1.31095e-06	5.86934e-05	1.90822e-05	1.45181e-06	1.77249e-05	1.07386e-05	3.25373e-06	1.16282e-05	6.3465e-05	1.1048e-05
P221-PWY: octane oxidation	1.35867e-05	7.70287e-07	2.27754e-06	7.14773e-06	1.51675e-05	7.81468e-07	1.0429e-05	0.000200747	3.0669e-06	3.48766e-05	3.08706e-05	2.57372e-05	4.80076e-06	4.65938e-06	2.57284e-06	2.47745e-08	2.58257e-05	8.0665e-06
P23-PWY: reductive TCA cycle I	1.32092e-05	4.49486e-06	2.99849e-05	3.39002e-05	1.45121e-05	4.4898e-06	0	0	4.8086e-06	1.13009e-06	0	0	1.08053e-05	1.15018e-05	7.86255e-06	0	1.9659e-06	7.27195e-06
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	5.14728e-05	2.64298e-05	6.57235e-06	6.75337e-05	8.34536e-05	2.09563e-05	0.000215993	0.000311865	0.000268229	0.000203552	0.000347848	0.000134992	4.00794e-05	3.81629e-05	1.82816e-05	2.33976e-06	0.000114156	9.20755e-05
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0.000182121	9.38974e-05	8.88339e-05	0.000118294	9.34673e-05	5.84074e-05	0.000168973	0.000376029	2.08678e-05	0.00019627	0.000530908	1.4858e-05	0.000205442	0.000173193	0.000260002	0.000255413	0.000335925	0.000300253
P42-PWY: incomplete reductive TCA cycle	8.29359e-05	2.38963e-05	3.05469e-05	5.03803e-05	8.85829e-05	1.20044e-05	9.00919e-05	6.83029e-06	5.52442e-05	7.75321e-05	2.01621e-05	4.53276e-05	1.82055e-05	3.09069e-05	3.14662e-05	1.53787e-05	2.32098e-05	4.80404e-05
P441-PWY: superpathway of N-acetylneuraminate degradation	0.000179163	4.95055e-05	6.67414e-05	0.000136588	0.00016859	9.37616e-05	0.000245581	0.000262953	0.000362576	0.000244835	0.000285658	0.000224143	7.02593e-05	6.01091e-05	9.0635e-05	3.75459e-05	0.00010231	0.000176897
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	3.96877e-05	5.09643e-05	5.31191e-06	8.5627e-05	0.000114613	4.61407e-05	0.000336605	0.000448702	0.000434612	0.000271755	0.000230003	0.000223611	4.19534e-05	2.64016e-05	2.55464e-05	2.13218e-05	6.98326e-05	8.35727e-05
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	7.86427e-07	0	0	0	0	0	0	0	0	0	1.27378e-05
P621-PWY: nylon-6 oligomer degradation	1.49747e-05	0	0	1.58586e-06	0	0	0	4.30489e-07	0	0	0	0	4.59419e-06	4.60413e-06	9.57338e-07	0	3.33182e-07	2.42384e-06
PANTO-PWY: phosphopantothenate biosynthesis I	0.000313305	0.000458815	0.000433138	0.000422786	0.000443086	0.000407821	0.000244313	0.000388448	0.000297453	0.000221616	0.000248701	0.000330811	0.000281432	0.00030548	0.000407079	0.000410139	0.000227589	0.000266322
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0.00033924	0.000466326	0.000457329	0.000442482	0.000429813	0.000405513	0.000247511	0.000244306	0.000240916	0.00022074	0.000223824	0.000321318	0.000299785	0.000358852	0.000446703	0.000452514	0.000266797	0.000296852
PENTOSE-P-PWY: pentose phosphate pathway	0.000251983	0.000240909	0.000162092	0.000215353	0.000238851	0.00020982	0.000325438	0.000517974	0.000399747	0.000289792	0.000513864	0.000275123	0.000116067	6.71465e-05	0.000107043	0.000182219	0.000195883	9.99243e-05
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.000422514	0.000530798	0.000533903	0.00051694	0.000511616	0.000462189	0.000377404	0.000457807	0.000344891	0.000351295	0.000506112	0.000372142	0.000429944	0.000565047	0.00070444	0.000603617	0.000445154	0.000465504
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.000296135	0.000195372	0.000161687	0.000235761	0.000297693	0.000132047	0.000281158	0.000374936	0.000300194	0.000323416	0.000237042	0.000286269	0.000193048	0.000107333	0.000149413	0.000102865	0.000191054	0.000248689
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27789e-07	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	3.44437e-06	2.26191e-05	1.02137e-05	1.28867e-05	5.69638e-05	0	3.0208e-06	0	3.03208e-06	0	1.46502e-06	0	1.54625e-05	2.36185e-05	2.93384e-05	5.04963e-06	1.8785e-05	3.97557e-05
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	4.74975e-05	5.46422e-05	3.02915e-05	9.25937e-05	0.000121558	4.13927e-05	0.000220593	0.000198316	0.000273332	0.000151202	0.000127275	9.863e-05	3.66157e-05	4.33835e-05	3.87326e-05	2.89249e-05	8.85356e-05	9.64736e-05
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.000116946	0.000100356	6.30729e-05	9.78581e-05	8.21113e-05	0.000125252	0.00014685	0.000308031	0.000233123	0.000179654	0.000113795	0.00015499	3.99571e-05	3.69602e-05	4.12906e-05	7.65375e-05	4.92622e-05	6.05217e-05
PPGPPMET-PWY: ppGpp metabolism	8.64634e-05	2.3566e-05	2.4899e-05	3.19377e-05	1.64014e-05	3.01638e-06	2.02124e-05	0.000232401	3.93504e-05	3.19296e-05	2.66992e-05	1.10082e-05	1.42775e-05	2.6723e-05	2.39029e-05	1.73466e-05	5.44999e-05	0.00010382
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	1.27072e-06	4.58496e-06	5.65981e-07	4.66147e-07	8.1691e-07	0	0	3.91488e-07	0	0	3.38978e-07	4.62907e-06	1.06009e-05	4.52751e-06	5.36229e-06	0	9.46117e-06
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	1.26292e-05	0	2.34544e-06	2.17239e-06	0	0	5.22063e-06	0.000267227	1.13302e-07	1.59136e-05	6.33156e-06	0	7.17827e-06	7.74472e-06	3.60366e-07	0	2.02604e-05	3.81345e-06
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	7.74382e-05	1.43697e-05	2.97543e-05	8.9443e-05	7.92827e-05	2.71357e-05	0.000130366	0.000235365	0.000177527	0.000132263	0.000151742	0.000122086	3.28031e-05	4.22106e-05	2.47388e-05	0	6.33468e-05	7.07849e-05
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58471e-07	0	6.51171e-07	0	0
PWY-1042: glycolysis IV	0.000540686	0.000482203	0.000508762	0.000529086	0.000534773	0.000452921	0.000523058	0.000586721	0.000561567	0.000376729	0.000525959	0.000449209	0.000496904	0.000587949	0.000622799	0.000638911	0.00047795	0.000560497
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.000220726	0.000322351	0.000279511	0.000186118	0.000215327	0.000226726	0.000203368	0.000305505	0.000286472	0.00018494	0.000146647	0.000225297	8.46314e-05	0.000155764	0.000143909	6.05973e-05	8.88723e-05	0.00012428
PWY-1361: benzoyl-CoA degradation I (aerobic)	0	0	0	0	0	0	0	0	0	4.57454e-06	1.36823e-06	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	0	0	3.85658e-06	1.09468e-06	0	0	0	0	0	0	0
PWY-181: photorespiration	0	0	0	0	0	0	0	0	0	6.19388e-06	1.71787e-06	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	4.58736e-06	6.87737e-06	3.27523e-06	7.58096e-06	6.23109e-07	3.10328e-06	1.62874e-06	4.02943e-05	7.16711e-07	0.000127428	1.38662e-05	3.17685e-05	6.7424e-05	1.78898e-05	1.46743e-05	2.9335e-05	1.48677e-05	2.46373e-06
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	1.1364e-06	0	0	0	0	2.07202e-06	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.000172256	4.34191e-05	3.62543e-05	0.000110388	0.000135959	4.45179e-05	0.000141231	0.000104807	0.000103995	0.00017794	9.80513e-05	0.000163788	5.74971e-05	2.96143e-05	2.82375e-05	4.74813e-05	0.000204146	0.000107526
PWY-2941: L-lysine biosynthesis II	0.000270639	0.000208947	0.00012305	6.8804e-05	0.000105017	0.000218459	0.000204261	0.000218473	4.15707e-05	8.33037e-05	2.83323e-05	0.000148609	9.56462e-05	0.000183887	8.01959e-05	6.59052e-05	7.37403e-05	8.7172e-05
PWY-2942: L-lysine biosynthesis III	0.000379907	0.0004013	0.000444569	0.000471677	0.000468916	0.000431334	0.000390523	0.000500101	0.000300515	0.00037609	0.000674203	0.00031087	0.000345679	0.000345492	0.000480004	0.000443752	0.000374634	0.000381086
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00036325	0.000372036	0.000248542	0.000347975	0.000340696	0.000198492	0.000354358	0.000488761	0.000414119	0.000347262	0.000651866	0.000299364	0.000279961	0.000309791	0.000330479	0.000311279	0.000336474	0.000346669
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	1.8947e-07	0	0	0	0	0	0	0	0	1.34e-06
PWY-3801: sucrose degradation II (sucrose synthase)	1.53558e-05	0	4.4336e-06	2.57094e-06	1.08877e-06	0	0	0.000175689	0	1.64012e-05	6.38556e-06	7.60891e-07	4.57854e-06	2.23005e-06	0	0	3.36971e-05	9.84375e-07
PWY-3841: folate transformations II (plants)	0.000454209	0.000522913	0.000561279	0.000542474	0.000567198	0.000476427	0.000358723	0.000343008	0.000258703	0.000354579	0.00042028	0.000363195	0.000373796	0.000468431	0.000627909	0.000556011	0.000385175	0.000427597
PWY-4041: &gamma;-glutamyl cycle	0.000148707	7.62605e-05	7.36725e-05	0.000125151	8.17061e-05	0.000122444	0.000206123	0.00044382	0.000355629	0.000237266	0.000468812	0.000165384	6.38753e-05	3.83787e-05	2.85776e-05	7.56048e-05	9.46695e-05	7.59051e-05
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	0	0	0	0	0	0	0	4.01137e-07	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle	6.52625e-05	0.000153747	0.000146374	0.000184624	0.000121909	7.44777e-05	4.51617e-05	3.93278e-05	3.83674e-05	0.000118424	6.29826e-06	0.00014646	1.36499e-05	3.6906e-05	3.46278e-05	5.43001e-05	1.58872e-05	3.94368e-05
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	5.10626e-06	5.72982e-07	1.91881e-06	0	0	4.41355e-07	0	3.3255e-06	4.32406e-06	1.25795e-06	0	0
PWY-5005: biotin biosynthesis II	1.76148e-05	2.08652e-05	0	5.92469e-05	2.20142e-05	1.10319e-05	5.67668e-05	7.69645e-07	8.50582e-06	0.000289321	2.12853e-06	2.1251e-05	3.02311e-05	9.36164e-05	7.35628e-06	9.20163e-05	1.0324e-05	9.53921e-06
PWY-5022: 4-aminobutanoate degradation V	3.35106e-05	0.000120875	4.62111e-06	7.60027e-05	0.000151161	4.13938e-05	3.49235e-05	0	5.46734e-05	1.58496e-05	4.16295e-05	0.000186103	2.79586e-05	2.06002e-05	2.33485e-05	1.2017e-05	0	2.71735e-05
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	1.74721e-05	0	7.19036e-06	3.56849e-06	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	0.000214137	0.000306723	0.000294427	0.000274849	0.000315643	0.000284628	3.75464e-05	4.01254e-05	3.83258e-05	4.88967e-05	2.3957e-05	0.000172629	4.41301e-05	3.65696e-05	8.35169e-05	5.99182e-05	9.2653e-06	3.87149e-05
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	2.74219e-06	0	7.92065e-06	3.14231e-06	0	2.7006e-05	1.66058e-05	7.45945e-06	3.80649e-05	4.85739e-06	1.15031e-05	0	5.66715e-07	0	0	6.83294e-07	2.64823e-06
PWY-5097: L-lysine biosynthesis VI	0.000376248	0.000418074	0.000450734	0.00047994	0.000476942	0.00042177	0.000397282	0.00050566	0.000299446	0.000383501	0.000667406	0.000312389	0.000371068	0.000405356	0.000572153	0.000520129	0.00040354	0.000410731
PWY-5100: pyruvate fermentation to acetate and lactate II	0.000182121	9.38974e-05	8.88339e-05	0.000118294	9.34673e-05	5.84074e-05	0.000168973	0.000376029	0.000195304	0.00019627	0.000530908	9.128e-05	0.000205442	0.000173193	0.000260002	0.000255413	0.000335925	0.000300253
PWY-5103: L-isoleucine biosynthesis III	0.000423324	0.000514759	0.000430404	0.000379757	0.000481798	0.000419175	0.00045224	0.00044846	0.000535585	0.000474909	0.000688529	0.000296101	0.000300639	0.000384776	0.0004963	0.000375774	0.000446821	0.000442173
PWY-5104: L-isoleucine biosynthesis IV	5.74935e-07	1.24059e-05	0	6.70977e-05	7.47156e-05	2.51133e-05	1.46327e-05	3.23795e-05	4.84266e-05	7.8815e-05	2.77122e-05	0.000124345	3.46709e-06	3.47179e-06	1.85702e-05	4.06709e-06	8.82584e-06	2.04799e-05
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.000165295	0.000129631	0.000131894	0.000161696	8.64239e-05	0.000205785	0.000180031	0.000126703	0.000183739	0.0001422	0.000108001	0.000201158	6.46239e-05	8.89573e-05	4.9466e-05	0.00017651	6.87568e-05	5.00939e-05
PWY-5130: 2-oxobutanoate degradation I	5.93389e-05	0.000159692	0.000106136	7.00195e-05	6.86229e-05	9.28689e-05	6.60985e-05	1.67243e-05	5.25076e-06	3.46423e-05	9.55318e-06	8.42811e-06	6.92141e-06	6.44032e-06	1.2803e-05	1.80191e-05	4.7351e-06	1.38597e-05
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	2.72018e-05	3.21968e-05	9.46499e-06	0.000111379	0.000163211	4.31874e-05	0.000197598	0.000533506	0.000398392	0.000244128	0.00022546	0.00019375	2.71313e-05	2.28537e-05	2.67774e-05	2.00222e-05	6.20569e-05	8.52512e-05
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	1.31254e-05	7.8224e-06	1.66494e-06	2.113e-05	2.15667e-05	7.66226e-06	0.000104844	0.00025297	0.000233491	7.85133e-05	8.00416e-05	1.6811e-05	1.02898e-05	1.04205e-05	5.20373e-06	9.76674e-07	2.33989e-05	3.59229e-05
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.000191522	0.000304563	0.000215813	0.000241603	0.000259675	0.000187442	0.000442232	0.000464046	0.000399399	0.000441723	0.000474742	0.000204727	0.000233982	0.000302401	0.000304968	9.91027e-05	0.000119183	0.000240849
PWY-5178: toluene degradation IV (aerobic) (via catechol)	5.05238e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08957e-06
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	1.64234e-05	0	0	0	0	0	0	0	0	0.000152958	0	0	0	0	0	0	0	3.40163e-05
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00011622	0.000114413	3.8787e-05	0.000110374	0.000108945	4.85914e-05	0.000265067	0.000380359	0.000273482	0.000356473	0.000211197	0.000142452	8.03307e-05	0.000135345	0.000112862	0.00028972	0.000131056	0.000104357
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	2.68015e-05	1.21386e-05	2.23342e-06	3.74185e-05	5.92575e-05	1.77941e-05	0.000137166	0.000150424	0.000189503	0.000154498	0.000124514	7.73882e-05	1.26416e-05	7.9495e-06	8.41922e-06	1.2642e-06	3.65209e-05	4.9043e-05
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87886e-06	0
PWY-5209: methyl-coenzyme M oxidation to CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41168e-06	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	1.47101e-05	5.77796e-06	0	5.89988e-06	2.04398e-06	0	1.03106e-05	0	1.37418e-06	0	0	0	3.44387e-05	0	3.3792e-06	0	5.21397e-06	1.02387e-05
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.000198429	6.26587e-05	5.11077e-05	0.000133656	0.000179715	8.16854e-05	0.00019371	0.00021445	0.000159432	0.000221036	0.000198995	0.000118672	8.66905e-05	8.52338e-05	7.86779e-05	3.01858e-05	0.000159351	0.000162713
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	4.13094e-05	2.54173e-05	1.29883e-05	9.85895e-05	0.000140362	3.22518e-05	0.000269949	0.000263924	0.000369408	0.000233822	0.000292816	0.000181244	2.80158e-05	3.14471e-05	2.30107e-05	1.12637e-06	8.10516e-05	9.29987e-05
PWY-5367: petroselinate biosynthesis	2.48164e-05	5.20633e-06	1.68306e-06	1.74329e-05	3.20423e-05	4.09267e-06	0.000107766	3.03105e-05	0.00015287	0.00011064	7.41227e-05	5.11329e-05	2.22645e-06	1.559e-05	1.16447e-05	4.24857e-06	5.10147e-06	5.26603e-05
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.000174734	0.000118205	6.81908e-05	8.76936e-05	0.000114646	6.15849e-05	0.000115033	0.000526785	0.000235333	0.000205337	0.000488322	0.000110171	6.3646e-05	9.2742e-05	0.000113364	0.000167125	0.000151816	0.000105795
PWY-5392: reductive TCA cycle II	8.02176e-06	2.11355e-06	0	8.4679e-06	9.91525e-06	1.11372e-06	0	0	4.0657e-06	1.12379e-06	0	0	4.84869e-06	4.15461e-06	3.52549e-06	0	1.33772e-06	6.28044e-06
PWY-5415: catechol degradation I (meta-cleavage pathway)	8.91954e-06	0	0	0	0	0	0	0	0	1.87458e-06	0	0	9.96558e-07	0	0	3.93587e-07	0	3.28013e-06
PWY-5417: catechol degradation III (ortho-cleavage pathway)	1.08418e-05	0	1.16031e-06	4.92311e-07	1.52811e-06	0	1.66551e-06	0.000252425	2.15442e-07	1.40355e-05	6.51349e-06	0	5.81246e-06	7.40947e-06	0	0	2.01217e-05	3.15494e-06
PWY-5419: catechol degradation to 2-hydroxypentadienoate II	0	0	0	0	0	0	0	0	0	1.23557e-06	0	0	0	0	0	0	0	0
PWY-5420: catechol degradation II (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	2.1499e-06	0	0	0	0	0	0	0	0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	1.08418e-05	0	1.16031e-06	4.92311e-07	1.52811e-06	0	1.66551e-06	0.000252425	2.15442e-07	1.40355e-05	6.51349e-06	0	5.81246e-06	7.40947e-06	0	0	2.01217e-05	3.15494e-06
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	1.30528e-05	9.60151e-06	4.28755e-06	4.23844e-06	6.04709e-06	1.95683e-06	3.70627e-06	1.15283e-06	0	1.32651e-05	3.3226e-06	0	0	6.28892e-06	0	2.3456e-06	0	1.82428e-05
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.000358744	0.000391381	0.000356629	0.000347403	0.000328283	0.000339534	0.000293457	0.000357873	0.000418898	0.000276391	0.000332458	0.00030274	0.000119248	0.000193663	0.000127172	0.000114587	0.000241455	0.000187709
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	0	5.75723e-07	2.24278e-06	2.52868e-07	2.08295e-07	3.71659e-07	0	0	1.74197e-07	0	0	1.51082e-07	2.15928e-06	5.18676e-06	2.06505e-06	2.56442e-06	0	4.44881e-06
PWY-5497: purine nucleobases degradation II (anaerobic)	5.89925e-05	5.15065e-05	2.40713e-05	0.000121003	0.000158935	9.57299e-05	0.000140812	0.000117844	9.44486e-05	5.14234e-05	5.71459e-05	0.000137495	3.06996e-05	2.74733e-05	5.58731e-05	3.78138e-05	2.18696e-05	4.37087e-05
PWY-5505: L-glutamate and L-glutamine biosynthesis	3.48043e-05	3.46068e-05	2.28301e-05	5.63776e-05	3.88105e-05	3.01314e-05	4.75509e-05	3.53498e-06	1.04359e-05	2.55552e-05	3.53468e-05	1.43919e-06	7.73634e-05	5.41441e-05	9.41192e-05	6.6748e-05	4.10953e-05	0.000105103
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	3.4796e-06	0	0	1.15571e-06	0	0	0	0	0	0	0	0	0	0	7.1872e-07	0	0	0
PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	0	0	0	5.76256e-07	7.99415e-07	5.91249e-07	8.17492e-06	0	0	2.52529e-06	0	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	2.77596e-05	1.37434e-05	5.42589e-06	5.92423e-05	9.80362e-05	2.67241e-05	0.000154221	0.000400748	0.000281737	0.000148183	0.000163807	0.000157061	2.42824e-05	1.87181e-05	1.34935e-05	0	6.07814e-05	6.99926e-05
PWY-5647: 2-nitrobenzoate degradation I	0	0	0	0	0	0	0	0	0	5.75618e-07	0	0	0	0	0	0	0	0
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0	0	0	0	0	0	0	0	0	0	2.1386e-07	0	0	0	0	0	0	0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	1.38593e-07	0	0	0	0	0	7.39698e-07	8.45408e-05	0	4.99712e-07	0	0	7.05743e-07	1.93178e-07	0	0	4.92632e-06	1.19317e-06
PWY-5656: mannosylglycerate biosynthesis I	7.22327e-08	4.84806e-06	1.82636e-07	2.16705e-05	4.88135e-05	1.70856e-05	8.4301e-05	3.0862e-05	0.000168018	7.23976e-05	9.80579e-05	9.78119e-05	2.50568e-06	3.44797e-07	6.91049e-06	4.35939e-07	4.85066e-06	2.39968e-05
PWY-5659: GDP-mannose biosynthesis	0.000160088	0.000189745	0.000187466	0.000181525	0.000206805	0.000225337	0.000241851	7.14817e-05	0.000201945	0.000170585	0.000179134	0.000159809	0.000108361	6.25506e-05	0.000106558	0.000188148	7.52919e-05	0.000147972
PWY-5667: CDP-diacylglycerol biosynthesis I	0.000355881	0.000445418	0.000479599	0.000438118	0.000432017	0.000416419	0.000308489	0.000364642	0.000327777	0.000408704	0.000282341	0.000300442	0.000368282	0.000412255	0.000509681	0.000502056	0.000324998	0.000387902
PWY-5675: nitrate reduction V (assimilatory)	4.63043e-05	1.45997e-05	4.7626e-06	6.13499e-05	9.87566e-05	2.55577e-05	0.00014149	0.000140197	0.000424419	0.000190526	0.000250425	0.000144434	8.37288e-06	1.1162e-05	1.61321e-05	1.43882e-06	2.60323e-05	8.87142e-05
PWY-5676: acetyl-CoA fermentation to butanoate II	5.91747e-05	2.85321e-05	1.28334e-05	6.01034e-05	8.44039e-05	4.0456e-05	3.46743e-05	2.33727e-06	3.22576e-05	0.000101548	3.01231e-05	9.4145e-05	2.17273e-05	1.6866e-05	2.73349e-05	3.8636e-05	3.05238e-05	7.05241e-05
PWY-5677: succinate fermentation to butanoate	3.24993e-06	2.62171e-06	1.03896e-06	2.58282e-06	7.61716e-06	1.38779e-06	6.82556e-06	0	6.31532e-06	5.6565e-06	1.84081e-06	0	2.29633e-06	6.8164e-07	0	6.29773e-06	0	6.43416e-07
PWY-5686: UMP biosynthesis I	0.000437863	0.000585364	0.000585664	0.000558087	0.000557779	0.000478254	0.000351474	0.00036395	0.000273265	0.000387326	0.000530247	0.000364594	0.000454933	0.000529674	0.000749981	0.000713195	0.000481799	0.000502631
PWY-5690: TCA cycle II (plants and fungi)	7.24866e-06	1.64239e-05	3.85737e-06	3.63641e-06	2.54782e-05	1.88427e-06	8.77279e-06	6.21569e-07	4.62291e-06	3.02664e-05	3.58448e-06	2.83929e-06	1.19787e-05	4.91835e-06	2.19747e-06	2.52517e-05	4.53789e-06	2.23958e-05
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	3.41121e-06	1.30579e-06	7.21129e-07	5.3165e-05	1.92335e-06	1.66775e-05	1.03177e-05	1.05539e-05	8.61915e-06	9.6753e-07	0	0	0	2.31227e-07	9.77308e-07
