# Pathway HUMAnN v4.0.0.alpha.1	C1	C2	C3	Y1	Y2	Y3
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Blautia_massiliensis.t__SGB4826	0	0	0	17.5016856998	8.0808080808	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Blautia_obeum.t__SGB4811	0	0	0	14.3372574943	26.8491155503	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Blautia_wexlerae.t__SGB4837	0	0	0	100.0506673213	12.0002964779	74.0962455408
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	64.3958665762	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Comamonas_kerstersii.t__SGB12676	32.9819851775	0	0	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Dorea_longicatena.t__SGB4582	0	0	0	16.9592709463	36.8651601715	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Escherichia_coli.t__SGB10068	0	0	38.6472325415	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Faecalibacterium_prausnitzii.t__SGB15316	0	0	0	0	0	11.1829025845
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Klebsiella_pneumoniae.t__SGB10115	237.5378167363	202.9595603683	0	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Klebsiella_quasipneumoniae.t__SGB10112	0	24.8892610054	0	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Pyramidobacter_piscolens.t__SGB15497	0	24.8931405934	0	0	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	36.8955863358	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I|unclassified	47.0941406752	29.9342449737	22.4398640805	0	53.2466073804	21.1213138152
COLANSYN-PWY: colanic acid building blocks biosynthesis	199.8575718578	107.9530300800	248.0709349074	166.6306892921	86.6957549646	199.4901742309
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	0	0	7.0960171839
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Bacteroides_uniformis.t__SGB1836	0	0	14.2769091882	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Blautia_faecis.t__SGB4820	0	0	0	31.0728884187	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Blautia_wexlerae.t__SGB4837	0	0	0	34.3329906081	0	15.0946159764
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Escherichia_coli.t__SGB10068	0	0	54.7733974717	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	6.3115221620
COLANSYN-PWY: colanic acid building blocks biosynthesis|unclassified	41.5496719064	31.4109066986	0	13.2184135769	18.7939073207	40.3687001126
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	792.6990760523	731.9799134009	698.7762337750	656.6964344967	645.6999149361	650.5110346103
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Alistipes_onderdonkii.t__SGB2303	11.2169357427	0	56.8024589167	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Alistipes_shahii.t__SGB2295	0	0	28.3769428206	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	29.7894283317	35.0431624587	37.1969355519
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	99.3734908476	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Bacteroides_stercoris.t__SGB1830	0	0	19.1071398705	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Bacteroides_uniformis.t__SGB1836	0	0	43.3815425816	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Bifidobacterium_longum.t__SGB17248	0	0	0	25.7908263415	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	145.8900668870
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Blautia_faecis.t__SGB4820	0	0	0	27.4006312378	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Blautia_massiliensis.t__SGB4826	0	0	0	21.7984397251	19.1704542761	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Blautia_obeum.t__SGB4811	0	0	0	35.2229209968	32.7019367843	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Blautia_wexlerae.t__SGB4837	0	0	0	95.9362658384	0	72.9427538874
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Cloacibacillus_porcorum.t__SGB15507	0	9.6565188776	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Comamonas_kerstersii.t__SGB12676	30.0995342051	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	21.5562325522	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Dorea_longicatena.t__SGB4582	0	0	0	0	41.1938093304	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Escherichia_coli.t__SGB10068	0	0	60.8946607647	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	24.3354328104	0	15.3717175717
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	30.9278756499
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	201.3461265840	150.6763768765	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Klebsiella_quasipneumoniae.t__SGB10112	0	15.8692019615	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Oscillibacter_sp_ER4.t__SGB15254	0	9.9909942275	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	41.5538342239	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	54.4843315839	0	68.3975216755
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	12.4083875892	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	36.0053833295	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	19.4428647174	16.0755941880	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	124.3063863418	109.0394375551	80.1169730637	32.8293622572	126.3864683926	115.1260877375
CRNFORCAT-PWY: creatinine degradation I	0	88.7102211742	0	0	0	0
CRNFORCAT-PWY: creatinine degradation I|s__Klebsiella_pneumoniae.t__SGB10115	0	64.9183346904	0	0	0	0
CRNFORCAT-PWY: creatinine degradation I|s__Klebsiella_quasipneumoniae.t__SGB10112	0	5.8433021150	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	499.0695277399	544.2407776964	291.1062890204	283.4936541674	209.6318389104	456.0218453247
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	20.6776719893	30.6731658722	25.3251608890
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Bifidobacterium_longum.t__SGB17248	0	0	0	21.3814824841	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	179.9086291183
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	10.4384799529	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Dorea_sp_AF24_7LB.t__SGB4571	0	0	0	0	10.3469938354	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Escherichia_coli.t__SGB10068	0	0	69.4130660458	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Klebsiella_pneumoniae.t__SGB10115	257.9356214404	202.3821394586	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Klebsiella_quasipneumoniae.t__SGB10112	0	22.5572958205	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	7.6825168478	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	50.9836800891	17.0165133243	28.1408125467	23.2690510770	54.4658892663	29.5225438961
DARABCATK12-PWY: D-arabinose degradation I	246.8317128077	170.0037789231	67.8991097229	71.8588876981	80.0346853272	43.6408951497
DARABCATK12-PWY: D-arabinose degradation I|s__Blautia_obeum.t__SGB4811	0	0	0	0	28.0103154755	0
DARABCATK12-PWY: D-arabinose degradation I|s__Escherichia_coli.t__SGB10068	0	0	19.5507933559	0	0	0
DARABCATK12-PWY: D-arabinose degradation I|s__Klebsiella_pneumoniae.t__SGB10115	162.6183237830	137.2200109620	0	0	0	0
DARABCATK12-PWY: D-arabinose degradation I|s__Klebsiella_quasipneumoniae.t__SGB10112	0	13.9078074076	0	0	0	0
DARABCATK12-PWY: D-arabinose degradation I|unclassified	10.5081252922	0	0	0	0	30.8130617496
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	375.5326982235	279.8293682234	267.6997146883	145.5528195750	117.9662502159	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|s__Escherichia_coli.t__SGB10068	0	0	62.3720049963	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|s__Klebsiella_pneumoniae.t__SGB10115	149.8636148978	115.5179344968	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|s__Klebsiella_quasipneumoniae.t__SGB10112	0	9.9717296077	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	30.3899183030	24.2471191103	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified	44.7150465529	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	339.8647670426	370.6976700126	601.2620570917	671.4534172836	707.5811774417	627.4092177882
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Akkermansia_muciniphila.t__SGB9226	0	0	36.0446111863	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Alistipes_communis.t__SGB2290	0	8.9453693515	15.8701169476	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Alistipes_finegoldii.t__SGB2301	0	0	6.8900824045	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Alistipes_onderdonkii.t__SGB2303	12.1106649250	0	93.7961413117	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Alistipes_putredinis.t__SGB2318	0	0	28.8857253785	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Alistipes_shahii.t__SGB2295	0	11.5818936396	51.8514710129	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	50.4560663972	40.5582073920	69.5709553188
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	77.0311296389	13.6153659130	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Bacteroides_uniformis.t__SGB1836	0	0	71.0334227923	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Bifidobacterium_longum.t__SGB17248	0	0	0	35.8355361292	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	90.1007986670
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_faecis.t__SGB4820	0	0	0	25.7873558500	16.4925766675	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_massiliensis.t__SGB4826	0	0	0	35.2692715424	15.1961981662	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_obeum.t__SGB4811	0	0	0	50.3625116649	92.4388623282	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	2.7398169774	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	3.9047387694	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Blautia_wexlerae.t__SGB4837	0	0	0	82.7779107091	11.3560139687	61.2064726572
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Clostridiaceae_bacterium_Marseille_Q4149.t__SGB15091	54.2760185027	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	79.3327040253	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Collinsella_intestinalis.t__SGB14741	0	0	0	36.9778611325	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Comamonas_kerstersii.t__SGB12676	43.4673644911	0	9.8804860401	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Coprococcus_comes.t__SGB4577	0	0	0	0	15.3131090136	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	10.6598027936	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Dorea_longicatena.t__SGB4582	0	0	0	25.2385585116	46.6154091947	6.5962071809
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	28.9262593215	0	14.1617985484
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Faecalibacterium_prausnitzii.t__SGB15318	0	0	0	0	5.6777856636	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Faecalibacterium_prausnitzii.t__SGB15323	0	0	0	0	6.3907972520	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	14.1314073991	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	11.0967997622	35.9244468458
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__GGB3256_SGB4303.t__SGB4303	0	0	0	0	18.6991441275	12.4163008292
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__GGB3304_SGB4365.t__SGB4365	18.6985789080	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__GGB9634_SGB15095.t__SGB15095	46.6458355136	10.7558089905	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__GGB9715_SGB15267.t__SGB15267	0	0	150.3572587852	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Gemmiger_SGB15295.t__SGB15295	0	0	16.6189809460	0	0	10.8822386319
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Gemmiger_formicilis.t__SGB15300	0	0	0	11.8660434918	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	10.3893140793	151.3050965017	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Klebsiella_quasipneumoniae.t__SGB10112	0	33.0415575365	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Lacrimispora_celerecrescens.t__SGB4868	0	0	0	0	3.4942368543	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Phocaeicola_vulgatus.t__SGB1814	0	11.5300841433	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	81.8937314769	13.3345117252	54.6893478462
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	7.2582108510	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	16.3683243511	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|s__Ruthenibacterium_lactatiformans.t__SGB15271	13.9054621534	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	60.9186260288	51.8455524852	69.0815705994	87.2114666669	149.4499554083	113.4773940192
ECASYN-PWY: enterobacterial common antigen biosynthesis	180.2159595099	138.5581845298	126.7593671698	0	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis|s__Escherichia_coli.t__SGB10068	0	0	80.7293721581	0	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	132.3215837110	98.6882686186	0	0	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis|s__Klebsiella_quasipneumoniae.t__SGB10112	0	6.6733071747	0	0	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis|unclassified	24.7742913559	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	622.0834842329	408.1086260439	178.2612559292	0	0	18.1838873935
FAO-PWY: fatty acid &beta;-oxidation I (generic)|s__Escherichia_coli.t__SGB10068	0	0	136.4146489480	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)|s__Klebsiella_pneumoniae.t__SGB10115	429.2971055820	326.4233192952	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	25.6761181000	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)|unclassified	77.8277626515	0	7.1153850898	0	0	10.3824635951
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	383.5796289537	344.3763374187	364.9615300535	376.6878289488	515.1331640938	337.6937481037
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Akkermansia_muciniphila.t__SGB9226	0	0	30.7031157888	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	37.6354299434	42.2962111229	50.7986456618
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	68.1156722224	26.1976257294	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Blautia_faecis.t__SGB4820	0	0	0	21.1600045585	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Blautia_massiliensis.t__SGB4826	0	0	0	16.7632147079	10.5741941111	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Blautia_obeum.t__SGB4811	0	0	0	9.1611272684	32.9649679293	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	40.7046032117	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Comamonas_kerstersii.t__SGB12676	47.8671638066	0	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	27.3609771778	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	24.5488535056	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Dorea_longicatena.t__SGB4582	0	0	0	13.9030263909	52.3461447772	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Dorea_sp_AF24_7LB.t__SGB4571	0	0	0	0	14.1479501077	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Escherichia_coli.t__SGB10068	0	0	66.8878019170	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	32.4396097315	0	11.3267968408
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Faecalibacterium_prausnitzii.t__SGB15318	0	6.4172487187	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	31.6185124440
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Gemmiger_formicilis.t__SGB15300	0	0	0	6.8015643598	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Klebsiella_pneumoniae.t__SGB10115	225.7008350048	146.7994958820	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	17.8612619203	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Ruminococcus_callidus.t__SGB4422	0	0	11.6249696716	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	18.2994703061	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Ruminococcus_lactaris.t__SGB4557	0	0	0	0	0	8.9967065628
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	41.7953700552	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified	64.4394321635	24.8881597106	87.5894655696	18.1101147125	73.0150235197	53.8902287771
FERMENTATION-PWY: mixed acid fermentation	519.3287843275	495.5019604585	478.8714623335	338.9057267910	361.6229961201	443.8812729449
FERMENTATION-PWY: mixed acid fermentation|s__Akkermansia_muciniphila.t__SGB9226	0	0	44.1240022744	0	0	0
FERMENTATION-PWY: mixed acid fermentation|s__Bacteroides_stercoris.t__SGB1830	0	0	11.1170223363	0	0	0
FERMENTATION-PWY: mixed acid fermentation|s__Bacteroides_uniformis.t__SGB1836	0	0	40.5331254275	0	0	0
FERMENTATION-PWY: mixed acid fermentation|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	143.8595499414
FERMENTATION-PWY: mixed acid fermentation|s__Escherichia_coli.t__SGB10068	0	0	127.9360516582	0	0	0
FERMENTATION-PWY: mixed acid fermentation|s__Klebsiella_pneumoniae.t__SGB10115	204.7504503279	145.5926213980	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	26.9197752376	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation|unclassified	105.2175198102	88.2233024910	92.3053278070	36.4712306776	139.0434702448	130.0958692976
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	334.5804277203	285.9810177045	208.2152780013	181.8465762162	226.8595928643	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|s__Escherichia_coli.t__SGB10068	0	0	66.9089857304	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|s__Klebsiella_pneumoniae.t__SGB10115	157.1596371467	111.4711232211	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|s__Klebsiella_quasipneumoniae.t__SGB10112	0	15.3270980597	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|unclassified	0	0	0	0	33.2405971345	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	326.8605226665	274.1176593581	168.1549643639	97.2457288742	54.4218034564	35.0321153291
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|s__Escherichia_coli.t__SGB10068	0	0	64.6075113644	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|s__Klebsiella_pneumoniae.t__SGB10115	224.4208119070	153.7506915357	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	13.5977469816	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|unclassified	29.2222177956	0	0	0	0	16.3736999197
FUCCAT-PWY: fucose degradation	317.9153085372	293.1978220339	137.3859745338	121.2797615625	80.0346853272	43.6953743592
FUCCAT-PWY: fucose degradation|s__Akkermansia_muciniphila.t__SGB9226	0	0	27.8830382897	0	0	0
FUCCAT-PWY: fucose degradation|s__Blautia_obeum.t__SGB4811	0	0	0	0	28.0103154755	0
FUCCAT-PWY: fucose degradation|s__Escherichia_coli.t__SGB10068	0	0	61.8450627107	0	0	0
FUCCAT-PWY: fucose degradation|s__Klebsiella_pneumoniae.t__SGB10115	237.9411325422	213.0255767368	0	0	0	0
FUCCAT-PWY: fucose degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	15.0113361867	0	0	0	0
FUCCAT-PWY: fucose degradation|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	30.2247646695	0	0
FUCCAT-PWY: fucose degradation|unclassified	20.3339105803	0	8.4921900561	10.7960993025	16.5349801951	31.8551168933
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	79.2247214148	0	132.2318738728	0	0	23.0121119225
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|s__Escherichia_coli.t__SGB10068	0	0	41.8446621084	0	0	0
