Genus	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Sphingosinicella	1	0	0	0	0	0	0	0	0	0
Sphingosinithalassobacter	1	0	0	0	0	0	0	0	0	0
Spiribacter	0	0	0	0	0	0	0	0	1	0
Stanieria	0	1	0	0	0	0	0	0	0	0
Stigmatella	0	0	0	0	1	0	0	0	0	0
Sulfitobacter	0	1	0	0	0	0	0	0	0	0
Sulfuriferula	0	0	0	1	0	0	0	0	0	0
Sulfurimonas	0	0	1	0	0	0	0	0	0	0
Sulfurivermis	1	0	0	0	0	0	0	0	0	0
Synechococcus	0	1	0	0	0	0	0	0	0	0
Tatumella	0	0	1	0	0	0	0	0	0	0
Tepidanaerobacter	0	0	0	0	0	0	0	0	1	0
Thermacetogenium	0	0	1	0	0	0	0	0	0	0
Thermoactinomyces	0	0	0	1	0	0	0	0	0	0
Thermobifida	0	0	0	0	0	0	0	0	1	0
Thermococcus	0	0	1	0	0	0	0	0	0	0
Thermomicrobium	0	0	0	0	0	1	0	0	0	0
Thermomonas	0	0	0	0	0	1	0	0	0	0
Thermosipho	0	0	1	0	0	0	0	0	0	0
Thiomonas	0	0	0	0	1	0	0	0	0	0
Ureibacillus	0	0	0	0	0	0	0	0	0	1
Virgibacillus	0	0	0	0	0	0	1	0	0	0
Viridibacillus	0	0	0	0	0	0	0	0	0	1
Vitreoscilla	0	0	0	0	1	0	0	0	0	0
Zea	1	0	0	0	0	0	0	0	0	0
Zobellella	0	0	0	0	0	0	0	0	0	1
Zunongwangia	0	0	0	0	1	0	0	0	0	0
Zymobacter	1	0	0	0	0	0	0	0	0	0
Alkaliphilus	0	0	0	0	0	0	0	0	0	0
Amniculibacterium	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	0	0	0	0	0	0	0	0	0	0
Aureimonas	0	0	0	0	0	0	0	0	0	0
Beggiatoa	0	0	0	0	0	0	0	0	0	0
Brachypodium	0	0	0	0	0	0	0	0	0	0
Caminibacter	0	0	0	0	0	0	0	0	0	0
Cellulophaga	0	0	0	0	0	0	0	0	0	0
Chromohalobacter	0	0	0	0	0	0	0	0	0	0
Citromicrobium	0	0	0	0	0	0	0	0	0	0
Cuniculiplasma	0	0	0	0	0	0	0	0	0	0
Desulfallas	0	0	0	0	0	0	0	0	0	0
Desulfofarcimen	0	0	0	0	0	0	0	0	0	0
Duganella	0	0	0	0	0	0	0	0	0	0
Ensifer	0	0	0	0	0	0	0	0	0	0
Erysipelothrix	0	0	0	0	0	0	0	0	0	0
Erythrobacter	0	0	0	0	0	0	0	0	0	0
Eubacterium	0	0	0	0	0	0	0	0	0	0
Euzebya	0	0	0	0	0	0	0	0	0	0
Gallaecimonas	0	0	0	0	0	0	0	0	0	0
Heliobacterium	0	0	0	0	0	0	0	0	0	0
Hymenobacter	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium	0	0	0	0	0	0	0	0	0	0
Intrasporangium	0	0	0	0	0	0	0	0	0	0
Kordia	0	0	0	0	0	0	0	0	0	0
Labrys	0	0	0	0	0	0	0	0	0	0
Luteimicrobium	0	0	0	0	0	0	0	0	0	0
Magnetospirillum	0	0	0	0	0	0	0	0	0	0
Martelella	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	0	0	0	0	0	0	0	0	0
Methylorubrum	0	0	0	0	0	0	0	0	0	0
Nostoc	0	0	0	0	0	0	0	0	0	0
Novosphingopyxis	0	0	0	0	0	0	0	0	0	0
Paraclostridium	0	0	0	0	0	0	0	0	0	0
Paraliobacillus	0	0	0	0	0	0	0	0	0	0
Pelagibaca	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	0
Qipengyuania	0	0	0	0	0	0	0	0	0	0
Ramlibacter	0	0	0	0	0	0	0	0	0	0
Rhodobacter	0	0	0	0	0	0	0	0	0	0
Rickettsia	0	0	0	0	0	0	0	0	0	0
Romboutsia	0	0	0	0	0	0	0	0	0	0
Sandaracinobacter	0	0	0	0	0	0	0	0	0	0
Scardovia	0	0	0	0	0	0	0	0	0	0
Schlegelella	0	0	0	0	0	0	0	0	0	0
Sorghum	0	0	0	0	0	0	0	0	0	0
Spirochaeta	0	0	0	0	0	0	0	0	0	0
Steroidobacter	0	0	0	0	0	0	0	0	0	0
Tabrizicola	0	0	0	0	0	0	0	0	0	0
Tardibacter	0	0	0	0	0	0	0	0	0	0
Thermoanaerobacter	0	0	0	0	0	0	0	0	0	0
Thermoanaerobacterium	0	0	0	0	0	0	0	0	0	0
Wphvirus	0	0	0	0	0	0	0	0	0	0
