Species	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Babesia bigemina	0	0	1	0	0	0	0	0	1	0
Bacillus amyloliquefaciens	0	0	0	0	0	0	0	0	2	0
Bacillus marisflavi	0	1	0	0	0	0	1	0	0	0
Bacillus sp. DSL-17	0	0	0	0	0	0	2	0	0	0
Bacteroides coprosuis	0	0	1	0	0	0	0	0	0	1
Blastomonas fulva	1	1	0	0	0	0	0	0	0	0
Blattabacterium cuenoti	0	1	0	0	1	0	0	0	0	0
Bosea sp. AS-1	0	0	0	0	0	2	0	0	0	0
Brassica oleracea	1	0	0	0	0	1	0	0	0	0
Buchnera aphidicola	0	0	2	0	0	0	0	0	0	0
Camelina sativa	0	0	0	0	1	0	1	0	0	0
Campylobacter canadensis	0	0	2	0	0	0	0	0	0	0
Campylobacter geochelonis	0	0	1	1	0	0	0	0	0	0
Campylobacter sp. RM16192	0	0	1	1	0	0	0	0	0	0
Campylobacter sp. RM6137	0	0	1	0	0	0	0	0	0	1
Campylobacter sp. RM6914	0	1	1	0	0	0	0	0	0	0
Candidatus Saccharimonas aalborgensis	0	0	0	0	2	0	0	0	0	0
Cedecea neteri	0	0	0	1	0	0	1	0	0	0
Celeribacter indicus	1	0	0	0	0	0	1	0	0	0
Chryseobacterium piperi	1	0	0	0	0	0	0	0	1	0
Chryseobacterium sp. NEB161	0	1	0	0	0	0	0	1	0	0
Cicer arietinum	1	0	1	0	0	0	0	0	0	0
Clostridioides difficile	1	0	0	0	1	0	0	0	0	0
Clostridium beijerinckii	0	0	0	0	0	0	0	0	0	2
Clostridium botulinum	0	0	1	0	0	0	1	0	0	0
Clostridium sp. SY8519	0	1	0	0	0	0	1	0	0	0
Collimonas fungivorans	0	0	0	0	1	1	0	0	0	0
Conchiformibius steedae	0	0	0	0	0	1	0	1	0	0
Croceicoccus naphthovorans	0	2	0	0	0	0	0	0	0	0
Cronobacter sp. JZ38	0	0	0	0	0	0	0	2	0	0
Cupriavidus gilardii	0	0	0	0	0	0	0	0	2	0
Cupriavidus necator	0	1	0	0	0	0	1	0	0	0
Diaphorobacter polyhydroxybutyrativorans	0	0	0	0	0	2	0	0	0	0
Enterobacter oligotrophicus	0	0	0	0	0	2	0	0	0	0
Enterobacter sp. RHBSTW-00994	0	0	0	0	0	0	0	2	0	0
Enterococcus wangshanyuanii	0	1	0	0	1	0	0	0	0	0
Erysipelatoclostridium ramosum	0	2	0	0	0	0	0	0	0	0
Ezakiella massiliensis	0	1	0	0	0	0	0	1	0	0
Fibrella aestuarina	0	0	0	0	1	0	0	0	0	1
Finegoldia magna	0	0	1	0	0	1	0	0	0	0
Flavobacterium sp. I3-2	0	0	0	0	2	0	0	0	0	0
Flavobacterium sp. KBS0721	0	0	1	0	1	0	0	0	0	0
Francisella hispaniensis	0	0	0	0	0	0	1	0	0	1
Fusobacterium mortiferum	0	1	0	0	0	0	0	0	0	1
Fusobacterium sp. NSJ-57	0	1	0	0	0	0	0	0	0	1
Geitlerinema sp. PCC 7407	0	1	0	0	0	1	0	0	0	0
Georgenia sp. Z294	1	0	0	0	0	0	0	0	1	0
Gramella fulva	0	0	0	0	0	0	0	0	2	0
Idiomarina loihiensis	0	0	0	0	0	0	0	0	0	2
Janthinobacterium agaricidamnosum	0	2	0	0	0	0	0	0	0	0
Jeotgalibaca porci	0	0	2	0	0	0	0	0	0	0
Kluyvera intermedia	1	0	0	0	0	1	0	0	0	0
Lachnoclostridium phytofermentans	0	1	0	1	0	0	0	0	0	0
Lachnoclostridium sp. YL32	0	0	0	0	1	1	0	0	0	0
Lactobacillus gasseri	0	0	0	0	2	0	0	0	0	0
Lactobacillus manihotivorans	1	0	0	0	0	1	0	0	0	0
Leclercia sp. 29361	0	0	0	0	0	1	0	0	0	1
Leucobacter sp. HDW9A	0	0	0	0	0	0	1	0	1	0
Limnohabitans sp. 103DPR2	0	1	0	0	0	0	1	0	0	0
Macrococcus canis	0	0	0	0	0	1	1	0	0	0
Macrococcus sp. IME1552	1	0	0	0	0	0	1	0	0	0
Mannheimia sp. 16CN0041	0	2	0	0	0	0	0	0	0	0
Micrococcus luteus	0	1	0	0	0	0	0	0	1	0
Micropruina glycogenica	0	0	0	0	0	2	0	0	0	0
Moraxella catarrhalis	0	0	0	2	0	0	0	0	0	0
Murdochiella vaginalis	0	0	0	1	0	0	1	0	0	0
Niabella ginsenosidivorans	0	0	0	0	0	0	0	0	0	2
Oleispira antarctica	0	0	0	0	0	0	0	2	0	0
Orbus sp. IPMB12	0	0	0	0	0	0	0	2	0	0
Ornithobacterium rhinotracheale	0	0	1	0	0	0	0	1	0	0
Oryza sativa	0	0	0	0	0	0	1	0	0	1
Oscillibacter sp. PEA192	0	1	0	0	0	0	1	0	0	0
Paenibacillus sp. FSL R5-0345	0	0	0	2	0	0	0	0	0	0
Pantoea rwandensis	0	0	0	0	0	0	1	0	1	0
Paracoccus yeei	1	0	1	0	0	0	0	0	0	0
Parashewanella spongiae	0	1	0	0	0	0	0	1	0	0
Parolsenella catena	0	0	0	0	1	0	0	0	1	0
Pasteurella dagmatis	0	1	0	0	0	0	0	0	1	0
Pediococcus pentosaceus	0	0	1	0	1	0	0	0	0	0
Peptacetobacter hiranonis	0	0	0	0	0	0	1	1	0	0
Phaeobacter gallaeciensis	0	0	0	0	0	0	0	0	1	1
Phocaeicola vulgatus	0	1	0	0	0	0	0	1	0	0
Plasmodium malariae	1	0	0	0	1	0	0	0	0	0
Plesiomonas shigelloides	0	0	2	0	0	0	0	0	0	0
Polaribacter sp. L12M9	0	0	0	0	2	0	0	0	0	0
Pseudoalteromonas espejiana	0	0	1	1	0	0	0	0	0	0
Pseudomonas extremaustralis	0	0	0	0	0	1	0	1	0	0
Pseudomonas mendocina	0	0	0	1	0	1	0	0	0	0
Pseudomonas oleovorans	0	0	0	0	0	2	0	0	0	0
Pseudomonas protegens	1	0	0	0	0	0	0	0	1	0
Pseudomonas sp. R76	2	0	0	0	0	0	0	0	0	0
Pseudomonas tolaasii	2	0	0	0	0	0	0	0	0	0
Psychrobacillus glaciei	0	0	1	0	0	0	0	0	0	1
Pulveribacter suum	0	0	0	0	0	2	0	0	0	0
Rheinheimera sp. D18	0	1	0	0	0	0	0	1	0	0
Rhodoferax antarcticus	0	0	0	0	0	2	0	0	0	0
Rhodoferax koreense	1	0	0	0	0	0	0	0	0	1
Rhodoferax sediminis	0	0	0	0	0	1	0	0	0	1
Sagittula sp. P11	2	0	0	0	0	0	0	0	0	0
Salinicoccus halodurans	0	0	0	0	0	0	1	1	0	0
Schaalia cardiffensis	0	0	0	0	1	0	0	1	0	0
Serpentinomonas mccroryi	0	0	0	0	1	1	0	0	0	0
Serratia sp. ATCC 39006	0	1	0	0	0	0	0	0	1	0
Sesamum indicum	1	0	1	0	0	0	0	0	0	0
Shewanella amazonensis	0	0	2	0	0	0	0	0	0	0
Sphingomonas ginsengisoli An et al. 2013	0	2	0	0	0	0	0	0	0	0
Sphingomonas indica	2	0	0	0	0	0	0	0	0	0
Sphingomonas koreensis	1	1	0	0	0	0	0	0	0	0
Sphingomonas sp. HMP9	1	1	0	0	0	0	0	0	0	0
Sphingomonas sp. IC081	0	0	0	0	1	0	0	0	1	0
Sphingomonas sp. KC8	1	1	0	0	0	0	0	0	0	0
Sphingomonas sp. LM7	0	2	0	0	0	0	0	0	0	0
Sphingomonas sp. PAMC26645	2	0	0	0	0	0	0	0	0	0
Sporosarcina sp. PTS2304	0	0	0	0	0	0	0	2	0	0
Staphylococcus muscae	0	0	2	0	0	0	0	0	0	0
Staphylococcus pettenkoferi	1	0	0	0	0	0	0	0	1	0
Staphylococcus virus IPLAC1C	1	0	0	1	0	0	0	0	0	0
Staphylococcus warneri	0	0	0	0	0	2	0	0	0	0
Stenotrophomonas acidaminiphila	0	0	0	0	0	2	0	0	0	0
Streptobacillus moniliformis	0	1	0	0	1	0	0	0	0	0
Streptococcus acidominimus	0	0	0	0	0	0	1	0	0	1
Streptococcus infantarius	0	1	0	0	0	0	0	1	0	0
Streptococcus merionis	0	0	0	0	0	0	1	1	0	0
Streptococcus phage phiARI0131-1	0	0	0	0	0	0	2	0	0	0
Streptococcus virus Cp1	0	0	1	0	0	0	0	1	0	0
Treponema pedis	0	0	0	0	0	0	0	0	0	2
Vagococcus sp. HDW17B	0	1	0	0	0	0	0	1	0	0
Vibrio aphrogenes	0	0	0	1	0	0	0	0	1	0
Vibrio cholerae	0	0	0	0	0	0	0	0	1	1
Vibrio metschnikovii	0	2	0	0	0	0	0	0	0	0
Vibrio ponticus	0	2	0	0	0	0	0	0	0	0
Vibrio tritonius	0	0	0	0	0	0	0	0	1	1
Vibrio vulnificus	0	1	0	0	0	0	0	1	0	0
Vigna unguiculata	0	0	1	0	0	1	0	0	0	0
Vitis riparia	1	0	0	1	0	0	0	0	0	0
Xenorhabdus hominickii	0	1	0	0	0	0	0	1	0	0
Yersinia frederiksenii	0	0	0	0	0	0	0	0	2	0
[Clostridium] hylemonae	1	0	0	0	0	0	0	0	0	0
[Clostridium] scindens	0	0	0	0	1	0	0	0	0	0
Acetoanaerobium sticklandii	0	1	0	0	0	0	0	0	0	0
Acetobacter aceti	0	1	0	0	0	0	0	0	0	0
Acholeplasma hippikon	0	0	0	0	0	0	1	0	0	0
Achromobacter pestifer	0	0	0	0	0	1	0	0	0	0
Achromobacter sp. MFA1 R4	0	0	0	0	0	0	1	0	0	0
Acidianus ambivalens	0	0	0	0	0	0	0	0	0	1
Acidovorax citrulli	0	0	0	0	1	0	0	0	0	0
Acidovorax monticola	0	0	0	0	0	1	0	0	0	0
Acidovorax sp. RAC01	0	0	0	0	0	0	0	1	0	0
Acinetobacter bereziniae	0	0	0	0	0	0	0	0	1	0
Acinetobacter calcoaceticus	0	1	0	0	0	0	0	0	0	0
Acinetobacter defluvii	0	0	0	0	0	0	0	1	0	0
Acinetobacter dispersus	0	0	0	0	0	0	0	1	0	0
Acinetobacter equi	0	0	0	0	0	0	1	0	0	0
Acinetobacter gyllenbergii	0	0	0	0	1	0	0	0	0	0
Acinetobacter johnsonii	0	0	0	0	1	0	0	0	0	0
Acinetobacter nosocomialis	0	0	0	0	1	0	0	0	0	0
Acinetobacter piscicola	0	0	0	0	0	0	1	0	0	0
Acinetobacter seifertii	1	0	0	0	0	0	0	0	0	0
Acinetobacter wuhouensis	0	0	0	0	1	0	0	0	0	0
Actinomadura sp. NAK00032	0	0	0	0	0	0	1	0	0	0
Actinomyces gaoshouyii	0	0	0	0	0	0	0	0	0	1
Actinomyces israelii	0	0	0	0	1	0	0	0	0	0
Actinomyces sp. 299	1	0	0	0	0	0	0	0	0	0
Actinomyces sp. dk561	0	0	0	0	0	0	0	0	0	1
Actinomyces tangfeifanii	0	0	0	0	0	0	0	0	1	0
Actinopolymorpha singaporensis	0	0	0	0	0	0	0	0	1	0
Actinotignum schaalii	0	0	0	0	0	0	0	0	1	0
Aerococcus christensenii	0	0	0	0	0	0	1	0	0	0
Aerococcus sanguinicola	0	0	0	0	0	0	1	0	0	0
Aerococcus urinaehominis	0	0	0	0	0	0	0	1	0	0
Aeromonas schubertii	0	0	0	0	0	0	0	1	0	0
Aeromonas sp. ASNIH1	0	0	0	1	0	0	0	0	0	0
Alcaligenes faecalis	0	0	0	0	0	1	0	0	0	0
Algibacter sp. L1A34	0	0	0	0	1	0	0	0	0	0
Alistipes finegoldii	0	0	0	0	0	0	0	1	0	0
Alistipes onderdonkii	0	0	1	0	0	0	0	0	0	0
Alistipes shahii	0	0	0	1	0	0	0	0	0	0
Alloactinosynnema sp. L-07	0	0	0	0	0	0	1	0	0	0
Allofrancisella guangzhouensis	0	1	0	0	0	0	0	0	0	0
Altererythrobacter sp. TH136	0	1	0	0	0	0	0	0	0	0
Alteromonas sp. BL110	0	0	0	0	0	0	0	0	1	0
Aminipila butyrica	0	0	0	1	0	0	0	0	0	0
Amycolatopsis albispora	0	0	0	0	0	0	0	0	1	0
Anabaena cylindrica	0	0	0	1	0	0	0	0	0	0
Anaerobacillus isosaccharinicus	0	0	0	0	1	0	0	0	0	0
Anaerobutyricum hallii	0	0	0	0	0	0	1	0	0	0
Anaerococcus prevotii	1	0	0	0	0	0	0	0	0	0
Anaerocolumna cellulosilytica	0	0	0	0	0	0	0	1	0	0
Anaerocolumna sp. CTTW	0	0	1	0	0	0	0	0	0	0
Anaerostipes hadrus	0	0	0	0	0	0	1	0	0	0
Aneurinibacillus sp. XH2	0	0	0	0	0	0	0	0	1	0
Anoxybacillus amylolyticus	0	0	0	0	1	0	0	0	0	0
Anoxybacter fermentans	0	0	1	0	0	0	0	0	0	0
Aquimarina sp. AD10	0	0	0	0	1	0	0	0	0	0
Arachidicoccus soli	0	0	0	0	0	0	1	0	0	0
Arachis duranensis	0	0	1	0	0	0	0	0	0	0
Arachis hypogaea	0	0	0	0	0	0	0	0	0	1
Arachis ipaensis	1	0	0	0	0	0	0	0	0	0
Arcanobacterium haemolyticum	0	0	0	1	0	0	0	0	0	0
Arcobacter cloacae	0	0	0	1	0	0	0	0	0	0
Arcobacter cryaerophilus	0	0	0	0	0	0	1	0	0	0
Arsenophonus endosymbiont of Aphis craccivora	0	0	0	0	1	0	0	0	0	0
Arthrobacter alpinus	0	0	0	0	0	1	0	0	0	0
Arthrobacter crystallopoietes	0	1	0	0	0	0	0	0	0	0
Arthrobacter sp. QXT-31	0	0	0	0	0	0	0	0	1	0
Auraticoccus monumenti	1	0	0	0	0	0	0	0	0	0
Azospirillum brasilense	0	0	0	0	0	0	1	0	0	0
Azotobacter salinestris	0	0	0	0	1	0	0	0	0	0
Bacillus cohnii	0	0	1	0	0	0	0	0	0	0
Bacillus cytotoxicus	0	0	1	0	0	0	0	0	0	0
Bacillus filamentosus	0	0	0	0	0	0	1	0	0	0
Bacillus flexus	0	1	0	0	0	0	0	0	0	0
Bacillus lentus	0	0	0	0	0	1	0	0	0	0
Bacillus pumilus	0	1	0	0	0	0	0	0	0	0
Bacillus safensis	0	1	0	0	0	0	0	0	0	0
Bacillus sonorensis	0	0	0	0	0	0	0	1	0	0
Bacillus sp. FJAT-22090	0	1	0	0	0	0	0	0	0	0
Bacillus sp. HD4P25	0	0	1	0	0	0	0	0	0	0
Bacillus sp. M4U3P1	0	0	0	0	0	0	1	0	0	0
Bacillus sp. N3536	1	0	0	0	0	0	0	0	0	0
Bacillus sp. NSP9.1	0	0	0	1	0	0	0	0	0	0
Bacillus sp. PAMC26568	0	0	0	0	1	0	0	0	0	0
Bacillus sp. X1(2014)	0	0	0	1	0	0	0	0	0	0
Bacillus sp. Y1	0	0	0	0	0	0	1	0	0	0
Bacillus subtilis	0	0	0	0	0	0	0	0	1	0
Bacillus thuringiensis	0	0	0	1	0	0	0	0	0	0
Bacteroides cellulosilyticus	0	0	0	0	0	0	0	0	0	1
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	1
Bacteroides ovatus	0	0	0	0	1	0	0	0	0	0
Bacteroides sp. M10	0	0	0	1	0	0	0	0	0	0
Barnesiella viscericola	0	0	0	0	0	0	0	0	1	0
Bartonella alsatica	0	0	0	0	0	0	0	1	0	0
Bermanella marisrubri	0	0	1	0	0	0	0	0	0	0
Bifidobacterium longum	0	0	0	0	0	0	1	0	0	0
Blastochloris viridis	0	0	0	0	0	1	0	0	0	0
Blastomonas sp. RAC04	1	0	0	0	0	0	0	0	0	0
Blautia producta	0	0	0	0	0	0	0	1	0	0
Blautia sp. LZLJ-3	0	0	0	0	0	0	1	0	0	0
Bordetella avium	0	0	0	0	0	1	0	0	0	0
Brachybacterium saurashtrense	0	0	0	0	0	1	0	0	0	0
Brachybacterium vulturis	0	0	0	0	0	0	0	0	0	1
Bradyrhizobium erythrophlei	0	0	0	0	0	0	0	0	0	1
Bradyrhizobium guangzhouense	0	0	0	0	0	1	0	0	0	0
Bradyrhizobium lablabi	0	0	0	0	0	1	0	0	0	0
Bradyrhizobium sp. CCBAU 53421	1	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. SK17	0	0	0	0	0	1	0	0	0	0
Brevibacillus brevis	0	0	0	0	0	0	1	0	0	0
Brevibacterium siliguriense	0	1	0	0	0	0	0	0	0	0
Brevundimonas diminuta	0	1	0	0	0	0	0	0	0	0
Brochothrix thermosphacta	0	0	0	0	0	0	0	1	0	0
Burkholderia glumae	0	0	0	0	1	0	0	0	0	0
Burkholderia sp. CCGE1003	0	0	0	0	0	1	0	0	0	0
Buttiauxella agrestis	0	0	0	1	0	0	0	0	0	0
Butyricimonas faecalis	0	0	0	0	0	0	0	0	0	1
Butyrivibrio fibrisolvens	0	0	0	0	1	0	0	0	0	0
Butyrivibrio hungatei	0	1	0	0	0	0	0	0	0	0
Caldanaerobacter subterraneus	0	0	0	0	0	0	0	0	1	0
Calothrix sp. NIES-2098	0	0	0	0	0	0	0	1	0	0
Calothrix sp. PCC 7507	0	0	0	0	0	0	0	0	1	0
Campylobacter avium	0	0	1	0	0	0	0	0	0	0
Campylobacter corcagiensis	0	0	1	0	0	0	0	0	0	0
Campylobacter fetus	0	0	1	0	0	0	0	0	0	0
Campylobacter hyointestinalis	0	0	0	0	0	0	0	0	0	1
Campylobacter iguaniorum	0	0	1	0	0	0	0	0	0	0
Campylobacter sp. RM16704	0	0	0	0	0	0	1	0	0	0
Candidatus Enterovibrio luxaltus	0	0	0	0	0	0	0	0	1	0
Candidatus Filomicrobium marinum	0	0	0	0	0	0	0	1	0	0
Candidatus Hamiltonella defensa	0	0	0	0	0	0	0	1	0	0
Candidatus Methylopumilus planktonicus	0	0	0	1	0	0	0	0	0	0
Candidatus Nitrosoglobus terrae	0	0	0	0	0	1	0	0	0	0
Candidatus Nitrotoga sp. AM1P	0	0	0	1	0	0	0	0	0	0
Candidatus Pantoea carbekii	0	1	0	0	0	0	0	0	0	0
Candidatus Pelagibacter sp. FZCC0015	0	0	0	1	0	0	0	0	0	0
Candidatus Reidiella endopervernicosa	0	0	0	0	1	0	0	0	0	0
Candidatus Sulcia muelleri	0	0	0	0	0	0	0	0	0	1
Candidatus Vampirococcus archaeovorus	1	0	0	0	0	0	0	0	0	0
Capnocytophaga sp. H2931	0	0	0	0	1	0	0	0	0	0
Caulobacter sp. K31	0	0	0	0	0	1	0	0	0	0
Cellulomonas flavigena	0	0	0	0	0	1	0	0	0	0
Cellulomonas sp. H30R-01	0	0	0	0	0	1	0	0	0	0
Cellulosimicrobium cellulans	0	0	0	0	0	1	0	0	0	0
Cellvibrio sp. PSBB006	1	0	0	0	0	0	0	0	0	0
Cellvibrio sp. PSBB023	0	1	0	0	0	0	0	0	0	0
Chitinophaga sp. MD30	0	0	0	0	1	0	0	0	0	0
Christensenella sp. Marseille-P3954	0	0	0	0	0	1	0	0	0	0
Chromobacterium sp. Rain0013	0	0	0	0	0	0	0	1	0	0
Chryseobacterium arthrosphaerae	0	0	0	0	0	0	1	0	0	0
Chryseobacterium aureum	0	0	1	0	0	0	0	0	0	0
Chryseobacterium camelliae	0	0	0	0	0	0	1	0	0	0
Chryseobacterium gallinarum	0	1	0	0	0	0	0	0	0	0
Chryseobacterium glaciei	0	1	0	0	0	0	0	0	0	0
Chryseobacterium haifense	0	0	0	0	0	0	0	1	0	0
Chryseobacterium indologenes	0	0	1	0	0	0	0	0	0	0
Chryseobacterium lactis	0	0	0	0	0	1	0	0	0	0
Chryseobacterium sp.	0	0	0	0	0	0	0	1	0	0
Chryseobacterium sp. 6424	0	1	0	0	0	0	0	0	0	0
Chryseobacterium sp. 7-3A	0	0	1	0	0	0	0	0	0	0
Chryseobacterium sp. IHB B 17019	0	0	0	0	0	0	1	0	0	0
Chryseobacterium sp. T16E-39	0	1	0	0	0	0	0	0	0	0
Citrobacter farmeri	0	0	0	0	0	0	0	0	1	0
Citrobacter freundii	0	0	1	0	0	0	0	0	0	0
Clostridium argentinense	1	0	0	0	0	0	0	0	0	0
Clostridium baratii	0	0	0	0	0	0	0	1	0	0
Clostridium estertheticum	0	0	0	0	0	0	0	0	0	1
Clostridium isatidis	0	0	0	0	1	0	0	0	0	0
Clostridium novyi	0	0	0	1	0	0	0	0	0	0
Clostridium perfringens	0	0	0	0	0	0	1	0	0	0
Clostridium saccharobutylicum	0	0	1	0	0	0	0	0	0	0
Clostridium sp. JN-9	0	0	1	0	0	0	0	0	0	0
Clostridium taeniosporum	0	0	0	0	0	0	0	1	0	0
Coffea arabica	0	0	0	0	1	0	0	0	0	0
Collimonas arenae	1	0	0	0	0	0	0	0	0	0
Collinsella aerofaciens	0	0	0	0	1	0	0	0	0	0
Colwellia sp. Arc7-635	0	0	0	1	0	0	0	0	0	0
Colwellia sp. MT41	0	0	0	0	0	0	0	0	1	0
Colwellia sp. PAMC 21821	0	0	0	0	0	0	1	0	0	0
Comamonas testosteroni	0	0	0	0	0	0	1	0	0	0
Corynebacterium deserti	0	0	0	1	0	0	0	0	0	0
Corynebacterium doosanense	0	0	0	0	0	0	1	0	0	0
Corynebacterium efficiens	0	0	0	0	0	1	0	0	0	0
Corynebacterium endometrii	0	0	1	0	0	0	0	0	0	0
Corynebacterium genitalium	0	0	0	0	1	0	0	0	0	0
Corynebacterium jeikeium	0	0	0	0	1	0	0	0	0	0
Corynebacterium lactis	0	0	0	0	0	0	0	0	1	0
Corynebacterium simulans	1	0	0	0	0	0	0	0	0	0
Corynebacterium ulcerans	0	0	0	0	0	0	0	0	0	1
Croceibacter atlanticus	0	0	0	0	1	0	0	0	0	0
Cronobacter condimenti	0	0	0	0	0	0	0	0	1	0
Cruoricaptor ignavus	0	1	0	0	0	0	0	0	0	0
Cucumis sativus	0	0	0	0	0	0	1	0	0	0
Cupriavidus taiwanensis	0	0	0	0	0	1	0	0	0	0
Cutibacterium avidum	0	1	0	0	0	0	0	0	0	0
Cutibacterium granulosum	1	0	0	0	0	0	0	0	0	0
Cyclobacterium amurskyense	0	0	1	0	0	0	0	0	0	0
Cyclobacterium marinum	0	0	0	0	0	0	0	1	0	0
Cytobacillus oceanisediminis	0	0	0	0	0	0	0	1	0	0
Dechloromonas sp. HYN0024	0	1	0	0	0	0	0	0	0	0
Dechlorosoma suillum	0	0	0	0	0	1	0	0	0	0
Dehalobacterium formicoaceticum	0	0	0	0	0	0	1	0	0	0
Deinococcus peraridilitoris	0	0	0	0	1	0	0	0	0	0
Delftia tsuruhatensis	0	0	0	0	1	0	0	0	0	0
Dermatophilus congolensis	0	0	0	0	0	0	0	0	1	0
Desulfitobacterium dichloroeliminans	0	0	0	0	1	0	0	0	0	0
Desulfococcus multivorans	0	0	0	0	0	1	0	0	0	0
Desulfosarcina widdelii	0	1	0	0	0	0	0	0	0	0
Desulfosporosinus meridiei	0	1	0	0	0	0	0	0	0	0
Devosia sp. I507	0	0	0	0	0	1	0	0	0	0
Devriesea agamarum	0	0	0	0	0	0	0	0	1	0
Diaphorobacter aerolatus	0	0	0	0	0	1	0	0	0	0
Diaphorobacter sp. HDW4B	0	0	0	0	0	0	0	0	1	0
Dietzia sp. oral taxon 368	1	0	0	0	0	0	0	0	0	0
Dolosigranulum pigrum	0	0	0	0	0	1	0	0	0	0
Duncaniella dubosii	0	0	0	0	0	0	0	0	0	1
Dyadobacter fermentans	0	0	0	0	1	0	0	0	0	0
Dysgonomonas sp. HDW5A	0	0	0	1	0	0	0	0	0	0
Eggerthella sp. YY7918	0	1	0	0	0	0	0	0	0	0
Elizabethkingia anophelis	0	0	0	0	0	1	0	0	0	0
Elizabethkingia bruuniana	0	0	0	0	1	0	0	0	0	0
Elizabethkingia meningoseptica	0	0	0	0	0	1	0	0	0	0
Emcibacter sp. MEBiC09520	0	0	0	0	0	1	0	0	0	0
Empedobacter brevis	0	0	0	0	0	1	0	0	0	0
Empedobacter stercoris	0	0	0	0	0	0	0	0	1	0
endosymbiont 'TC1' of Trimyema compressum	0	0	0	0	0	0	1	0	0	0
Enterobacter cloacae	0	0	0	0	0	0	0	0	0	1
Enterobacter sp. E76	0	0	0	0	0	0	0	0	1	0
Enterobacteriaceae endosymbiont of Donacia cinerea	0	1	0	0	0	0	0	0	0	0
Enterobacteriaceae endosymbiont of Donacia dentata	0	1	0	0	0	0	0	0	0	0
Enterocloster clostridioformis	0	0	0	0	0	1	0	0	0	0
Enterococcus cecorum	0	1	0	0	0	0	0	0	0	0
Enterococcus durans	0	1	0	0	0	0	0	0	0	0
Enterococcus faecium	0	0	0	0	0	0	0	1	0	0
Enterococcus hirae	0	0	0	0	0	0	1	0	0	0
Enterococcus mundtii	0	0	1	0	0	0	0	0	0	0
Ephemeroptericola cinctiostellae	0	0	0	0	0	0	1	0	0	0
Escherichia marmotae	0	0	1	0	0	0	0	0	0	0
Euzebyella marina	0	0	0	1	0	0	0	0	0	0
Exiguobacterium sp. Helios	0	0	0	0	0	1	0	0	0	0
Faecalibacterium prausnitzii	1	0	0	0	0	0	0	0	0	0
Fastidiosipila sanguinis	0	0	0	0	0	0	1	0	0	0
Fervidobacterium nodosum	0	0	0	1	0	0	0	0	0	0
Fibrobacter succinogenes	0	0	1	0	0	0	0	0	0	0
Fictibacillus phosphorivorans	0	0	0	0	0	0	1	0	0	0
Flammeovirga pectinis	0	0	0	0	0	0	0	1	0	0
Flavisolibacter tropicus	0	0	0	0	0	0	0	0	1	0
Flavivirga eckloniae	0	0	1	0	0	0	0	0	0	0
Flavobacterium gilvum	0	0	0	1	0	0	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	0	0	0	0	0	1
Flavobacterium psychrophilum	0	0	1	0	0	0	0	0	0	0
Flavobacterium sediminis	0	0	0	0	0	0	0	0	0	1
Flavobacterium sp. HYN0086	0	0	0	0	0	0	0	0	0	1
Flavobacterium sp. P2-65	0	0	0	0	1	0	0	0	0	0
Flavobacterium sp. Sr18	0	0	1	0	0	0	0	0	0	0
Flexistipes sinusarabici	0	0	0	0	0	0	0	0	0	1
Formosa sp. Hel1	0	0	0	0	1	0	0	0	0	0
Francisella halioticida	0	0	0	0	0	1	0	0	0	0
Frankia sp. EAN1pec	0	0	0	0	1	0	0	0	0	0
Frondihabitans sp. PAMC 28766	0	0	0	0	0	0	1	0	0	0
Gemella sp. ND 6198	0	0	0	0	0	1	0	0	0	0
Geosporobacter ferrireducens	0	0	0	1	0	0	0	0	0	0
Gilvibacter sp. SZ-19	0	0	0	0	1	0	0	0	0	0
Glycine max	0	0	0	0	0	0	0	0	0	1
Glycine soja	0	0	0	0	0	0	0	1	0	0
Gordonia sp. HY186	0	0	0	1	0	0	0	0	0	0
Gottschalkia acidurici	0	0	0	0	0	0	0	0	1	0
Gramella flava	0	0	0	0	1	0	0	0	0	0
Gramella forsetii	0	1	0	0	0	0	0	0	0	0
Hafnia alvei	0	0	0	0	0	0	1	0	0	0
Halanaerobium hydrogeniformans	0	0	0	0	0	0	0	1	0	0
Haloactinobacterium sp. HY164	0	0	0	0	0	1	0	0	0	0
Haloactinobacterium sp. RN3S43	0	0	0	0	0	0	0	0	1	0
Halobacillus litoralis	0	1	0	0	0	0	0	0	0	0
Halobacillus mangrovi	0	0	0	1	0	0	0	0	0	0
Halobacteriovorax marinus	0	0	1	0	0	0	0	0	0	0
Halomonas sp. GT	0	0	0	0	0	0	0	0	1	0
Helicobacter pylori	0	0	1	0	0	0	0	0	0	0
Herbaspirillum rubrisubalbicans	0	0	0	0	0	0	0	1	0	0
Herbinix luporum	0	0	1	0	0	0	0	0	0	0
Herminiimonas arsenicoxydans	0	1	0	0	0	0	0	0	0	0
Human betaherpesvirus 7	0	0	0	0	0	0	0	1	0	0
Hungateiclostridium clariflavum	0	0	1	0	0	0	0	0	0	0
Hydrogenophaga sp. PBC	0	0	0	0	0	1	0	0	0	0
Idiomarina piscisalsi	0	0	0	0	0	0	0	1	0	0
Idiomarina sp. OT37-5b	0	0	1	0	0	0	0	0	0	0
