Genus	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Halobacteriovorax	0	0	0	0	1	0	0	0	0	0	0	0
Helicobacter	0	0	0	0	1	0	0	0	0	0	0	0
Heliobacterium	0	1	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	0	0	0	0	0	0	0	0	0	1	0	0
Herbinix	0	0	0	0	1	0	0	0	0	0	0	0
Herminiimonas	0	0	0	1	0	0	0	0	0	0	0	0
Hungateiclostridium	0	0	0	0	1	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	1	0	0	0	0
Hyphomicrobium	0	1	0	0	0	0	0	0	0	0	0	0
Ilyobacter	0	0	0	0	0	0	0	0	0	1	0	0
Inhella	0	0	0	0	0	0	0	1	0	0	0	0
Intrasporangium	0	1	0	0	0	0	0	0	0	0	0	0
Ipomoea	0	0	0	0	0	0	0	1	0	0	0	0
Isoptericola	0	0	0	0	0	0	0	1	0	0	0	0
Janibacter	0	0	0	0	0	0	0	0	0	0	1	0
Jatrophihabitans	0	0	0	0	0	0	0	0	0	0	0	1
Jeotgalicoccus	0	0	0	0	1	0	0	0	0	0	0	0
Kangiella	0	0	0	0	0	0	0	0	0	0	1	0
Kinneretia	0	0	1	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	1	0	0
Kordia	1	0	0	0	0	0	0	0	0	0	0	0
Labrys	0	1	0	0	0	0	0	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	1	0	0	0
Lactiplantibacillus	0	0	0	0	0	0	0	0	0	1	0	0
Lelliottia	0	0	0	0	1	0	0	0	0	0	0	0
Leptospira	0	0	0	0	0	1	0	0	0	0	0	0
Lichenihabitans	0	0	0	0	0	0	0	0	0	1	0	0
Limnobaculum	0	0	0	0	0	0	0	0	0	0	0	1
Luteimicrobium	0	1	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	0	0	0	0	0	0	0	0	1	0	0
Magnetospirillum	0	1	0	0	0	0	0	0	0	0	0	0
Maribius	0	0	0	0	0	1	0	0	0	0	0	0
Marinobacter	0	0	0	0	0	0	0	0	0	0	0	1
Marinobacterium	0	0	0	0	0	0	0	0	0	0	0	1
Marinomonas	0	0	0	1	0	0	0	0	0	0	0	0
Megamonas	0	0	0	0	0	0	1	0	0	0	0	0
Melaminivora	0	0	0	0	0	0	1	0	0	0	0	0
Melioribacter	0	0	0	0	1	0	0	0	0	0	0	0
Melissococcus	0	0	0	0	0	1	0	0	0	0	0	0
Mesoplasma	0	0	0	0	0	0	0	0	0	0	0	1
Methanobrevibacter	0	0	0	1	0	0	0	0	0	0	0	0
Methanofervidicoccus	0	0	0	0	0	0	0	0	0	0	0	1
Methylomonas	0	0	0	0	1	0	0	0	0	0	0	0
Methylorubrum	0	1	0	0	0	0	0	0	0	0	0	0
Methylovulum	0	0	0	0	0	0	0	0	0	1	0	0
Microbulbifer	0	0	0	0	0	0	0	0	0	0	0	1
Microterricola	0	0	0	0	0	0	0	0	0	0	1	0
Monoglobus	0	0	0	1	0	0	0	0	0	0	0	0
Morganella	0	0	0	0	1	0	0	0	0	0	0	0
Muriicola	0	0	0	0	0	0	0	1	0	0	0	0
Mycetocola	0	0	0	0	0	0	1	0	0	0	0	0
Myroides	0	0	0	0	0	0	0	0	0	0	1	0
Nakamurella	0	0	0	0	0	0	0	0	0	0	0	1
Nautilia	0	0	0	0	0	0	0	0	0	1	0	0
Nitrosococcus	0	0	0	0	1	0	0	0	0	0	0	0
Nitrospirillum	0	0	1	0	0	0	0	0	0	0	0	0
Nostoc	0	1	0	0	0	0	0	0	0	0	0	0
Obesumbacterium	0	0	0	0	1	0	0	0	0	0	0	0
Oceanimonas	0	0	0	0	0	0	0	1	0	0	0	0
Oceanispirochaeta	0	0	0	0	1	0	0	0	0	0	0	0
Oceanobacillus	0	0	0	0	0	0	0	0	0	1	0	0
Ochrobactrum	0	0	0	0	0	0	0	1	0	0	0	0
Owenweeksia	0	0	0	0	1	0	0	0	0	0	0	0
Paenisporosarcina	0	0	0	0	1	0	0	0	0	0	0	0
Panacibacter	0	0	0	0	0	0	0	0	0	0	1	0
Paraclostridium	1	0	0	0	0	0	0	0	0	0	0	0
Paraliobacillus	1	0	0	0	0	0	0	0	0	0	0	0
Parasphingopyxis	0	0	0	1	0	0	0	0	0	0	0	0
Pedobacter	0	0	0	0	0	1	0	0	0	0	0	0
Pelagibaca	0	1	0	0	0	0	0	0	0	0	0	0
Pelodictyon	0	0	0	1	0	0	0	0	0	0	0	0
Peptoniphilus	0	0	1	0	0	0	0	0	0	0	0	0
Phenylobacterium	0	0	1	0	0	0	0	0	0	0	0	0
Pirellula	0	0	1	0	0	0	0	0	0	0	0	0
Pontibacillus	0	0	0	0	0	1	0	0	0	0	0	0
Pontibacter	0	0	0	0	0	0	0	0	0	0	1	0
Pseudescherichia	0	0	0	0	0	0	0	0	0	1	0	0
Pseudobutyrivibrio	0	0	0	1	0	0	0	0	0	0	0	0
Pseudohongiella	0	0	0	1	0	0	0	0	0	0	0	0
Pseudonocardia	0	0	0	0	0	0	1	0	0	0	0	0
Pseudopuniceibacterium	0	0	0	0	0	0	0	0	0	0	0	1
Pseudoxanthomonas	0	1	0	0	0	0	0	0	0	0	0	0
Punica	0	0	0	0	0	0	0	0	0	1	0	0
Pyrococcus	0	0	0	0	1	0	0	0	0	0	0	0
Qipengyuania	0	1	0	0	0	0	0	0	0	0	0	0
Rahnella	0	0	1	0	0	0	0	0	0	0	0	0
Ramlibacter	0	1	0	0	0	0	0	0	0	0	0	0
Rhizobium	0	0	0	0	0	0	0	0	0	0	1	0
Rhodobacter	0	1	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	1
Rhodothermus	0	0	0	0	1	0	0	0	0	0	0	0
Rickettsia	1	0	0	0	0	0	0	0	0	0	0	0
Rivularia	0	0	1	0	0	0	0	0	0	0	0	0
Romboutsia	1	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	1	0
Roseimicrobium	0	0	0	0	0	0	0	0	0	0	0	1
Roseococcus	0	0	0	0	0	0	0	0	0	0	1	0
Roseolovirus	0	0	0	0	0	0	0	0	0	1	0	0
Rubrobacter	0	0	0	0	0	0	0	1	0	0	0	0
Salinibacterium	0	0	0	0	0	0	0	0	0	0	1	0
Salinimonas	0	0	0	0	0	0	1	0	0	0	0	0
Salipiger	0	0	0	1	0	0	0	0	0	0	0	0
Sandaracinobacter	0	1	0	0	0	0	0	0	0	0	0	0
Sanguibacter	0	0	0	0	0	0	0	0	0	0	1	0
Scandinavium	0	0	0	0	0	0	0	0	0	0	0	1
Scardovia	1	0	0	0	0	0	0	0	0	0	0	0
Schlegelella	0	1	0	0	0	0	0	0	0	0	0	0
Sebaldella	0	0	0	0	0	0	0	0	0	1	0	0
Siansivirga	0	0	0	1	0	0	0	0	0	0	0	0
Simplicispira	0	0	0	0	1	0	0	0	0	0	0	0
Sneathia	0	0	0	0	0	1	0	0	0	0	0	0
Snodgrassella	0	0	0	1	0	0	0	0	0	0	0	0
Sodalis	0	0	0	1	0	0	0	0	0	0	0	0
Solimonas	0	0	0	0	0	0	0	0	0	0	0	1
Sorghum	1	0	0	0	0	0	0	0	0	0	0	0
Sphaerobacter	0	0	0	0	0	0	0	0	0	0	0	1
Sphaerochaeta	0	0	0	0	0	0	0	0	0	0	0	1
Sphaerotilus	0	0	0	0	0	0	0	0	0	1	0	0
Spirochaeta	0	1	0	0	0	0	0	0	0	0	0	0
Stanieria	0	0	0	1	0	0	0	0	0	0	0	0
Steroidobacter	0	1	0	0	0	0	0	0	0	0	0	0
Stigmatella	0	0	0	0	0	0	1	0	0	0	0	0
Sulfitobacter	0	0	0	1	0	0	0	0	0	0	0	0
Sulfuriferula	0	0	0	0	0	1	0	0	0	0	0	0
Sulfurivermis	0	0	1	0	0	0	0	0	0	0	0	0
Tabrizicola	0	1	0	0	0	0	0	0	0	0	0	0
Tardibacter	0	1	0	0	0	0	0	0	0	0	0	0
Tatumella	0	0	0	0	1	0	0	0	0	0	0	0
Tepidanaerobacter	0	0	0	0	0	0	0	0	0	0	1	0
Thermacetogenium	0	0	0	0	1	0	0	0	0	0	0	0
Thermoactinomyces	0	0	0	0	0	1	0	0	0	0	0	0
Thermoanaerobacter	1	0	0	0	0	0	0	0	0	0	0	0
Thermoanaerobacterium	1	0	0	0	0	0	0	0	0	0	0	0
Thermobifida	0	0	0	0	0	0	0	0	0	0	1	0
Thermococcus	0	0	0	0	1	0	0	0	0	0	0	0
Thermomicrobium	0	0	0	0	0	0	0	1	0	0	0	0
Thermomonas	0	0	0	0	0	0	0	1	0	0	0	0
Thermosipho	0	0	0	0	1	0	0	0	0	0	0	0
Ureibacillus	0	0	0	0	0	0	0	0	0	0	0	1
Viridibacillus	0	0	0	0	0	0	0	0	0	0	0	1
Vitreoscilla	0	0	0	0	0	0	1	0	0	0	0	0
Wphvirus	1	0	0	0	0	0	0	0	0	0	0	0
Zea	0	0	1	0	0	0	0	0	0	0	0	0
Zobellella	0	0	0	0	0	0	0	0	0	0	0	1
Zunongwangia	0	0	0	0	0	0	1	0	0	0	0	0
Zymobacter	0	0	1	0	0	0	0	0	0	0	0	0
