Taxonomy	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp._E263	1	0	2	0	0	0	0	2	4	0	0	0	0	2	0	1	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp._GHH01	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp._JS12	0	0	1	0	1	1	1	2	0	0	0	0	1	0	0	0	1	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus	6	122	27	10	4	12	6	25	33	59	5	9	5	11	0	31	14	7
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_subterraneus	0	17	8	1	6	8	7	7	6	26	12	5	4	5	3	16	4	11
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_thermocatenulatus	1	0	2	8	0	4	0	1	2	0	7	0	3	0	0	9	2	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_thermodenitrificans	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_thermoleovorans	0	3	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_zalihae	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gottfriedia|s__Gottfriedia_acidiceleris	2	0	97	33	5	11	45	44	8	3	6	2	17	22	23	10	2	67
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gracilibacillus|s__Gracilibacillus_salitolerans	0	8	16	26	19	9	7	0	6	0	3	19	30	22	13	15	5	7
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gracilibacillus|s__Gracilibacillus_sp._SSPM10-3	0	1	16	10	3	47	17	0	0	0	2	56	5	25	51	18	10	11
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gracilibacillus|s__Gracilibacillus_sp._SSWR10-1	4	3	5	9	0	6	1	0	0	0	1	10	7	42	1	3	5	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halalkalibacterium_(ex_Joshi_et_al._2022)|s__Halalkalibacterium_halodurans	0	4	6	4	8	13	12	1	1	0	2	3	10	8	13	14	0	12
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halalkalibacter|s__Halalkalibacter_krulwichiae	5	2	4	8	2	10	9	1	2	0	0	13	21	18	21	30	3	48
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_halophilus	2	17	12	10	24	11	16	2	1	0	1	8	19	16	8	9	3	12
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_litoralis	16	13	21	44	17	47	28	1	7	2	3	2	18	95	2	32	0	23
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_mangrovi	8	8	20	25	2	40	14	3	2	9	2	6	6	17	0	8	6	7
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_naozhouensis	2	8	20	36	4	3	15	0	0	0	8	27	11	30	46	18	15	37
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_sp._ACCC02827	0	2	1	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_sp._SSBR10-3	0	12	8	9	1	5	6	0	2	2	2	11	6	8	10	3	1	12
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_sp._SSHM10-5	4	0	9	18	17	34	21	0	0	1	0	0	15	45	12	74	35	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_sp._SSTM10-2	1	0	2	18	5	8	12	0	0	1	1	6	8	8	5	3	6	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_coagulans	10	15	53	29	20	60	110	3	21	36	11	40	15	94	23	33	29	34
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_oleronia	5	34	54	35	68	11	52	72	12	10	2	121	16	57	21	19	7	7
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_vini	4	4	40	19	157	33	26	0	3	0	2	4	38	5	2	9	0	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_lenta	0	37	13	12	5	11	22	0	11	1	0	7	6	38	3	20	8	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus|s__Lentibacillus_amyloliquefaciens	2	9	44	3	3	13	11	3	23	6	13	0	2	21	1	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus|s__Lentibacillus_daqui	11	17	19	1	3	3	9	0	1	3	12	90	26	38	12	22	1	10
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus|s__Lentibacillus_sp._CBA3610	1	2	39	12	4	1	17	1	9	6	1	0	10	7	0	13	3	5
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_agricola	5	12	6	3	8	17	9	0	0	8	0	0	3	14	14	22	2	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_capsici	0	0	2	1	0	0	2	0	0	2	0	0	0	3	0	0	1	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_fusiformis	1	18	15	36	18	7	22	1	0	0	0	6	15	13	1	17	1	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_pakistanensis	2	2	5	8	8	13	19	0	1	0	1	6	4	30	1	19	3	9
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_parviboronicapiens	2	4	11	16	5	5	29	0	0	28	0	9	24	25	0	21	2	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._1_U-2021	0	2	1	1	0	4	2	2	0	0	0	0	0	9	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._2017	2	2	10	19	3	11	29	0	0	0	1	1	27	42	2	2	1	53
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._ACHW1.5	0	3	4	4	2	8	12	0	0	0	0	0	4	32	0	13	0	10
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._Ag94	1	1	17	40	20	2	27	0	4	0	4	4	2	9	0	39	23	5
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._CD3-6	0	3	11	15	12	2	10	1	0	1	0	13	13	9	27	0	3	21
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._G01H	2	0	0	0	12	11	3	0	9	0	0	2	3	0	0	0	4	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._GJ-1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._IRB4-01	0	4	10	3	19	4	17	2	0	0	3	4	3	18	0	5	2	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._JK80	0	1	0	1	2	1	0	0	0	0	0	2	0	1	0	4	2	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._OF-1	2	2	14	1	3	4	3	0	0	9	0	7	12	0	7	17	5	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._PLM2	3	10	13	41	13	28	38	2	1	0	0	19	4	61	22	19	22	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._SGAir0095	1	1	11	3	1	13	8	0	1	0	0	8	8	18	2	9	4	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sp._YS11	0	0	0	0	0	2	0	79	16	0	0	0	0	0	0	0	3	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sphaericus	3	9	33	15	19	20	36	2	5	1	1	42	42	125	126	14	100	28
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_timonensis	0	5	6	7	7	13	11	24	5	0	0	4	6	5	3	6	3	6
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_varians	0	0	5	0	0	0	0	0	0	0	0	0	6	1	0	4	1	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mangrovibacillus|s__Mangrovibacillus_cuniculi	0	2	7	6	10	13	39	1	0	0	0	14	25	40	21	11	13	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus|s__Mesobacillus_foraminis	5	10	60	15	135	26	29	7	11	1	4	9	13	18	1	5	18	10
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus|s__Mesobacillus_jeotgali	0	15	120	39	43	108	69	85	23	3	112	60	48	145	182	89	59	64
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus|s__Mesobacillus_sp._AQ2	2	40	25	17	28	33	27	6	25	6	8	9	15	11	27	3	19	10
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus|s__Mesobacillus_sp._S13	3	18	19	8	3	7	7	1	27	17	16	0	14	16	0	3	11	18
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus|s__Mesobacillus_subterraneus	0	8	15	41	38	14	55	4	0	7	1	25	153	64	145	161	203	37
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_dongyingensis	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_endolithicus	11	2	7	11	14	14	19	0	0	0	0	0	10	6	0	1	2	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_litoralis	16	8	18	14	27	41	33	2	0	0	1	4	55	128	3	23	1	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_sediminilitoris	0	1	11	31	27	23	47	5	2	1	1	1	7	15	1	6	16	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_sp._B2-18	0	0	43	38	3	0	6	0	0	1	0	5	9	15	9	49	12	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_sp._CT-WN-B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_sp._KUDC1714	109	0	39	69	26	35	59	0	5	1	0	5	11	43	1	106	27	19
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus|s__Metabacillus_sp._cB07	0	8	5	14	13	41	10	0	0	0	14	2	14	14	2	22	5	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_cucumis	8	11	43	21	18	17	28	2	1	3	20	49	10	89	31	25	48	13
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_drentensis	0	6	17	40	6	18	7	3	1	35	25	9	17	32	2	26	15	13
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_mesonae	4	23	17	19	17	48	12	1	14	6	8	21	13	32	43	18	14	11
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_novalis	4	5	29	17	8	6	7	1	3	3	6	3	5	5	1	17	1	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._114	3	22	24	18	13	11	29	4	6	33	1	7	4	12	0	10	2	16
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._DY30	2	6	23	25	16	31	33	0	0	6	2	25	14	8	2	6	16	9
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._Marseille-Q6967	30	8	21	2	42	19	42	75	13	25	7	9	4	19	5	6	6	22
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._OS1-2	5	3	34	85	29	4	52	0	2	26	3	0	15	14	6	8	1	15
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._OS1-32	2	9	16	38	28	9	41	3	28	12	17	2	20	9	8	5	7	18
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._OS1-33	2	1	22	10	33	25	45	1	2	13	3	88	192	80	165	14	23	10
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._PS2-9	8	10	12	8	48	54	61	0	31	0	2	3	24	71	1	37	3	71
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._PS3-12	17	5	25	16	31	32	28	0	2	3	3	1	118	49	289	121	41	11
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._PS3-34	0	2	24	6	29	10	66	1	57	0	1	6	9	12	6	11	4	8
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._PS3-40	5	2	23	10	11	13	12	0	0	1	1	3	13	6	9	7	3	47
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._SuZ13	3	4	17	25	13	5	14	0	0	10	0	1	70	25	1	8	1	15
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._WH10	0	8	12	9	4	8	16	0	2	4	1	15	11	31	21	13	7	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sp._YX16	1	25	23	16	10	26	58	0	1	1	2	32	53	38	35	11	17	26
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_circulans	12	18	57	26	186	25	63	1	2	0	4	37	32	32	0	41	19	73
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_sp._Man26	5	3	13	17	17	9	22	40	5	1	6	5	61	32	69	30	25	8
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_sp._RD1	0	12	52	40	55	43	16	0	1	0	0	6	21	93	4	10	7	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_iheyensis	0	0	41	29	3	38	10	0	2	0	0	10	14	10	7	21	21	9
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_jeddahense	14	8	22	8	5	74	39	2	5	6	14	13	43	36	54	26	13	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_kimchii	0	5	10	11	7	6	2	0	0	1	0	0	45	16	25	31	4	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_oncorhynchi	2	2	23	26	10	23	23	0	7	2	0	67	36	16	24	22	38	36
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_zhaokaii	2	1	26	12	12	24	40	0	0	1	1	29	10	55	4	20	2	36
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Paenalkalicoccus|s__Paenalkalicoccus_suaedae	0	17	1	6	1	2	5	2	0	1	1	0	2	20	0	4	16	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_caldoxylosilyticus	5	4	25	37	57	21	24	0	7	6	2	31	8	40	59	12	12	9
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_genomosp._1	1	10	8	7	2	3	0	2	4	1	0	3	0	11	0	3	2	6
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_sp._KH3-4	9	2	5	2	0	3	0	0	0	1	2	0	0	13	11	3	5	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_thermoglucosidasius	23	14	17	20	16	14	22	1	10	43	10	22	21	16	13	19	20	13
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_toebii	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Paraliobacillus|s__Paraliobacillus_zengyii	3	9	14	10	15	1	34	0	0	2	0	6	14	47	27	22	12	22
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_asahii	5	9	33	32	54	40	25	1	3	2	2	43	26	167	11	19	104	6
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_butanolivorans	4	1	8	2	8	3	0	1	0	0	3	10	8	9	3	15	4	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_frigoritolerans	4	7	23	34	122	45	15	0	5	1	2	3	27	23	23	17	21	28
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_muralis	3	18	10	42	35	5	24	1	4	46	1	21	2	13	36	8	6	5
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_psychrosaccharolyticus	12	1	31	7	10	13	9	0	1	1	0	21	3	29	24	33	11	11
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_simplex	13	11	19	24	3	44	6	0	4	1	0	2	25	7	3	8	6	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_sp._R9-11	0	2	1	0	2	1	0	0	3	1	0	0	9	5	0	1	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pontibacillus|s__Pontibacillus_chungwhensis	0	9	1	5	16	59	50	6	5	15	1	2	23	16	1	24	3	12
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pontibacillus|s__Pontibacillus_sp._ALD_SL1	0	1	13	0	6	6	7	0	4	1	0	5	3	15	1	2	4	7
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pontibacillus|s__Pontibacillus_sp._HMF3514	4	2	44	5	10	26	17	2	3	0	0	7	17	26	11	11	7	29
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pradoshia|s__Pradoshia_sp._D12	2	5	27	33	17	12	30	1	16	6	1	106	22	125	130	51	18	22
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_aryabhattai	0	2	1	2	4	1	7	1	4	0	0	6	5	11	1	18	5	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_endophytica	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_filamentosa	13	71	19	45	34	64	47	68	62	1	1	24	38	43	27	47	52	17
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_flexa	6	8	27	16	11	20	15	1	0	5	1	22	4	38	61	10	3	8
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_koreensis	0	2	8	22	16	8	31	0	0	0	0	9	41	26	4	2	11	16
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_megaterium	5	13	71	56	94	65	190	33	6	10	8	31	171	46	98	56	47	165
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_sp._J2	0	0	1	2	10	0	10	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pseudalkalibacillus|s__Pseudalkalibacillus_hwajinpoensis	1	3	13	5	14	12	19	2	1	4	0	0	0	48	4	2	1	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus|s__Psychrobacillus_glaciei	2	3	30	18	0	16	11	4	3	2	2	3	6	18	3	31	21	55
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus|s__Psychrobacillus_sp._AK_1817	0	0	4	4	4	1	0	0	7	0	0	0	0	0	1	2	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus|s__Psychrobacillus_sp._INOP01	2	15	21	41	10	20	6	1	3	1	7	4	0	20	8	6	2	33
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Radiobacillus|s__Radiobacillus_deserti	0	5	4	1	3	44	27	3	1	0	6	3	2	13	0	2	13	6
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Radiobacillus|s__Radiobacillus_kanasensis	5	4	10	7	11	5	26	48	3	0	1	0	8	25	0	10	39	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea|s__Rossellomorea_marisflavi	2	39	74	85	120	146	154	72	29	8	50	25	90	110	81	43	37	45
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea|s__Rossellomorea_sp._DA94	0	1	2	8	3	1	10	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea|s__Rossellomorea_sp._KS-H15a	0	0	0	2	0	6	1	0	0	0	0	0	54	1	0	0	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea|s__Rossellomorea_vietnamensis	18	5	35	10	5	8	21	0	4	1	2	20	19	20	5	19	23	2
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salicibibacter|s__Salicibibacter_cibarius	1	7	11	3	2	5	13	3	1	0	15	13	6	12	3	15	6	0
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salicibibacter|s__Salicibibacter_cibi	2	4	2	0	3	0	4	4	1	0	2	27	70	104	91	30	5	5
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salicibibacter|s__Salicibibacter_halophilus	0	8	1	17	6	6	9	3	7	0	1	1	3	6	0	20	11	4
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salicibibacter|s__Salicibibacter_kimchii	2	13	4	0	7	3	0	0	1	24	0	0	1	19	0	9	0	1
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salimicrobium|s__Salimicrobium_jeotgali	1	26	11	6	11	22	22	8	14	10	37	34	8	34	18	36	35	9
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salipaludibacillus|s__Salipaludibacillus_sp._LMS25	5	6	3	9	1	14	8	2	0	0	0	17	2	24	25	15	4	3
k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salisediminibacterium|s__Salisediminibacterium_beveridgei	2	7	12	10	11	7	13	4	6	0	4	0	27	22	2	1	4	18
