# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	0	0	0	0	0	0	0	0	8.4164213404	0	0
PWY-2941: L-lysine biosynthesis II	0	0	0	0	0	0	0	0	11.8961955669	10.7193698816	9.4120067330	0
PWY-2942: L-lysine biosynthesis III	0	0	0	6.5521608555	7.9580902784	16.2975636873	0	0	11.9432108157	17.4161628881	15.0656876873	0
PWY-2942: L-lysine biosynthesis III|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	6.5899726396	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	10.0708546498	0
PWY-2942: L-lysine biosynthesis III|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	1.1717666290	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	12.5736011751	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I	0	0	0	12.8394233399	0	0	0	0	10.7396630000	0	16.9050775423	0
PWY-3841: folate transformations II (plants)	0	0	0	8.9154625774	0	21.3637444801	0	0	12.2927538106	22.1757780611	19.5751611461	0
PWY-3841: folate transformations II (plants)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	6.6500506838	0	0
PWY-3841: folate transformations II (plants)|g__Neisseria.s__Neisseria_flavescens	0	0	0	1.0327853213	0	0	0	0	0	1.2291295579	0	0
PWY-3841: folate transformations II (plants)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	3.9975734736	0	0
PWY-3841: folate transformations II (plants)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.6993572861	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	5.0831392473	0
PWY-4041: &gamma;-glutamyl cycle	0	0	0	0	7.2263227435	0	0	0	7.1793246243	0	12.1631874832	0
PWY-4041: &gamma;-glutamyl cycle|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	5.7154521331	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	11.7779612295	0
PWY-4041: &gamma;-glutamyl cycle|unclassified	0	0	0	0	0	0	0	0	5.3386609252	0	0	0
PWY-5030: L-histidine degradation III	0	0	0	0	0	8.4955258724	0	0	0	0	0	0
PWY-5030: L-histidine degradation III|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	8.2867759554	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	0	0	0	0	0	0	0	0	11.9359568931	12.7819829123	15.7687173477	0
PWY-5097: L-lysine biosynthesis VI|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	10.1980812456	0
PWY-5097: L-lysine biosynthesis VI|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	1.2906105294	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II	11.7173524444	0	0	0	9.4453145646	0	5.6576114288	0	11.7279326006	12.2307767746	16.4804523963	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	7.1460322647	0
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	0	0	0	0	0	0	0	0	0	4.6935150997	0	0
PWY-5103: L-isoleucine biosynthesis III	9.2057933827	0	0	21.3581312804	19.5203233437	5.7222037376	7.1965962761	0	9.3114091379	25.1420290172	25.9319462080	5.1430988191
PWY-5103: L-isoleucine biosynthesis III|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	8.0693492946	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Fusobacterium.s__Fusobacterium_nucleatum	8.9239425722	0	0	0	9.2023279207	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	3.8255930925	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.4890377897	0
PWY-5103: L-isoleucine biosynthesis III|g__Neisseria.s__Neisseria_flavescens	0	0	0	0.6636706409	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	5.4799525071	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0	0	0	0	0	0	0	0	0	8.0525243322	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	9.1415676080	0	0	9.6891447549	12.2440114710	0	0	0	5.9047438626	19.6034131586	16.0544341699	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	7.4712564163	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.8422506228	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Neisseria.s__Neisseria_flavescens	0	0	0	3.2634697111	0	0	0	0	0	1.7585320174	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Neisseria.s__Neisseria_meningitidis	0	0	0	1.6301416857	0	0	0	0	0	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Neisseria.s__Neisseria_subflava	0	0	0	0.8042104198	0	0	0	0	0	1.9167186706	0	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	0	0	10.0955712867	0	0	0	0	0	8.0516129426	0	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Neisseria.s__Neisseria_flavescens	0	0	0	3.0411705235	0	0	0	0	0	0	0	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Neisseria.s__Neisseria_meningitidis	0	0	0	1.3639511036	0	0	0	0	0	0	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	0	0	0	0	0	0	0	0	13.1043067862	0	0
PWY-5367: petroselinate biosynthesis	0	0	0	0	0	0	0	0	10.8990895478	0	0	0
PWY-5367: petroselinate biosynthesis|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	7.4887316399	0	0	0
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	0	0	0	8.3382535674	0	0	0	9.1872730824	10.3758958374	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0	0	0	9.6348709458	10.7058443797	9.6914259360	0	0	10.5058332313	11.8266364128	8.8210011764	0
PWY-5659: GDP-mannose biosynthesis	0	0	0	0	9.7778935824	0	0	0	0	0	13.2170478436	0
PWY-5659: GDP-mannose biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	0	0	0	0	6.4720461024	0	0	0	0	0	0	0
PWY-5659: GDP-mannose biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	3.4092898292	0
PWY-5667: CDP-diacylglycerol biosynthesis I	9.3908478294	0	0	7.7442650292	12.7081168517	11.2484943510	0	0	17.5214030461	30.4664787720	20.3284846207	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	11.1597737634	0	0	0	0	0	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	12.1939586762	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	15.7887904743	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0.7097232079	0	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0	0	0	0	0	1.1581979738	0	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	2.8343142428	3.1607906750	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	9.2100527196	0	0	0	0	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	5.8039597055	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I	10.1896173159	0	0	15.1117540253	9.2470489394	14.0080689190	4.8520975207	0	16.6412026546	22.5692926088	13.9314199029	5.3379654887
PWY-5686: UMP biosynthesis I|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.8168109848	0	0	0	0	2.3114192212	0	0	0
PWY-5686: UMP biosynthesis I|g__Neisseria.s__Neisseria_subflava	0	0	0	4.4236418042	0	0	0	0	5.2970013798	0	0	0
PWY-5686: UMP biosynthesis I|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	6.4812805646	0
PWY-5695: inosine 5'-phosphate degradation	0	0	0	12.1217488486	10.1293613566	10.7097304729	0	0	15.6538219138	28.1849025250	11.5034319159	7.2669249166
PWY-5695: inosine 5'-phosphate degradation|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	4.2751772059	0	0
PWY-5695: inosine 5'-phosphate degradation|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	5.0753185087	0	0
PWY-5695: inosine 5'-phosphate degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	7.0300130053
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0	0	0	0	0	0	0	0	0	0	10.7098772416	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	0	0	8.3902395538	0	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	0	0	0	0	0	0	0	0	14.1869240798	0
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	0	0	0	0	0	0	0	0	14.1869240798	0
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	0	0	0	0	0	0	0	0	14.1869240798	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0	0	0	8.1092888360	0	0	0	0	13.2015659117	24.1418203705	9.2395095716	0
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	8.2599212551	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	1.7132815817	1.0559502509	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0	0	0	0	0	0.6476668929	0	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	5.3435436524	6.6019109566	0	0
PWY-5918: superpathway of heme b biosynthesis from glutamate	0	0	0	9.0989568440	0	0	0	0	0	12.1957221438	0	0
PWY-5918: superpathway of heme b biosynthesis from glutamate|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.6910539576	0	0	0	0	0	0	0	0
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	0	0	0	0	0	0	0	8.7519478358	0	0
PWY-5941: glycogen degradation II	0	0	0	11.5264104563	11.2136535769	0	9.4361730862	0	17.1496910113	19.8807368354	19.0798787714	0
PWY-5941: glycogen degradation II|g__Neisseria.s__Neisseria_flavescens	0	0	0	1.6361687041	0	0	0	0	3.9269112671	0	0	0
PWY-5941: glycogen degradation II|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0.7979272237	0	0	0	0	1.3424319493	0	0	0
PWY-5941: glycogen degradation II|g__Neisseria.s__Neisseria_subflava	0	0	0	3.1859162985	0	0	0	0	2.1129907226	0	0	0
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	2.1117437115	0	0	0
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	1.6920879551	0	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	0	0	0	0	0	0	11.5622745338	0	0	0
PWY-5973: cis-vaccenate biosynthesis	0	0	0	15.1255159739	17.3638787517	18.1631143998	5.5124851759	0	12.8326584763	9.8544106137	5.9997071198	0
PWY-5973: cis-vaccenate biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	0	0	1.6144862383	0	0	0	0	0	4.6007027583	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.8793599859	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	5.3357853586	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	5.4600054600	0	0	0	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III	7.7809282154	0	0	0	9.9513220807	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	0	0	0	0	17.7803034996	0	0	0	8.9768751283	10.8685528202	7.9023206002	4.8240885372
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	11.9884316353	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	1.6078183160	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	12.2974724367	0	0	11.0024315614	14.6247890470	7.4439215785	4.5876265155	0	10.4446854654	21.0210646046	21.2246812148	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.0901286253	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	8.9360439560	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	2.2573147375	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	3.2503397887	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	9.2609377848	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	11.8154338798	0	0	11.2837634886	13.8505459211	8.3707289673	4.6342193891	0	9.2353093240	20.3488657696	21.8674642580	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	7.0212661941	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Fusobacterium.s__Fusobacterium_nucleatum	7.7862548499	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.2871974310	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.6982698666	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Neisseria.s__Neisseria_subflava	0	0	0	5.4037209555	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	10.1980947345	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	2.0867288673	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	2.7632508453	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	1.7619212396	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0	0	0	0	0	0	0	0	0	9.9286176755	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I	7.1771533836	0	0	5.8006666785	8.5558582829	9.5396952159	0	0	19.0136231596	17.9870281409	23.7778050915	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	2.4075133100	2.7391009735	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	3.6475179326	1.5238493007	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	7.7202373871	0
PWY-6124: inosine-5'-phosphate biosynthesis II	6.7078824596	0	0	6.3673219398	7.7665450156	8.7785309216	0	0	17.8026836282	16.5259527649	23.3835873179	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	6.9664355527	0	0	0	0	0	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	6.8452326899	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	2.4719844838	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	1.8045782165	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0	0	0	9.0355510859	0	13.3506668681	0	0	9.8553687282	23.6803234666	16.3712335648	6.0552645374
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Veillonella.s__Veillonella_rogosae	0	0	0	0	0	0	0	0	0	0	3.7322698044	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0	7.7155271029	0	12.1610609538	0	16.9133707286	0	0	14.4073707038	29.1085123144	24.8659087455	7.7303354458
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Neisseria.s__Neisseria_subflava	0	0	0	5.0209489493	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	0	0	0	0	0	0	0	0	0	0	0	5.3577049161
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0	0	0	16.5529259733	9.1119604965	5.0998889246	0	0	0	9.3258357094	0	0
PWY-6151: S-adenosyl-L-methionine salvage I	6.7754873015	0	0	14.1133126014	19.3398569624	11.4860014358	0	0	15.9327065093	25.4269883232	30.8240366989	4.7708417130
PWY-6151: S-adenosyl-L-methionine salvage I|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	9.6981452297	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	9.0542596013	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	12.4605802607	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Neisseria.s__Neisseria_flavescens	0	0	0	3.7711371144	0	0	0	0	3.7492975073	3.9810604706	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0	0	0	0	0	0	0.3756382893	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Neisseria.s__Neisseria_subflava	0	0	0	2.6454386084	0	0	0	0	2.5821889477	2.6438093258	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	11.4860014358	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	8.9230387904	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	1.3213095491	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	1.7382491223	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|unclassified	0	0	0	0	5.4392700751	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	10.8132020540	0	0	0	6.4854827764	8.3245801134	0	0	14.9598546066	20.7262219968	15.0516302224	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.3035022327	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	6.4769628573	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	0	0	0	0	0	0	0	0	0	6.4264662442	0	0
PWY-621: sucrose degradation III (sucrose invertase)	0	0	0	0	0	8.1585630693	0	0	0	9.5872878254	4.6133095659	5.6035510108
PWY-621: sucrose degradation III (sucrose invertase)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	5.6816836723	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	11.8154338798	0	0	11.2837634886	13.8505459211	8.3707289673	4.6342193891	0	9.2353093240	20.3488657696	21.8674642580	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	7.0212661941	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	7.7862548499	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.2871974310	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.6982698666	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Neisseria.s__Neisseria_subflava	0	0	0	5.4037209555	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	10.1980947345	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	2.0867288673	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	2.7632508453	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	1.7619212396	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	9.9286176755	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0	0	0	12.8137490269	18.7370794824	0	5.2287450728	0	11.0370574668	11.1558221244	7.7373992279	8.0860486077
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	11.8762098009	0	0	0	0	0	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Neisseria.s__Neisseria_flavescens	0	0	0	1.7551214536	0	0	0	0	0	2.2441379530	0	0
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	0	0	0	0	0	0	10.4368719224	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	7.2126799631	0	0	0	7.0108874959	0	0	0	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	9.3616043394	0	0	5.9612298877	13.8380678721	0	0	0	0	6.9953211513	15.4887549408	0
PWY-6317: D-galactose degradation I (Leloir pathway)|g__Fusobacterium.s__Fusobacterium_nucleatum	8.1570737117	0	0	0	0	0	0	0	0	0	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	9.2105570431	0	0	11.0199939472	13.9317446401	16.0189325295	0	0	15.9072880704	17.7139638994	19.0219487545	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	1.6442598287	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	12.8215220159	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	11.5522671003	0	0	12.2834450468	13.7156678845	14.5687887520	0	0	14.8615344122	18.0585572781	19.2866520782	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	1.5791500480	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.7583421025	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	9.7069708014	0	0	10.6827986217	13.7953401173	15.2510503393	0	0	15.2003771204	16.5123900285	17.8363669815	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	1.3492432597	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	13.3585915699	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	0	0	16.1809057335	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	11.7893263272	0	0	0	0	0	0	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	0	0	12.1211303325	0	0	15.6538219138	8.2316916233	7.6040917235	0
PWY-6609: adenine and adenosine salvage III	4.4987338686	0	0	14.3021420997	10.6799594962	9.2366563304	7.5000000000	0	14.3410712487	18.9256385187	11.7109255371	0
PWY-6609: adenine and adenosine salvage III|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	3.8600723764	0	0
PWY-6609: adenine and adenosine salvage III|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	5.8241118229	0	0	0	0	9.3970242756	0
PWY-6609: adenine and adenosine salvage III|g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	7.5000000000	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III|unclassified	0	0	0	5.9080477280	0	0	0	0	0	0	0	0
